"","STUDY_ID.1","STUDY_ID","REVIEWERS","INCLUDE.x","INCLUDE.1","TITLE","AU","PY","ABSTRACT","X","dec","INCLUDE.y"
"185",466,180,"Ruishan","NO","MAYBE","Responses of riparian trees and shrubs to flow regulation along a boreal stream in northern sweden","DOLORES BEJARANO MARIA;NILSSON CHRISTER;GONZALEZ DEL TANAGO MARTA;MARCHAMALO MIGUEL",2011,"P>1. Flow dynamics is a major determinant of riparian plant communities. Therefore, flow regulation may heavily affect riparian ecosystems. Despite the large number of dams worldwide, little specific information is available on the longitudinal impacts of dams on vegetation, for example how far downstream and at what degree of regulation a dam on a river can influence riparian woodlands. 2. We quantified the long-term responses of riparian trees and shrubs to flow regulation by identifying their lateral distribution and habitat conditions along a boreal river in northern sweden that has been regulated by a single dam since 1948. The regulation has reduced annual flow fluctuations, this effect being largest at the dam, downstream from which it progressively decreases following the entrance of free-flowing tributaries. 3. We related changes in the distribution patterns, composition, abundance and richness of tree and shrub species to the degree of regulation along the river downstream from the dam. Regulation has triggered establishment of trees and shrubs closer to the channel, making it possible to measure ecological impacts of flow regulation as differences in vegetation attributes relative to the positions of tree and shrub communities established before and after regulation. 4. Trees and shrubs had migrated towards the mid-channel along the entire study reach, but the changes were largest immediately downstream of the dam. Shrubs were most impacted by flow regulation in terms of lateral movement, but the effect on trees extended furthest downstream. 5. The species composition of trees progressively returned to its pre-regulation state with distance downstream, but entrance of free-flowing tributaries and variation in channel morphology and substratum caused local deviations. Species richness after regulation increased for trees but decreased for shrubs. The changes in species composition and richness of trees and shrubs showed no clear downstream patterns, suggesting that other factors than the degree of regulation were more important in governing life form.",NA,0,2
"186",466,180,"Min","YES","MAYBE","Responses of riparian trees and shrubs to flow regulation along a boreal stream in northern sweden","DOLORES BEJARANO MARIA;NILSSON CHRISTER;GONZALEZ DEL TANAGO MARTA;MARCHAMALO MIGUEL",2011,"P>1. flow dynamics is a major determinant of riparian plant communities. therefore, flow regulation may heavily affect riparian ecosystems. despite the large number of dams worldwide, little specific information is available on the longitudinal impacts of dams on vegetation, for example how far downstream and at what degree of regulation a dam on a river can influence riparian woodlands. 2. we quantified the long-term responses of riparian trees and shrubs to flow regulation by identifying their lateral distribution and habitat conditions along a boreal river in northern sweden that has been regulated by a single dam since 1948. the regulation has reduced annual flow fluctuations, this effect being largest at the dam, downstream from which it progressively decreases following the entrance of free-flowing tributaries. 3. we related changes in the distribution patterns, composition, abundance and richness of tree and shrub species to the degree of regulation along the river downstream from the dam. regulation has triggered establishment of trees and shrubs closer to the channel, making it possible to measure ecological impacts of flow regulation as differences in vegetation attributes relative to the positions of tree and shrub communities established before and after regulation. 4. trees and shrubs had migrated towards the mid-channel along the entire study reach, but the changes were largest immediately downstream of the dam. shrubs were most impacted by flow regulation in terms of lateral movement, but the effect on trees extended furthest downstream. 5. the species composition of trees progressively returned to its pre-regulation state with distance downstream, but entrance of free-flowing tributaries and variation in channel morphology and substratum caused local deviations. species richness after regulation increased for trees but decreased for shrubs. the changes in species composition and richness of trees and shrubs showed no clear downstream patterns, suggesting that other factors than the degree of regulation were more important in governing life form.",NA,1,2
"199",501,183,"EmilyD","YES","MAYBE","Disentangling the role of environmental and human pressures on biological invasions across europe","PYSEK PETR;JAROSIK VOJTECH;HULME PHILIP E;KUEHN INGOLF;WILD JAN;ARIANOUTSOU MARGARITA;BACHER SVEN;CHIRON FRANCOIS;DIDZIULIS VIKTORAS;ESSL FRANZ;GENOVESI PIERO;GHERARDI FRANCESCA;HEJDA MARTIN;KARK SALIT;LAMBDON PHILIP W;DESPREZ-LOUSTAU MARIE-LAURE;NENTWIG WOLFGANG;PERGL JAN;POBOLJSAJ KATJA;RABITSCH WOLFGANG;ROQUES ALAIN;ROY DAVID B;SHIRLEY SUSAN;SOLARZ WOJCIECH;VILA MONTSERRAT;WINTER MARTEN",2010,"the accelerating rates of international trade, travel, and transport in the latter half of the twentieth century have led to the progressive mixing of biota from across the world and the number of species introduced to new regions continues to increase. the importance of biogeographic, climatic, economic, and demographic factors as drivers of this trend is increasingly being realized but as yet there is no consensus regarding their relative importance. whereas little may be done to mitigate the effects of geography and climate on invasions, a wider range of options may exist to moderate the impacts of economic and demographic drivers. here we use the most recent data available from europe to partition between macroecological, economic, and demographic variables the variation in alien species richness of bryophytes, fungi, vascular plants, terrestrial insects, aquatic invertebrates, fish, amphibians, reptiles, birds, and mammals. only national wealth and human population density were statistically significant predictors in the majority of models when analyzed jointly with climate, geography, and land cover. the economic and demographic variables reflect the intensity of human activities and integrate the effect of factors that directly determine the outcome of invasion such as propagule pressure, pathways of introduction, eutrophication, and the intensity of anthropogenic disturbance. the strong influence of economic and demographic variables on the levels of invasion by alien species demonstrates that future solutions to the problem of biological invasions at a national scale lie in mitigating the negative environmental consequences of human activities that generate wealth and by promoting more sustainable population growth.",54,1,3
"200",501,183,"Anna","YES","MAYBE","Disentangling the role of environmental and human pressures on biological invasions across europe","PYSEK PETR;JAROSIK VOJTECH;HULME PHILIP E;KUEHN INGOLF;WILD JAN;ARIANOUTSOU MARGARITA;BACHER SVEN;CHIRON FRANCOIS;DIDZIULIS VIKTORAS;ESSL FRANZ;GENOVESI PIERO;GHERARDI FRANCESCA;HEJDA MARTIN;KARK SALIT;LAMBDON PHILIP W;DESPREZ-LOUSTAU MARIE-LAURE;NENTWIG WOLFGANG;PERGL JAN;POBOLJSAJ KATJA;RABITSCH WOLFGANG;ROQUES ALAIN;ROY DAVID B;SHIRLEY SUSAN;SOLARZ WOJCIECH;VILA MONTSERRAT;WINTER MARTEN",2010,"The accelerating rates of international trade, travel, and transport in the latter half of the twentieth century have led to the progressive mixing of biota from across the world and the number of species introduced to new regions continues to increase. The importance of biogeographic, climatic, economic, and demographic factors as drivers of this trend is increasingly being realized but as yet there is no consensus regarding their relative importance. Whereas little may be done to mitigate the effects of geography and climate on invasions, a wider range of options may exist to moderate the impacts of economic and demographic drivers. Here we use the most recent data available from europe to partition between macroecological, economic, and demographic variables the variation in alien species richness of bryophytes, fungi, vascular plants, terrestrial insects, aquatic invertebrates, fish, amphibians, reptiles, birds, and mammals. Only national wealth and human population density were statistically significant predictors in the majority of models when analyzed jointly with climate, geography, and land cover. The economic and demographic variables reflect the intensity of human activities and integrate the effect of factors that directly determine the outcome of invasion such as propagule pressure, pathways of introduction, eutrophication, and the intensity of anthropogenic disturbance. The strong influence of economic and demographic variables on the levels of invasion by alien species demonstrates that future solutions to the problem of biological invasions at a national scale lie in mitigating the negative environmental consequences of human activities that generate wealth and by promoting more sustainable population growth.",NA,1,3
"201",501,183,"Ming","YES","MAYBE","Disentangling the role of environmental and human pressures on biological invasions across europe","PYSEK PETR;JAROSIK VOJTECH;HULME PHILIP E;KUEHN INGOLF;WILD JAN;ARIANOUTSOU MARGARITA;BACHER SVEN;CHIRON FRANCOIS;DIDZIULIS VIKTORAS;ESSL FRANZ;GENOVESI PIERO;GHERARDI FRANCESCA;HEJDA MARTIN;KARK SALIT;LAMBDON PHILIP W;DESPREZ-LOUSTAU MARIE-LAURE;NENTWIG WOLFGANG;PERGL JAN;POBOLJSAJ KATJA;RABITSCH WOLFGANG;ROQUES ALAIN;ROY DAVID B;SHIRLEY SUSAN;SOLARZ WOJCIECH;VILA MONTSERRAT;WINTER MARTEN",2010,"the accelerating rates of international trade, travel, and transport in the latter half of the twentieth century have led to the progressive mixing of biota from across the world and the number of species introduced to new regions continues to increase. the importance of biogeographic, climatic, economic, and demographic factors as drivers of this trend is increasingly being realized but as yet there is no consensus regarding their relative importance. whereas little may be done to mitigate the effects of geography and climate on invasions, a wider range of options may exist to moderate the impacts of economic and demographic drivers. here we use the most recent data available from europe to partition between macroecological, economic, and demographic variables the variation in alien species richness of bryophytes, fungi, vascular plants, terrestrial insects, aquatic invertebrates, fish, amphibians, reptiles, birds, and mammals. only national wealth and human population density were statistically significant predictors in the majority of models when analyzed jointly with climate, geography, and land cover. the economic and demographic variables reflect the intensity of human activities and integrate the effect of factors that directly determine the outcome of invasion such as propagule pressure, pathways of introduction, eutrophication, and the intensity of anthropogenic disturbance. the strong influence of economic and demographic variables on the levels of invasion by alien species demonstrates that future solutions to the problem of biological invasions at a national scale lie in mitigating the negative environmental consequences of human activities that generate wealth and by promoting more sustainable population growth.",54,1,3
"280",1268,9,"Ming","NO","MAYBE","Effects of agri-environmental habitat provision on winter and breeding season abundance of farmland birds","REDHEAD J W;HINSLEY S A;BECKMANN B C;BROUGHTON R K;PYWELL R F",2018,"farmland bird populations continue to show declines in spite of over 20 years of research and implementation of agri-environmental schemes (aes) intended to reverse this. although it is well known that provision of winter food resources can attract farmland birds, there is continuing uncertainty over the ability of aes to provide tangible benefits for target species in terms of increased abundance. answering these questions is hampered by interannual fluctuations in bird populations and the mobility and territoriality of farmland birds, which have complicated the interpretation of previous studies. we monitored birds for five years on a large arable estate in central england managed under varying levels of aes uptake (low level uptake of simple and widely applicable aes options, more extensive uptake of more complex aes options), and two control treatments (on-site and off-site). bird abundance in winter and both total abundance and number of territories in the breeding season were calculated from monthly visits to 16 transects. several species showed significantly higher winter abundance on aes treatments, particularly granivorous species (e.g. reed bunting, yellowhammer, linnet). many other species (e.g. blackbird, chaffinch, robin) also showed significant differences in winter abundance between treatments on the estate and off-site controls. in the breeding season, linnet, reed bunting, goldfinch and combined granivorous birds showed higher abundance or number of territories on aes treatments compared to on-site controls. for most other species the differences were only significant between treatments on the estate and off-site controls. independently of aes treatment, a lower coverage of cereals or greater shannon diversity of crops in the local landscape also had a positive effect on the abundance of many species. our results suggest that well-implemented aes can significantly enhance local populations of both farmland specialists of conservation concern and generalist species. our results also show that, in many cases, these effects were only demonstrable at the farm scale, in comparison with off-site controls. this is probably due to high levels of movement and dispersal of birds resulting in a farm-scale spill-over of beneficial effects of agri-environment measures. our results therefore highlight the importance of thinking beyond the single-farm scale when designing schemes or studies for monitoring the effectiveness of aes, and the importance of selecting appropriately located controls.",63,0,2
"281",1268,9,"EmilyD","YES","MAYBE","Effects of agri-environmental habitat provision on winter and breeding season abundance of farmland birds","REDHEAD J W;HINSLEY S A;BECKMANN B C;BROUGHTON R K;PYWELL R F",2018,"farmland bird populations continue to show declines in spite of over 20 years of research and implementation of agri-environmental schemes (aes) intended to reverse this. although it is well known that provision of winter food resources can attract farmland birds, there is continuing uncertainty over the ability of aes to provide tangible benefits for target species in terms of increased abundance. answering these questions is hampered by interannual fluctuations in bird populations and the mobility and territoriality of farmland birds, which have complicated the interpretation of previous studies. we monitored birds for five years on a large arable estate in central england managed under varying levels of aes uptake (low level uptake of simple and widely applicable aes options, more extensive uptake of more complex aes options), and two control treatments (on-site and off-site). bird abundance in winter and both total abundance and number of territories in the breeding season were calculated from monthly visits to 16 transects. several species showed significantly higher winter abundance on aes treatments, particularly granivorous species (e.g. reed bunting, yellowhammer, linnet). many other species (e.g. blackbird, chaffinch, robin) also showed significant differences in winter abundance between treatments on the estate and off-site controls. in the breeding season, linnet, reed bunting, goldfinch and combined granivorous birds showed higher abundance or number of territories on aes treatments compared to on-site controls. for most other species the differences were only significant between treatments on the estate and off-site controls. independently of aes treatment, a lower coverage of cereals or greater shannon diversity of crops in the local landscape also had a positive effect on the abundance of many species. our results suggest that well-implemented aes can significantly enhance local populations of both farmland specialists of conservation concern and generalist species. our results also show that, in many cases, these effects were only demonstrable at the farm scale, in comparison with off-site controls. this is probably due to high levels of movement and dispersal of birds resulting in a farm-scale spill-over of beneficial effects of agri-environment measures. our results therefore highlight the importance of thinking beyond the single-farm scale when designing schemes or studies for monitoring the effectiveness of aes, and the importance of selecting appropriately located controls.",63,1,2
"282",1268,9,"Anna","YES","MAYBE","Effects of agri-environmental habitat provision on winter and breeding season abundance of farmland birds","REDHEAD J W;HINSLEY S A;BECKMANN B C;BROUGHTON R K;PYWELL R F",2018,"Farmland bird populations continue to show declines in spite of over 20 years of research and implementation of agri-environmental schemes (aes) intended to reverse this. Although it is well known that provision of winter food resources can attract farmland birds, there is continuing uncertainty over the ability of aes to provide tangible benefits for target species in terms of increased abundance. Answering these questions is hampered by interannual fluctuations in bird populations and the mobility and territoriality of farmland birds, which have complicated the interpretation of previous studies. We monitored birds for five years on a large arable estate in central england managed under varying levels of aes uptake (low level uptake of simple and widely applicable aes options, more extensive uptake of more complex aes options), and two control treatments (on-site and off-site). Bird abundance in winter and both total abundance and number of territories in the breeding season were calculated from monthly visits to 16 transects. Several species showed significantly higher winter abundance on aes treatments, particularly granivorous species (e.g. Reed bunting, yellowhammer, linnet). Many other species (e.g. Blackbird, chaffinch, robin) also showed significant differences in winter abundance between treatments on the estate and off-site controls. In the breeding season, linnet, reed bunting, goldfinch and combined granivorous birds showed higher abundance or number of territories on aes treatments compared to on-site controls. For most other species the differences were only significant between treatments on the estate and off-site controls. Independently of aes treatment, a lower coverage of cereals or greater shannon diversity of crops in the local landscape also had a positive effect on the abundance of many species. Our results suggest that well-implemented aes can significantly enhance local populations of both farmland specialists of conservation concern and generalist species. Our results also show that, in many cases, these effects were only demonstrable at the farm scale, in comparison with off-site controls. This is probably due to high levels of movement and dispersal of birds resulting in a farm-scale spill-over of beneficial effects of agri-environment measures. Our results therefore highlight the importance of thinking beyond the single-farm scale when designing schemes or studies for monitoring the effectiveness of aes, and the importance of selecting appropriately located controls.",NA,1,2
"286",1290,10,"Veronica","YES","MAYBE","Variation in the community of small non-volant mammals in high andean forests of the cajas national park, ecuador","FERNANDEZ DE CORDOVA JAVIER;NIVELO-VILLAVICENCIO CARLOS;ASTUDILLO PEDRO X",2017,"The southern andes of ecuador have a rich diversity of non-flying small mammals. However, the loss of habitat in the high andean region is extensive. In particular, montane forests are being subjected to strong anthropogenic pressures: so protected areas are important conservation tools. Unfortunately, habitat degradation and loss also affect these areas. Cajas national park is a protected area within this region that contains montane forest influenced by different levels of anthropic alteration. We sought to understand how the community of non-flying small mammals responds to habitat changes in montane forest areas. To this end, we evaluated the differences in the composition of the community of non-flying small mammals on eight plots in two localities with differing anthropogenic pressures: mazan, an area closed to tourists with greater plant diversity and trees with greater diameters, and llaviucu, an area open to tourists with lower diversity and lower average tree size. In total, 877 individuals of 13 species were recorded. Nephelomys albigularis, akodon mollis and thomasomys baeops were the most abundant. Ordination of the community revealed a tendency to separate the composition between the two study sites; phyllotis andium, thomasomys caudivarius and caenolestes fuliginosus tend to cluster in plots characterized by an increase in the number of trees with larger diameters and greater plant diversity. This feature explains how species associated with more arboreal habits, sensitive to habitat change, are more strongly associated with mature montane forests strictly protected from human impacts.",NA,1,2
"287",1290,10,"Ruishan","NO","MAYBE","Variation in the community of small non-volant mammals in high andean forests of the cajas national park, ecuador","FERNANDEZ DE CORDOVA JAVIER;NIVELO-VILLAVICENCIO CARLOS;ASTUDILLO PEDRO X",2017,"The southern andes of ecuador have a rich diversity of non-flying small mammals. However, the loss of habitat in the high andean region is extensive. In particular, montane forests are being subjected to strong anthropogenic pressures: so protected areas are important conservation tools. Unfortunately, habitat degradation and loss also affect these areas. Cajas national park is a protected area within this region that contains montane forest influenced by different levels of anthropic alteration. We sought to understand how the community of non-flying small mammals responds to habitat changes in montane forest areas. To this end, we evaluated the differences in the composition of the community of non-flying small mammals on eight plots in two localities with differing anthropogenic pressures: mazan, an area closed to tourists with greater plant diversity and trees with greater diameters, and llaviucu, an area open to tourists with lower diversity and lower average tree size. In total, 877 individuals of 13 species were recorded. Nephelomys albigularis, akodon mollis and thomasomys baeops were the most abundant. Ordination of the community revealed a tendency to separate the composition between the two study sites; phyllotis andium, thomasomys caudivarius and caenolestes fuliginosus tend to cluster in plots characterized by an increase in the number of trees with larger diameters and greater plant diversity. This feature explains how species associated with more arboreal habits, sensitive to habitat change, are more strongly associated with mature montane forests strictly protected from human impacts.",NA,0,2
"288",1290,10,"Min","YES","MAYBE","Variation in the community of small non-volant mammals in high andean forests of the cajas national park, ecuador","FERNANDEZ DE CORDOVA JAVIER;NIVELO-VILLAVICENCIO CARLOS;ASTUDILLO PEDRO X",2017,"The southern andes of ecuador have a rich diversity of non-flying small mammals. however, the loss of habitat in the high andean region is extensive. in particular, montane forests are being subjected to strong anthropogenic pressures: so protected areas are important conservation tools. unfortunately, habitat degradation and loss also affect these areas. cajas national park is a protected area within this region that contains montane forest influenced by different levels of anthropic alteration. we sought to understand how the community of non-flying small mammals responds to habitat changes in montane forest areas. to this end, we evaluated the differences in the composition of the community of non-flying small mammals on eight plots in two localities with differing anthropogenic pressures: mazan, an area closed to tourists with greater plant diversity and trees with greater diameters, and llaviucu, an area open to tourists with lower diversity and lower average tree size. in total, 877 individuals of 13 species were recorded. nephelomys albigularis, akodon mollis and thomasomys baeops were the most abundant. ordination of the community revealed a tendency to separate the composition between the two study sites; phyllotis andium, thomasomys caudivarius and caenolestes fuliginosus tend to cluster in plots characterized by an increase in the number of trees with larger diameters and greater plant diversity. this feature explains how species associated with more arboreal habits, sensitive to habitat change, are more strongly associated with mature montane forests strictly protected from human impacts.",NA,1,2
"301",1366,2,"Xutong","NO","MAYBE","THE EFFECT OF CASCADED HUGE DAMS ON THE DOWNSTREAM MOVEMENT OF COREIUS GUICHENOTI (SAUVAGE & DABRY DE THIERSANT, 1874) IN THE UPPER YANGTZE RIVER","YANG ZHI;TANG HUIYUAN;TAO JIANGPING;ZHAO NA",2017,"huge dams (installed capacity > 100 mkw) are generally built on large rivers that display high biodiversity and include major migration routes for many diadromous and potamodromous fish. as a result, these dams lead to severe ecological impacts and receive more attention than smaller dams. most previous work on the impact of huge dams on fish downstream movement has focused on a single dam and reservoir, so little is known about the effect of cascaded huge dams and reservoirs on downstream movement. during the period 2012-2014, two huge dams (the xiangjiaba and the xiluodu) were constructed on the upper yangtze river and the reservoir impoundments began, respectively in october 2012 and may 2013. these cascaded hydroelectric projects could have a large adverse effect on the downstream movement of an important potamodromous fish species, coreius guichenoti. to study the effect of cascaded impact of sequential huge dams and reservoirs on passive and active downstream movement of c. guichenoti, eggs and larvae were collected in the yibin section during 2012-2014 and fish were collected monthly at a site in the hejiang section from june 2012 to july 2014. our results showed that, compared to one huge reservoir and dam, cascaded dams exert a more serious effect and obstruct downstream movement of eggs, larvae and young fish (particularly the yearlings and two-year-olds) of c. guichenoti. individual c. guichenoti were able to pass with relative ease through one reservoir and dam, but passing through both reservoirs and dams was very difficult. to allow access to the spawning grounds upstream, a fish passage should be built on the xiluodu dam. however, due to the hydropower development in the whole upper basin, captive breeding and maintaining at least 60 km of riverine habitat upstream of a spawning ground could be a more cost-effective approach to maintaining c. guichenoti populations in the upper yangtze river.",NA,0,2
"302",1366,2,"Yingjie","YES","MAYBE","The effect of cascaded huge dams on the downstream movement of coreius guichenoti (sauvage & dabry de thiersant, 1874) in the upper yangtze river","YANG ZHI;TANG HUIYUAN;TAO JIANGPING;ZHAO NA",2017,"Huge dams (installed capacity > 100 mkw) are generally built on large rivers that display high biodiversity and include major migration routes for many diadromous and potamodromous fish. as a result, these dams lead to severe ecological impacts and receive more attention than smaller dams. most previous work on the impact of huge dams on fish downstream movement has focused on a single dam and reservoir, so little is known about the effect of cascaded huge dams and reservoirs on downstream movement. during the period 2012-2014, two huge dams (the xiangjiaba and the xiluodu) were constructed on the upper yangtze river and the reservoir impoundments began, respectively in october 2012 and may 2013. these cascaded hydroelectric projects could have a large adverse effect on the downstream movement of an important potamodromous fish species, coreius guichenoti. to study the effect of cascaded impact of sequential huge dams and reservoirs on passive and active downstream movement of c. guichenoti, eggs and larvae were collected in the yibin section during 2012-2014 and fish were collected monthly at a site in the hejiang section from june 2012 to july 2014. our results showed that, compared to one huge reservoir and dam, cascaded dams exert a more serious effect and obstruct downstream movement of eggs, larvae and young fish (particularly the yearlings and two-year-olds) of c. guichenoti. individual c. guichenoti were able to pass with relative ease through one reservoir and dam, but passing through both reservoirs and dams was very difficult. to allow access to the spawning grounds upstream, a fish passage should be built on the xiluodu dam. however, due to the hydropower development in the whole upper basin, captive breeding and maintaining at least 60 km of riverine habitat upstream of a spawning ground could be a more cost-effective approach to maintaining c. guichenoti populations in the upper yangtze river.",NA,1,2
"303",1366,2,"Aurora","YES","MAYBE","THE EFFECT OF CASCADED HUGE DAMS ON THE DOWNSTREAM MOVEMENT OF COREIUS GUICHENOTI (SAUVAGE & DABRY DE THIERSANT, 1874) IN THE UPPER YANGTZE RIVER","YANG ZHI;TANG HUIYUAN;TAO JIANGPING;ZHAO NA",2017,"huge dams (installed capacity > 100 mkw) are generally built on large rivers that display high biodiversity and include major migration routes for many diadromous and potamodromous fish. as a result, these dams lead to severe ecological impacts and receive more attention than smaller dams. most previous work on the impact of huge dams on fish downstream movement has focused on a single dam and reservoir, so little is known about the effect of cascaded huge dams and reservoirs on downstream movement. during the period 2012-2014, two huge dams (the xiangjiaba and the xiluodu) were constructed on the upper yangtze river and the reservoir impoundments began, respectively in october 2012 and may 2013. these cascaded hydroelectric projects could have a large adverse effect on the downstream movement of an important potamodromous fish species, coreius guichenoti. to study the effect of cascaded impact of sequential huge dams and reservoirs on passive and active downstream movement of c. guichenoti, eggs and larvae were collected in the yibin section during 2012-2014 and fish were collected monthly at a site in the hejiang section from june 2012 to july 2014. our results showed that, compared to one huge reservoir and dam, cascaded dams exert a more serious effect and obstruct downstream movement of eggs, larvae and young fish (particularly the yearlings and two-year-olds) of c. guichenoti. individual c. guichenoti were able to pass with relative ease through one reservoir and dam, but passing through both reservoirs and dams was very difficult. to allow access to the spawning grounds upstream, a fish passage should be built on the xiluodu dam. however, due to the hydropower development in the whole upper basin, captive breeding and maintaining at least 60 km of riverine habitat upstream of a spawning ground could be a more cost-effective approach to maintaining c. guichenoti populations in the upper yangtze river.",NA,1,2
"352",1818,94,"EmilyD","NO","MAYBE","measuring the sixth extinction: what do mollusks tell us?","COWIE ROBERT H;REGNIER CLAIRE;FONTAINE BENOIT;BOUCHET PHILIPPE",2017,"the international union for conservation of nature (iucn) is the premier global biodiversity conservation organization. its red list is a rigorous vehicle for assessing the conservation status of plant and animal species. however, although all animal and bird species recognized by iucn have been evaluated, only a tiny fraction of invertebrates have been evaluated. as a measure of the numbers of extinct species (since around the year 1500) the red list is probably quite accurate for birds and mammals, but severely underestimates the numbers for invertebrates. nonetheless, molluscs stand out as the major group most severely impacted by extinction, with 297 of the 744 animal species listed as extinct in the third issue of the 2016 red list. here we review efforts to obtain a more realistic, albeit less rigorous, assessment of the numbers of extinct mollusk species. our approach has been based on bibliographic research and consultation with experts, rather than following the highly detailed but restrictive iucn categories and criteria. in 2009, this led to an assessment that 533 mollusk species were extinct, far more than the number on the red list. in the present study we revisited this approach and here list 638 species as extinct, 380 as possibly extinct, and 14 as extinct in the wild, a total of 1,032 species in these combined categories, and more than twice as many as listed by iucn in these categories. however, this approach only considers species for which information is available; it is therefore biased. in a study published in 2015 we developed an alternative approach, based on a random global sample of land snails, and estimated that 3,000-5,100 mollusk species have gone extinct. we review the main reasons for these extinctions: habitat destruction, impacts of introduced species, exploitation and collecting, and, potentially, climate change, and discuss relevant case studies. oceanic island land snails, especially those of pacific islands, have suffered the greatest proportion of the extinctions, with some species having gone extinct before being discovered and described scientifically. the amastridae, an endemic hawaiian family of 325 recognized species, may have lost all but 18 species. we outline the phases in this catastrophe: 1) pre-human and/or prehistoric extinction, either natural or anthropogenic, with species known only as fossils/subfossils; 2) extinction due to habitat destruction and introduction of a number of alien species by pacific island people as they settled the islands; 3) extinction due to extensive habitat destruction and introduction of highly destructive invasive alien species following colonization by westerners; 4) extinction following the advent of large-scale agriculture at the end of the 19th century, at the time of a major increase in the land snail extinction rate globally; 5) extinction due to increased military activity, tourism, commerce, urbanization and the concomittant rapidly increasing introduction of invasive species after the second world war. extrapolating from our assessments of mollusks, we estimate that approximately 7.5-13% of all species have gone extinct since around year 1500. this is orders of magnitude greater than the 860 (0.04% of 2 million) listed as extinct by iucn (2016). the biodiversity crisis is real.",32,0,2
"353",1818,94,"Anna","YES","MAYBE","measuring the sixth extinction: what do mollusks tell us?","COWIE ROBERT H;REGNIER CLAIRE;FONTAINE BENOIT;BOUCHET PHILIPPE",2017,"the international union for conservation of nature (iucn) is the premier global biodiversity conservation organization. its red list is a rigorous vehicle for assessing the conservation status of plant and animal species. however, although all animal and bird species recognized by iucn have been evaluated, only a tiny fraction of invertebrates have been evaluated. as a measure of the numbers of extinct species (since around the year 1500) the red list is probably quite accurate for birds and mammals, but severely underestimates the numbers for invertebrates. nonetheless, molluscs stand out as the major group most severely impacted by extinction, with 297 of the 744 animal species listed as extinct in the third issue of the 2016 red list. here we review efforts to obtain a more realistic, albeit less rigorous, assessment of the numbers of extinct mollusk species. our approach has been based on bibliographic research and consultation with experts, rather than following the highly detailed but restrictive iucn categories and criteria. in 2009, this led to an assessment that 533 mollusk species were extinct, far more than the number on the red list. in the present study we revisited this approach and here list 638 species as extinct, 380 as possibly extinct, and 14 as extinct in the wild, a total of 1,032 species in these combined categories, and more than twice as many as listed by iucn in these categories. however, this approach only considers species for which information is available; it is therefore biased. in a study published in 2015 we developed an alternative approach, based on a random global sample of land snails, and estimated that 3,000-5,100 mollusk species have gone extinct. we review the main reasons for these extinctions: habitat destruction, impacts of introduced species, exploitation and collecting, and, potentially, climate change, and discuss relevant case studies. oceanic island land snails, especially those of pacific islands, have suffered the greatest proportion of the extinctions, with some species having gone extinct before being discovered and described scientifically. the amastridae, an endemic hawaiian family of 325 recognized species, may have lost all but 18 species. we outline the phases in this catastrophe: 1) pre-human and/or prehistoric extinction, either natural or anthropogenic, with species known only as fossils/subfossils; 2) extinction due to habitat destruction and introduction of a number of alien species by pacific island people as they settled the islands; 3) extinction due to extensive habitat destruction and introduction of highly destructive invasive alien species following colonization by westerners; 4) extinction following the advent of large-scale agriculture at the end of the 19th century, at the time of a major increase in the land snail extinction rate globally; 5) extinction due to increased military activity, tourism, commerce, urbanization and the concomittant rapidly increasing introduction of invasive species after the second world war. extrapolating from our assessments of mollusks, we estimate that approximately 7.5-13% of all species have gone extinct since around year 1500. this is orders of magnitude greater than the 860 (0.04% of 2 million) listed as extinct by iucn (2016). the biodiversity crisis is real.",NA,1,2
