"metric_type","metric","tele_cat","sig_sig_effect","count"
"multiple species","Abundance/Density","Knowledge Transfer;Investment","Detrimental",1
"multiple species","Abundance/Density","Knowledge Transfer;Investment","Not Signif.",2
"multiple species","Abundance/Density","Migration (human)","Unknown Signif.",1
"multiple species","Abundance/Density","Species Dispersal","Beneficial",1
"multiple species","Abundance/Density","Species Dispersal","Changed",2
"multiple species","Abundance/Density","Species Dispersal","Detrimental",1
"multiple species","Abundance/Density","Species Dispersal","Not Signif.",1
"multiple species","Abundance/Density","Species Dispersal","Unknown Signif.",1
"multiple species","Abundance/Density","Tourism","Beneficial",4
"multiple species","Abundance/Density","Tourism","Changed",1
"multiple species","Abundance/Density","Tourism","Detrimental",25
"multiple species","Abundance/Density","Tourism","Not Signif.",10
"multiple species","Abundance/Density","Tourism","Unknown Signif.",2
"multiple species","Abundance/Density","Tourism;Investment","Unknown Signif.",1
"multiple species","Abundance/Density","Trade","Beneficial",4
"multiple species","Abundance/Density","Trade","Detrimental",9
"multiple species","Abundance/Density","Trade","Not Signif.",6
"multiple species","Abundance/Density","Trade","Unknown Signif.",6
"multiple species","Abundance/Density","Trade;Knowledge Transfer","Not Signif.",1
"multiple species","Abundance/Density","Trade;Migration (human)","Detrimental",1
"multiple species","Abundance/Density","Waste Transfer","Not Signif.",1
"multiple species","Abundance/Density","Water Transfer;Waste Transfer","Detrimental",1
"multiple species","Abundance/Density",NA,"Changed",2
"multiple species","Abundance/Density",NA,"Detrimental",11
"multiple species","Abundance/Density",NA,"Not Signif.",5
"multiple species","Abundance/Density",NA,"Unknown Signif.",4
"multiple species","Composition","Species Dispersal","Changed",2
"multiple species","Composition","Species Dispersal","No relation or unclear",1
"multiple species","Composition","Species Dispersal","Not Signif.",1
"multiple species","Composition","Tourism","Changed",15
"multiple species","Composition","Tourism","Detrimental",1
"multiple species","Composition","Tourism","Not Signif.",8
"multiple species","Composition","Tourism","Unknown Signif.",2
"multiple species","Composition","Tourism;Investment","Changed",1
"multiple species","Composition","Tourism;Investment","Unknown Signif.",1
"multiple species","Composition","Trade","Changed",1
"multiple species","Composition","Trade","Unknown Signif.",1
"multiple species","Composition","Trade;Migration (human)","Changed",1
"multiple species","Composition","Water Transfer","Changed",1
"multiple species","Composition",NA,"Changed",1
"multiple species","Composition",NA,"Not Signif.",1
"multiple species","Composition",NA,"Unknown Signif.",1
"multiple species","Diversity Index","Energy Transfer","Changed",2
"multiple species","Diversity Index","Energy Transfer","Not Signif.",1
"multiple species","Diversity Index","Energy Transfer","Unknown Signif.",1
"multiple species","Diversity Index","Knowledge Transfer","Detrimental",2
"multiple species","Diversity Index","Knowledge Transfer","Unknown Signif.",1
"multiple species","Diversity Index","Species Dispersal","Beneficial",2
"multiple species","Diversity Index","Species Dispersal","Detrimental",1
"multiple species","Diversity Index","Species Dispersal","Not Signif.",2
"multiple species","Diversity Index","Tourism","Beneficial",7
"multiple species","Diversity Index","Tourism","Changed",1
"multiple species","Diversity Index","Tourism","Detrimental",6
"multiple species","Diversity Index","Tourism","No relation or unclear",1
"multiple species","Diversity Index","Tourism","Not Signif.",10
"multiple species","Diversity Index","Tourism","Unknown Signif.",3
"multiple species","Diversity Index","Trade","Beneficial",2
"multiple species","Diversity Index","Trade","Changed",1
"multiple species","Diversity Index","Trade","Detrimental",6
"multiple species","Diversity Index","Trade","No relation or unclear",1
"multiple species","Diversity Index","Trade","Unknown Signif.",2
"multiple species","Diversity Index","Trade;Knowledge Transfer","Unknown Signif.",1
"multiple species","Diversity Index","Waste Transfer","Not Signif.",2
"multiple species","Diversity Index","Water Transfer","Detrimental",1
"multiple species","Diversity Index",NA,"Detrimental",1
"multiple species","Diversity Index",NA,"No relation or unclear",1
"multiple species","Diversity Index",NA,"Not Signif.",1
"multiple species","Evenness","Knowledge Transfer","Unknown Signif.",1
"multiple species","Evenness","Species Dispersal","Detrimental",2
"multiple species","Evenness","Tourism","Not Signif.",1
"multiple species","Evenness","Trade","Beneficial",2
"multiple species","Evenness","Trade","Detrimental",1
"multiple species","Occurrence","Knowledge Transfer;Investment","Unknown Signif.",1
"multiple species","Occurrence","Migration (human)","Detrimental",1
"multiple species","Occurrence","Migration (human)","Unknown Signif.",1
"multiple species","Occurrence","Tourism","Beneficial",1
"multiple species","Occurrence","Tourism","Not Signif.",1
"multiple species","Occurrence","Water Transfer;Energy Transfer","Changed",2
"multiple species","Occurrence",NA,"Beneficial",1
"multiple species","Population Dynamics","Knowledge Transfer","Changed",1
"multiple species","Population Dynamics","Species Dispersal","Unknown Signif.",1
"multiple species","Population Dynamics","Tourism","Detrimental",5
"multiple species","Population Dynamics","Tourism","Not Signif.",3
"multiple species","Population Dynamics","Trade","Unknown Signif.",1
"multiple species","Population Dynamics","Trade;Tourism","No relation or unclear",1
"multiple species","Population Dynamics","Water Transfer;Energy Transfer","Changed",1
"multiple species","Richness","Energy Transfer","Beneficial",1
"multiple species","Richness","Energy Transfer","Changed",3
"multiple species","Richness","Investment","Beneficial",1
"multiple species","Richness","Investment","Detrimental",1
"multiple species","Richness","Investment","Not Signif.",1
"multiple species","Richness","Knowledge Transfer","Beneficial",1
"multiple species","Richness","Knowledge Transfer","Detrimental",1
"multiple species","Richness","Knowledge Transfer","Unknown Signif.",1
"multiple species","Richness","Knowledge Transfer;Investment","Not Signif.",1
"multiple species","Richness","Migration (human)","Unknown Signif.",1
"multiple species","Richness","Species Dispersal","Detrimental",7
"multiple species","Richness","Species Dispersal","Not Signif.",4
"multiple species","Richness","Species Dispersal","Unknown Signif.",3
"multiple species","Richness","Species Dispersal;Knowledge Transfer","Not Signif.",1
"multiple species","Richness","Tourism","Beneficial",7
"multiple species","Richness","Tourism","Changed",1
"multiple species","Richness","Tourism","Detrimental",18
"multiple species","Richness","Tourism","Not Signif.",12
"multiple species","Richness","Tourism","Unknown Signif.",2
"multiple species","Richness","Tourism;Investment","Unknown Signif.",1
"multiple species","Richness","Trade","Beneficial",3
"multiple species","Richness","Trade","Changed",2
"multiple species","Richness","Trade","Detrimental",7
"multiple species","Richness","Trade","Not Signif.",6
"multiple species","Richness","Trade","Unknown Signif.",8
"multiple species","Richness","Trade;Energy Transfer","Beneficial",2
"multiple species","Richness","Trade;Energy Transfer","Detrimental",1
"multiple species","Richness","Trade;Knowledge Transfer","Not Signif.",1
"multiple species","Richness","Trade;Species Dispersal","Unknown Signif.",1
"multiple species","Richness","Waste Transfer","Not Signif.",1
"multiple species","Richness","Water Transfer","Beneficial",1
"multiple species","Richness","Water Transfer","Detrimental",2
"multiple species","Richness",NA,"Beneficial",1
"multiple species","Richness",NA,"Detrimental",2
"multiple species","Richness",NA,"No relation or unclear",2
"multiple species","Richness",NA,"Not Signif.",1
"multiple species","Richness",NA,"Unknown Signif.",6
"habitat","Amount","Tourism","Beneficial",1
"habitat","Amount","Tourism","Detrimental",4
"habitat","Amount","Tourism","Not Signif.",2
"habitat","Amount","Trade","Beneficial",2
"habitat","Amount","Trade","Unknown Signif.",2
"habitat","Quality","Knowledge Transfer;Investment","Unknown Signif.",1
"habitat","Quality","Species Dispersal","Unknown Signif.",3
"habitat","Quality","Tourism","Changed",1
"habitat","Quality","Tourism","Detrimental",3
"habitat","Quality","Water Transfer;Waste Transfer","Detrimental",1
