"","taxa","tele_cat","sig_sig_effect","count"
"99","Multiple","Trade","Unknown Signif.",7
"100","Plants/Trees/Shrubs","Knowledge Transfer","Detrimental",3
"101","Plants/Trees/Shrubs","Knowledge Transfer","Unknown Signif.",4
"102","Plants/Trees/Shrubs","Knowledge Transfer;Investment","Unknown Signif.",1
"103","Plants/Trees/Shrubs","Migration (human)","Beneficial",1
"104","Plants/Trees/Shrubs","Migration (human)","Not Signif.",2
"105","Plants/Trees/Shrubs","Species Dispersal","Beneficial",1
"106","Plants/Trees/Shrubs","Species Dispersal","Changed",1
"107","Plants/Trees/Shrubs","Species Dispersal","Detrimental",6
"108","Plants/Trees/Shrubs","Species Dispersal","No relation or unclear",1
"109","Plants/Trees/Shrubs","Species Dispersal","Not Signif.",4
"110","Plants/Trees/Shrubs","Species Dispersal","Unknown Signif.",2
"111","Plants/Trees/Shrubs","Tourism","Beneficial",8
"112","Plants/Trees/Shrubs","Tourism","Changed",6
"113","Plants/Trees/Shrubs","Tourism","Detrimental",12
"114","Plants/Trees/Shrubs","Tourism","No relation or unclear",1
"115","Plants/Trees/Shrubs","Tourism","Not Signif.",14
"116","Plants/Trees/Shrubs","Tourism","Unknown Signif.",4
"117","Plants/Trees/Shrubs","Trade","Beneficial",3
"118","Plants/Trees/Shrubs","Trade","Changed",1
"119","Plants/Trees/Shrubs","Trade","Not Signif.",4
"120","Plants/Trees/Shrubs","Trade","Unknown Signif.",1
"121","Plants/Trees/Shrubs","Trade;Species Dispersal","Unknown Signif.",1
"122","Plants/Trees/Shrubs","Water Transfer","Beneficial",1
"123","Plants/Trees/Shrubs","Water Transfer","Detrimental",2
"124","Plants/Trees/Shrubs","Water Transfer;Waste Transfer","Detrimental",2
"125","Plants/Trees/Shrubs",NA,"Beneficial",1
"126","Reptiles","Investment","Detrimental",1
"127","Reptiles","Tourism","Detrimental",2
"128","Reptiles","Tourism","No relation or unclear",1
"129","Reptiles","Tourism","Not Signif.",2
"130","Reptiles","Trade","Not Signif.",2
"131","Reptiles","Trade","Unknown Signif.",2
