"","taxa","tele_cat","effect","count","perc_per_taxa"
"68","Invertebrates","Trade","Positive (beneficial)",4,0.0248447204968944
"69","Invertebrates","Waste Transfer","Neutral (only when there is absolutely no difference in metrics)",5,0.031055900621118
"70","Invertebrates",NA,"Changed (e.g. species composition)",2,0.0124223602484472
"71","Invertebrates",NA,"Negative (detrimental)",1,0.0062111801242236
"72","Invertebrates",NA,"Neutral (only when there is absolutely no difference in metrics)",1,0.0062111801242236
"73","Invertebrates",NA,"Positive (beneficial)",2,0.0124223602484472
"74","Invertebrates",NA,"Unclear",1,0.0062111801242236
"75","Mammals","Migration (human)","Changed (e.g. species composition)",1,0.0158730158730159
"76","Mammals","Migration (human)","Negative (detrimental)",7,0.111111111111111
"77","Mammals","Other","Negative (detrimental)",1,0.0158730158730159
"78","Mammals","Tourism","Negative (detrimental)",18,0.285714285714286
"79","Mammals","Tourism","Neutral (only when there is absolutely no difference in metrics)",1,0.0158730158730159
"80","Mammals","Tourism","Positive (beneficial)",4,0.0634920634920635
"81","Mammals","Trade","Changed (e.g. species composition)",1,0.0158730158730159
"82","Mammals","Trade","Negative (detrimental)",10,0.158730158730159
"83","Mammals",NA,"Negative (detrimental)",5,0.0793650793650794
"84","Mammals",NA,"Neutral (only when there is absolutely no difference in metrics)",5,0.0793650793650794
"85","Mammals",NA,"Positive (beneficial)",5,0.0793650793650794
"86","Mammals",NA,"Unclear",5,0.0793650793650794
"87","Multiple","Investment","Positive (beneficial)",1,0.0588235294117647
"88","Multiple","Species Dispersal","Negative (detrimental)",1,0.0588235294117647
"89","Multiple","Tourism","Negative (detrimental)",8,0.470588235294118
"90","Multiple","Trade","Negative (detrimental)",4,0.235294117647059
"91","Multiple","Trade","Positive (beneficial)",2,0.117647058823529
"92","Multiple","Trade","Unclear",1,0.0588235294117647
"93","Plants/Trees/Shrubs","Knowledge Transfer","Negative (detrimental)",3,0.0326086956521739
"94","Plants/Trees/Shrubs","Migration (human)","Positive (beneficial)",3,0.0326086956521739
"95","Plants/Trees/Shrubs","Migration (non-human)","Positive (beneficial)",1,0.0108695652173913
"96","Plants/Trees/Shrubs","Other","Positive (beneficial)",1,0.0108695652173913
"97","Plants/Trees/Shrubs","remove","Positive (beneficial)",2,0.0217391304347826
"98","Plants/Trees/Shrubs","Species Dispersal","Changed (e.g. species composition)",1,0.0108695652173913
"99","Plants/Trees/Shrubs","Species Dispersal","Negative (detrimental)",10,0.108695652173913
"100","Plants/Trees/Shrubs","Species Dispersal","Neutral (only when there is absolutely no difference in metrics)",1,0.0108695652173913
"101","Plants/Trees/Shrubs","Species Dispersal","Positive (beneficial)",4,0.0434782608695652
"102","Plants/Trees/Shrubs","Tourism","Changed (e.g. species composition)",9,0.0978260869565217
"103","Plants/Trees/Shrubs","Tourism","Negative (detrimental)",11,0.119565217391304
"104","Plants/Trees/Shrubs","Tourism","Neutral (only when there is absolutely no difference in metrics)",4,0.0434782608695652
"105","Plants/Trees/Shrubs","Tourism","Positive (beneficial)",10,0.108695652173913
"106","Plants/Trees/Shrubs","Trade","Changed (e.g. species composition)",1,0.0108695652173913
"107","Plants/Trees/Shrubs","Trade","Negative (detrimental)",4,0.0434782608695652
"108","Plants/Trees/Shrubs","Trade","Neutral (only when there is absolutely no difference in metrics)",2,0.0217391304347826
"109","Plants/Trees/Shrubs","Trade","Positive (beneficial)",3,0.0326086956521739
"110","Plants/Trees/Shrubs","Waste Transfer","Negative (detrimental)",2,0.0217391304347826
"111","Plants/Trees/Shrubs","Water Transfer","Negative (detrimental)",4,0.0434782608695652
"112","Plants/Trees/Shrubs","Water Transfer","Positive (beneficial)",1,0.0108695652173913
"113","Plants/Trees/Shrubs",NA,"Changed (e.g. species composition)",1,0.0108695652173913
"114","Plants/Trees/Shrubs",NA,"Negative (detrimental)",5,0.0543478260869565
"115","Plants/Trees/Shrubs",NA,"Neutral (only when there is absolutely no difference in metrics)",4,0.0434782608695652
"116","Plants/Trees/Shrubs",NA,"Positive (beneficial)",3,0.0326086956521739
"117","Plants/Trees/Shrubs",NA,"Unclear",1,0.0108695652173913
"118","Plants/Trees/Shrubs",NA,NA,1,0.0108695652173913
"119","Reptiles","Investment","Negative (detrimental)",1,0.1
"120","Reptiles","Tourism","Negative (detrimental)",2,0.2
"121","Reptiles","Tourism","Neutral (only when there is absolutely no difference in metrics)",2,0.2
"122","Reptiles","Tourism","Unclear",1,0.1
"123","Reptiles","Trade","Negative (detrimental)",1,0.1
"124","Reptiles","Trade","Neutral (only when there is absolutely no difference in metrics)",1,0.1
"125","Reptiles","Trade","Unclear",2,0.2
