"","metric_type","metric","tc","sig_effect","count"
"54","multiple species","Abundance/Density","Investment","Not significant or unclear",4
"55","multiple species","Abundance/Density","Knowledge Transfer","Beneficial",5
"56","multiple species","Abundance/Density","Knowledge Transfer","Detrimental",1
"57","multiple species","Abundance/Density","Knowledge Transfer","Not significant or unclear",6
"58","multiple species","Abundance/Density","Migration (human)","Detrimental",2
"59","multiple species","Abundance/Density","Species Dispersal","Beneficial",2
"60","multiple species","Abundance/Density","Species Dispersal","Changed",3
"61","multiple species","Abundance/Density","Species Dispersal","Detrimental",1
"62","multiple species","Abundance/Density","Species Dispersal","Not significant or unclear",1
"63","multiple species","Abundance/Density","Tourism","Beneficial",3
"64","multiple species","Abundance/Density","Tourism","Changed",1
"65","multiple species","Abundance/Density","Tourism","Detrimental",27
"66","multiple species","Abundance/Density","Tourism","Not significant or unclear",11
"67","multiple species","Abundance/Density","Trade","Beneficial",5
"68","multiple species","Abundance/Density","Trade","Changed",1
"69","multiple species","Abundance/Density","Trade","Detrimental",11
"70","multiple species","Abundance/Density","Trade","Not significant or unclear",6
"71","multiple species","Abundance/Density","Waste Transfer","Detrimental",1
"72","multiple species","Abundance/Density","Waste Transfer","Not significant or unclear",1
"73","multiple species","Abundance/Density","Water Transfer","Detrimental",1
"74","multiple species","Composition","Investment","Changed",1
"75","multiple species","Composition","Investment","Not significant or unclear",1
"76","multiple species","Composition","Migration (human)","Changed",1
"77","multiple species","Composition","Species Dispersal","Changed",2
"78","multiple species","Composition","Species Dispersal","Not significant or unclear",2
"79","multiple species","Composition","Tourism","Changed",17
"80","multiple species","Composition","Tourism","Detrimental",1
"81","multiple species","Composition","Tourism","Not significant or unclear",10
"82","multiple species","Composition","Trade","Changed",2
"83","multiple species","Composition","Trade","Not significant or unclear",1
"84","multiple species","Composition","Water Transfer","Changed",1
"85","multiple species","Diversity Index","Energy Transfer","Changed",3
"86","multiple species","Diversity Index","Energy Transfer","Not significant or unclear",1
"87","multiple species","Diversity Index","Knowledge Transfer","Beneficial",1
"88","multiple species","Diversity Index","Knowledge Transfer","Detrimental",3
"89","multiple species","Diversity Index","Species Dispersal","Beneficial",2
"90","multiple species","Diversity Index","Species Dispersal","Detrimental",1
"91","multiple species","Diversity Index","Species Dispersal","Not significant or unclear",4
"92","multiple species","Diversity Index","Tourism","Beneficial",7
"93","multiple species","Diversity Index","Tourism","Changed",2
"94","multiple species","Diversity Index","Tourism","Detrimental",8
"95","multiple species","Diversity Index","Tourism","Not significant or unclear",11
"96","multiple species","Diversity Index","Trade","Beneficial",1
"97","multiple species","Diversity Index","Trade","Changed",1
"98","multiple species","Diversity Index","Trade","Detrimental",6
"99","multiple species","Diversity Index","Trade","Not significant or unclear",3
"100","multiple species","Diversity Index","Waste Transfer","Not significant or unclear",2
"101","multiple species","Diversity Index","Water Transfer","Detrimental",1
"102","multiple species","Evenness","Knowledge Transfer","Detrimental",1
"103","multiple species","Evenness","Species Dispersal","Detrimental",2
"104","multiple species","Evenness","Tourism","Not significant or unclear",1
"105","multiple species","Evenness","Trade","Beneficial",1
"106","multiple species","Occurrence","Energy Transfer","Changed",2
"107","multiple species","Occurrence","Investment","Beneficial",1
"108","multiple species","Occurrence","Knowledge Transfer","Beneficial",1
"109","multiple species","Occurrence","Migration (human)","Detrimental",2
"110","multiple species","Occurrence","Tourism","Beneficial",1
"111","multiple species","Occurrence","Tourism","Not significant or unclear",1
"112","multiple species","Occurrence","Water Transfer","Changed",2
"113","multiple species","Population Dynamics","Energy Transfer","Changed",1
"114","multiple species","Population Dynamics","Knowledge Transfer","Changed",1
"115","multiple species","Population Dynamics","Species Dispersal","Detrimental",1
"116","multiple species","Population Dynamics","Tourism","Detrimental",5
"117","multiple species","Population Dynamics","Tourism","Not significant or unclear",4
"118","multiple species","Population Dynamics","Trade","Not significant or unclear",2
"119","multiple species","Population Dynamics","Water Transfer","Changed",1
"120","multiple species","Richness","Energy Transfer","Beneficial",3
"121","multiple species","Richness","Energy Transfer","Changed",3
"122","multiple species","Richness","Energy Transfer","Detrimental",1
"123","multiple species","Richness","Investment","Beneficial",1
"124","multiple species","Richness","Investment","Detrimental",1
"125","multiple species","Richness","Investment","Not significant or unclear",3
"126","multiple species","Richness","Knowledge Transfer","Beneficial",1
"127","multiple species","Richness","Knowledge Transfer","Detrimental",2
"128","multiple species","Richness","Knowledge Transfer","Not significant or unclear",3
"129","multiple species","Richness","Migration (human)","Detrimental",1
"130","multiple species","Richness","Species Dispersal","Beneficial",1
"131","multiple species","Richness","Species Dispersal","Detrimental",10
"132","multiple species","Richness","Species Dispersal","Not significant or unclear",6
"133","multiple species","Richness","Tourism","Beneficial",8
"134","multiple species","Richness","Tourism","Changed",1
"135","multiple species","Richness","Tourism","Detrimental",19
"136","multiple species","Richness","Tourism","Not significant or unclear",12
"137","multiple species","Richness","Trade","Beneficial",8
"138","multiple species","Richness","Trade","Changed",2
"139","multiple species","Richness","Trade","Detrimental",10
"140","multiple species","Richness","Trade","Not significant or unclear",10
"141","multiple species","Richness","Waste Transfer","Not significant or unclear",1
"142","multiple species","Richness","Water Transfer","Beneficial",1
"143","multiple species","Richness","Water Transfer","Detrimental",1
"144","habitat","Amount","Tourism","Beneficial",1
"145","habitat","Amount","Tourism","Detrimental",2
"146","habitat","Amount","Tourism","Not significant or unclear",1
"147","habitat","Amount","Trade","Beneficial",2
"148","habitat","Amount","Trade","Detrimental",2
"149","habitat","Quality","Investment","Beneficial",1
"150","habitat","Quality","Knowledge Transfer","Beneficial",1
"151","habitat","Quality","Species Dispersal","Not significant or unclear",3
"152","habitat","Quality","Tourism","Changed",1
"153","habitat","Quality","Tourism","Detrimental",3
"154","habitat","Quality","Waste Transfer","Detrimental",1
"155","habitat","Quality","Water Transfer","Detrimental",1
