"timestamp","coder_id","paper_id","year_pub","author","C1_biodiv","C2_meta","C3_quant","C4_study","meet_all_4","sup_check","comments","further_discuss","explicit_distant_impacts","explain_distant_impacts","status"
2020-03-31 11:21:52,"A_Torres","1551",2017,"Mota Machado","Benthic communities","Tourism","abundance of macrofauna species","Observational study","Yes","No","","No","Yes","Tourism, though the source of tourists is not mentioned","accept"
2020-04-27 11:53:31,"A_Herzberger","1565",2017,"Kirk","function bird groups","organic v. conventional ag","beta diversity, richness","Observational study","Yes","Yes","","No","No","They talked about how ag influences biodiversity on a global scale","accept"
2020-03-31 13:52:42,"A_Torres","1590",2017,"Dale","naturally generating forests","trade of woody pellets","extent of naturally generating forests and number of standing dead trees","Modeling study (using empirical data and not projected)","Yes","No","","","Yes","Exports of woody pellets from the southeastern United States (US) for European power plants","accept"
2020-04-14 10:25:10,"A_Herzberger","1616",2016,"Gamero","Farmland bird diversity ","EU conservation policy","farmland bird population growth rate, relative abundance  ","Observational study","Yes","Yes","","No","Yes","They study impact of the EU conservation directive ","accept"
2020-04-30 20:36:26,"M_Lei","1681",2017,"Ivanova","Summer Bat Colonies in the Devetashka Cave","Tourists","bat mortality","Observational study","Yes","No Supplementary Material Provided","","No","No","","accept"
2020-04-15 15:27:08,"K_Kapsar","1743",2017,"Balduino","Fish","Tourism","Species richness, abundance, diversity, dominance","Observational study","Yes","No","","No","Yes","""Tourists visit the area for cave tourism, birdwatching and, mainly, underwater trails (i.e. snorkeling along clear streams).""","accept"
2020-04-29 00:49:50,"Y_Zhang","1752",2017,"Zeeman","Plant species","Urbanization impact on native/non-native plant species occurance","species occurance","Observational study","Yes","Yes","","No","No","","accept"
2020-04-06 09:59:16,"X_Wu","1799",2017,"Harris","Birds","Pet trade","Bird abundance","Observational study","Yes","Yes","","No","","","accept"
2020-03-31 14:43:09,"A_Torres","1821",2017,"Wilting","biodiversity footprint","global trade","mean species abundance","Modeling study (using empirical data and not projected)","Yes","Yes","","","Yes","","accept"
2020-04-30 16:47:58,"M_Lei","2050",2017,"NAUDIYAL","the vegetation diversity under P. juliflora canopy","Trampling,cutting,grazing/browsing","Shannon diversity index","Observational study","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-05-28 14:12:42,"A_Herzberger","2201",2016,"Porros","medium to large mammals","Agriculture and Tourism","richness & abundance ","Observational study","Yes","Yes","","No","No","I inferred that Ag & tourism are telecouplings","accept"
2020-03-31 13:47:32,"A_Herzberger","2253",2016,"Ferrigno","community structure and composition of coral reefs","fishing and tourism","coral abundance, quality  ","Observational study","Yes","No Supplementary Material Provided","","No","Yes","measured distance from sample sites to fishing villages and scuba dive resorts","accept"
2020-04-30 17:30:01,"M_Lei","2284",2016,"Selier","the African elephant numbers in conservation area","tourist numbers","elephant numbers","Modeling study (using empirical data and not projected)","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-04-05 16:16:28,"X_Wu","2345",2016,"Farwell","Breeding songbirds","Shale gas development","Species richness","Observational study","Yes","Yes","","","","","accept"
2020-04-01 08:09:18,"A_Herzberger","2546",2015,"Sanderson","population of Annes I birds ","the EU conservation directive classification","bird populations","Observational study","Yes","Yes","","No","No","looking at the impact of the conservation directive on bird population classified as annex I","accept"
2020-03-26 15:25:32,"A_Herzberger","2577",2016,"Titelboim","fish abundance and richness ","power and desalination plants heat the water","Fish assemblage and species richness ","Observational study","Yes","Yes","","No","No","paper is written in the context of climate change","accept"
2020-03-19 10:56:42,"M_Lei","2577",2016,"Titelboim","abundance and richness of benthic foraminifera","Thermal pollution of power and desalination plants","abundance and richness","Observational study","Yes","Yes","","","","","accept"
2020-03-19 17:27:36,"X_Wu","2577",2016,"Titelboim","Abundance and richness of benthic foraminifera","Thermal pollution","Abundance and richness","Observational study","Yes","Yes","","","","","accept"
2020-03-19 20:57:33,"X_Wu","2606",2016,"Seer","Cover, richness and composition of plant species","Tourism","Cover, richness and composition of plant species","Observational study","Yes","Yes","","","","","accept"
2020-04-16 15:17:04,"K_Kapsar","2642",2016,"Lourdes","Fish","Aquaculture","species richness, evenness, and Shannon-Wiener diversity","Observational study","Yes","No","","No","No","Aquaculture was assumed to be for trade/distant consumption","accept"
2020-04-16 18:24:15,"A_Torres","2670",2016,"Cao","macroin-vertebrate assemblages","Tourism","assemblage composition, richness","Observational study","Yes","No","","No","No","Tourism is mentioned and quantify but not the sending systems","accept"
2020-03-19 09:38:48,"E_Dean","2704",2016,"Mammides","Migratory bird communities","Land use (roads, agriculture)","Species richness (total, passage migrants, resident breeders, increasing global pop. trends, stable global pop. trends, and decreasing global pop. trends)","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-04-05 07:35:27,"E_Dean","2998",2015,"Phomikong","Diversity and community structure of freshwater fishes","Use of dams for hydropower for cities in the surrounding area","Fish specie richness, Shannon's diversity index, abundance-biomass","Observational study","Yes","No Supplementary Material Provided","I will still fill out this survey although the flow is not readily apparent.","No","No","The author is comparing fish species diversity and composition among rivers with dams - there is not a ""flow"" that is apparent to connect hydropower (unless the dam as a structure would count) to connect to shifts in species diversity and composition.","accept"
2020-04-27 13:31:13,"C_Hovis","3112",2015,"Santos","corals","tourism","absence/presence","Observational study","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-04-05 07:57:11,"E_Dean","3122",2015,"Sa-Oliveira","Freshwater fish communities","Dams built for hydropower","the abundance, biomass, species richness, alpha diversity and species dominance","Observational study","Yes","No Supplementary Material Provided","I will assess this paper as we are not sure about inference.","No","No","There is no ""flow"" to connect distant impacts to change in biodiversity.","accept"
2020-03-20 00:22:48,"M_Lei","3151",2015,"LASNE","The nest density and spatial distribution of SEA LAMPREY(PETROMYZON MARINUS)","DAM REMOVAL","The nest density and spatial distribution","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-19 21:50:48,"X_Wu","3165",2015,"Fenu","Plant density and plant size of H. caput-felis","Tourism","Plant density and plant size","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-05-29 12:33:09,"A_Herzberger","3243",2015,"Harris","wild birds","wild bird trade","wild bird population","Observational study","Yes","Yes","","No","Yes","The birds go to ""Far away places"" like China ","accept"
2020-05-25 23:39:32,"M_Lei","3247",2015,"Valencia","tree biodiversity in coffee (Coffea arabica) agroforests","farmers’ knowledge of management practices","tree richness,tree density,shannon diversity","Observational study","Yes","No","","No","Yes","","accept"
2020-04-27 12:13:04,"C_Hovis","3335",2015,"Ginter","Pike perch population","Increase in internation demand/catch regulations/trans boundary managment","pop size and demographics","Observational study","Yes","No Supplementary Material Provided","","No","No","I think I did little inferring as they cite the transition to a market economy in the 1990s as a large pressure on the fishery but I had to google just to make sure that Estonia exported internationally (FAO report). I think it is safe to assume that the market economy shift = international markets. ","accept"
2020-03-18 09:19:25,"A_Herzberger","3456",2015,"Bravo","benthic community structure and composition","Diving tourism","identity and relative abundance of benthic taxa","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-04-02 14:02:07,"A_Torres","3456",2015,"Bravo","benthic communities","Tourism","percentage cover of benthic organisms and compared benthic assemblage structure and composition","Observational study","Yes","No Supplementary Material Provided","","No","Yes","Very touristic area","accept"
2020-03-19 15:48:05,"C_Hovis","3456",2015,"Bravo"," benthic organism pops"," tourism","assemblage structure, composition","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-15 13:02:37,"E_Dean","3456",2015,"Bravo","Local benthic communities","Tourism (scuba diving)","Identity of taxa, relative abundance, presence/absence","Observational study","Yes","No Supplementary Material Provided","They did not quantify ","","","","accept"
2020-04-15 21:54:59,"E_Xing","3456",2015,"Bravo","benthic assemblage structure and composition","divers, tourists","percentage cover of benthic organisms","Observational study","Yes","No Supplementary Material Provided","na","no such data in Chinese survey","yes","Recreational diving may produce a press impact on overall benthic assemblage structure and composition in sub-aquatic tourism areas in Puerto Madryn, Patagonia Argentina.","accept"
2020-03-17 14:38:27,"K_Kapsar","3456",2015,"Bravo","benthic community composition","recreational diving by tourists","assemblage structure, assemblage composition","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-19 12:23:36,"M_Lei","3456",2015,"Bravo"," Patagonian rocky reefs","Effect of recreational diving","Multivariate dispersion of assemblage structure(Disturbance)","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-23 12:22:07,"MG_Chung","3456",2015,"Bravo","marine benthic communities","the effect of recreational diving activities on benthic communities","assemblage structure; assemblage composition","Observational study","Yes","No Supplementary Material Provided","","No","Yes","""Sites were chosen based on the information obtained from records of the Puerto Madryn Tourism Office (Secretaría de Turismo 2014) and interviews with dive instructors and dive-centre owners (Bravo, 2013).""","accept"
2020-03-19 17:54:50,"X_Wu","3456",2015,"Bravo","Benthic assemblage structure and composition","Tourism"," Assemblage structure and composition","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-17 17:09:20,"Y_Dou","3456",2015,"Bravo","taxa of reefs affected by diving","diving ","Similarity matrices based on BrayeCurtis measure of  square-root transformed percentage covers","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-17 12:26:22,"Y_Zhang","3456",2015,"Bravo","Benthic assemblage structure and compositon","Tourism (scuba divers) impact on benthic organisms' assemblage structure and composition","Benthic assemblage structure and composition","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-04-27 17:45:07,"C_Hovis","3484",2015,"Reyes-Martinez","Macrofauna","Tourism","Assemblages","Observational study","Yes","No Supplementary Material Provided","","No","Yes","Specifically ref global tourism","accept"
2020-04-16 01:18:05,"E_Xing","3485",2015,"Hein","percent cover of corals","dive tourism","percent cover; disease prevalence","Observational study","Yes","No Supplementary Material Provided","na","no such data in Chinese survey","yes","Sites characterised as past high-use diving hotspot sites had lower mean percent cover of hard corals overall and of corals in the typically diseaseand disturbance-susceptible family Acroporidae","accept"
2020-04-28 10:21:33,"K_Kapsar","3511",2014,"Bocxlaer","M. tuberculata snails","Invasive morph of M. tuberculata ","density","Observational study","Yes","Yes","","No","Yes","The invasive morph comes from Asia","accept"
2020-05-14 16:00:00,"E_Xing","3583",2015,"Bispo","richness and diversity of aquatic insect fauna","Tourism","richness and abundance of aquatic insect","Observational study","Yes","No","na","no such data in Chinese survey","yes","The disturbances caused by tourism affect directly the diversity and abundance of aquatic insects in the Sentinela stream.","accept"
2020-04-16 02:12:49,"E_Xing","3668",2015,"Meyer","Introduce parasites to native turtle species","trade of freshwater turtles","polystome richness","Observational study","Yes","No","na","no such data in Chinese survey","yes","The global trade in freshwater turtles provides opportunity for parasites to be transported to new destinations which could impact the physiology, behavior and survival of native turtle species.","accept"
2020-05-25 17:22:22,"Y_Zhang","3697",2014,"Moraga","Guanaco Lama guanicoe","Ranching and commmercial logging (potential conflict) impact on guanaco abundance and spatical ecology","abundance","Observational study","Yes","No Supplementary Material Provided","","No","No","","accept"
2020-04-28 11:16:41,"K_Kapsar","3772",2014,"McDermid","Lake Sturgeon","Hydroelectric dams","Genetic diversity","Observational study","Yes","No Supplementary Material Provided","","No","No","Inferred that hydroelectric dams were for power generation for distant CHANS. ","accept"
2020-05-25 23:22:23,"Y_Zhang","3849",2014,"Wolf","vegetation species","Tourists impact on roads and hiking trials' plant species compositon, cover, and diversity","Plant cover, non-native species cover, simpson's diversity index","Observational study","Yes","No Supplementary Material Provided","","No","No","Tourists inferred ","accept"
2020-04-05 16:14:42,"E_Dean","3868",2014,"de Bie","Plant communities","Tourism","Plant species richness","Observational study","Yes","No Supplementary Material Provided","","","Yes","As a note, they briefly outline that tourism may affect species composition via disturbance.","accept"
2020-04-02 14:36:59,"A_Torres","3924",2014,"Cove","ocurrence of mesopredators","pineapple production for trade","species’ detection and occurrence","Observational study","Yes","No Supplementary Material Provided","","No","No","","accept"
2020-03-31 14:37:58,"C_Hovis","3924",2014,"Bravo","Occurrence of mesopredator ","presence of pineapple plantations","occurence","Observational study","Yes","Yes","Note that the authors report results for detection and occurrence. Only occurrence counts as a BD metric","No","No","Pineapple plantations not explicitly linked with distant drivers, but TC can be inferred in references","accept"
2020-03-15 11:21:39,"E_Dean","3924",2014,"Cove","Mesopredators in Costa Rica (tayra, white-nosed coati, northern racoon, common opossum)","Anthropogenic land use","Presence / absence of mesopredators","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-17 12:14:15,"K_Kapsar","3924",2014,"Cove","mesopredator occupancy","pineapple plantations, cattle ranching ","detection and occurrence models","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-19 11:48:23,"M_Lei","3924",2014,"Cove","Nest predators occurrence in the Neotropics","fragmentation and landscape changes","index of habitat heterogeneity and habitat fragmentation;Nest predators occurrence .","Observational study","Yes","Yes","","","","","accept"
2020-04-02 21:38:11,"MG_Chung","3924",2014,"Cove","mesopredator abundance","the impacts of pineapple production (land use changes) on mesopredator","species detection; species occurence","Observational study","Yes","Yes","","No","No","They just focused on intracoupling, not mentioned distant flows.","accept"
2020-04-28 13:16:41,"K_Kapsar","3989",2014,"Bessa","Macroinvertebrates","Tourism","community structure, abundance, etc. ","Observational study","Yes","No","","No","Yes","""On the other hand, the increase in the number of tourists
recorded in the country (INE–National Institute of Statistics) in the
last years has potentiated the improvement of sandy beaches’ facil-
ities to promote the aesthetic and economic value of beaches along
the entire coast(Veloso-Gomes andTaveira-Pinto,2003). However,
the ecological implications of these actions were never assessed.""","accept"
2020-04-30 14:39:37,"Y_Zhang","4020",2014,"Huhta","Several bird species","Human disturbance (tourism) impact on bird abundance","abundance","Observational study","Yes","No Supplementary Material Provided","","No","No","","accept"
2020-06-03 15:02:51,"A_Herzberger","4060",2014,"Kleijn","Waterbird population","designated protected by the Rasmar Convention","abundance","Observational study","Yes","Yes","","No","Yes","The paper compares birds on wetlands that have been designated protected v. unprotected  by the international Rasmar Convention ","accept"
2020-04-29 17:21:58,"C_Hovis","4063",2014,"Sealey","Plant","Human impact (tourism)","plant richness, community","Observational study","Yes","No Supplementary Material Provided","","No","Yes","Tourism mentioned as key driver of human impact metric","accept"
2020-03-18 15:15:52,"A_Herzberger","4087",2012,"Randall","waterfowl communites ","wetland reserve program","bird density ","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-18 12:14:32,"MG_Chung","4132",2014,"Bjerke","the Svalbard-breeding population of pink-footed goose (Anser brachyrhynchus)","the impacts of goose grazing on hay biomass and quality (diary grassland for farmers)","the Shannon biodiversity index","Experimental study","Yes","No Supplementary Material Provided","","","","","accept"
2020-03-18 14:48:33,"MG_Chung","4155",2014,"Thomas","songbird species","the effects of conventional oil and gas development on the abundance of songbird species and guilds, species diversity, and community similarity within and between mixed hardwood and oak forest types","songbird species counts; counts of individuals within guilds","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-05-26 10:55:13,"Y_Zhang","4209",2014,"Molina-Montenegro","Poa annua (invasive species to Antarctica)","Human activities (migration) impact poa annua presence and abundance","Abundance","Observational study","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-05-19 12:21:07,"X_Wu","4257",2014,"Miranda","Benthic assemblages","Species invasion caused by trade","Composition","Observational study","Yes","Yes","","","","","accept"
2020-04-30 15:31:42,"Y_Zhang","4293",2014,"Ballantyne","Several plant species","Hiking trails impact on species richness, abundance","Species abundance","Observational study","Yes","No Supplementary Material Provided","","No","No","Use hiking trails  in 2003 vs. 2013 for comparison. Not explicit mentioned number of tourists etc.","accept"
2020-04-06 10:53:29,"X_Wu","4393",2013,"Hanafiah","Freshwater native species","Species invasion","Species richness","Modeling study (using empirical data and not projected)","Yes","Yes","This paper mainly used secondary data.","No","Yes","","accept"
2020-05-26 00:01:28,"Y_Zhang","4445",2013,"Wolf","bird communities","Tourists impact on bird communities along road/hiking trails","Bird abundance, species richness","Observational study","Yes","No Supplementary Material Provided","","No","No","","accept"
2020-05-28 14:53:09,"K_Kapsar","4509",2013,"Luo","bats","tourists","spp richness","Observational study","Yes","No Supplementary Material Provided","","No","No","Authors analyzed the diversity of bats in tourist visited caves. ","accept"
2020-04-06 15:36:41,"X_Wu","4551",2013,"Fukami","Plant species","Species invasion","Alpha, beta and gamma diversity of native plants","Observational study","Yes","No Supplementary Material Provided","","","","","accept"
2020-04-29 13:52:56,"K_Kapsar","4552",2013,"Zhou","Mammals","Tourism","Presence","Observational study","Yes","Yes","","No","No","Assumed that tourists are from a different CHANS. ","accept"
2020-05-11 02:21:13,"E_Xing","4574",2013,"BERGER","persistence of Large Mammals in Central Asia","Cashmere Marketing","biomass and relative abundance of Large Mammals in Central Asia","Observational study","Yes","No","na","no such data in Chinese survey","yes","The multibillion dollar cashmere industry creates economic motivations that encourages herders to increase livestock production which affects persistence of over 6 endangered large mammals in these remote, arid ecosystems.","accept"
2020-04-30 12:55:08,"C_Hovis","4760",2013,"Sada","Branchipods","Tourism","egg density","Observational study","Yes","No Supplementary Material Provided","","No","Yes","Site of burning man festival, global attraction","accept"
2020-04-30 18:53:41,"K_Kapsar","4831",2013,"Pour","macroinvertebrates","tourism","richness, density ,assemblage structure","Observational study","Yes","No","","No","Yes","Mentioned tourists come from afar to visit this beach (although fewer tourists than locals).","accept"
2020-04-30 21:27:18,"M_Lei","4832",2013,"SILCOCK","Arid vegetation in South Australia","grazing","richness and abundance","Experimental study","Yes","No Supplementary Material Provided","","No","No","Grazing involves the movement of feeding animals","accept"
2020-04-27 16:00:34,"C_Hovis","4850",2015,"Arizaga","assemblage bird","invasive spp","assemblage and body condition","Observational study","Yes","No Supplementary Material Provided","","No","Yes","","accept"
2020-04-30 17:02:58,"Y_Zhang","5063",2019,"Warren","Several bird species","Urbanization impact on bird species","Occupancy, richness, abundance","Observational study","Yes","Yes","","No","Yes","","accept"
2020-04-30 17:49:55,"Y_Zhang","5076",2018,"Assandri","Several birds","Agricultural lands impact on bird richness","Richness","Observational study","Yes","Yes","","No","No","","accept"
