"timestamp","paper_id","taxa","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","coder_id","entry"
2020-03-18 14:35:21,1488,"Birds","3","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.01","Carnivore","C_Hovis","3"
2020-03-18 14:36:19,1488,"Birds","4","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Negative (detrimental)","TRUE","0.05","insectivore","C_Hovis","4"
2020-03-18 14:37:52,1488,"Birds","5","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Negative (detrimental)","FALSE","","frugivore","C_Hovis","5"
2020-03-18 14:39:03,1488,"Birds","6","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Negative (detrimental)","FALSE","","granivore","C_Hovis","6"
2020-03-18 14:40:22,1488,"Birds","7","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","Gamma (across all sites)","Seasonal","Positive (beneficial)","FALSE","","omnivore","C_Hovis","7"
2020-03-18 14:41:17,1488,"Birds","8","Taxonomic","","Composition (what species?)","","Gamma (across all sites)","Seasonal","Changed (e.g. species composition)","TRUE","","","C_Hovis","8"
2020-03-18 14:43:59,1488,"Birds","9","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Gamma (across all sites)","Seasonal","Positive (beneficial)","FALSE","0.074","impact of invasive spp, Authors call this ""significant""","C_Hovis","9"
2020-03-18 14:45:07,1488,"Birds","10","Taxonomic","","Richness (number of species)","","Gamma (across all sites)","Seasonal","Neutral","FALSE","","","C_Hovis","10"
2020-03-18 20:34:25,1488,"Birds","1","Taxonomic","","Composition (what species?)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Changed (e.g. species composition)","TRUE","","We identified habitat type...as significant predictor of bird community composition. ","K_Kapsar","1"
2020-03-18 20:34:28,1488,"Birds","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","At the point count level, species richness and total abundance were significantly higher in savanna than in oil palm. ","K_Kapsar","1"
2020-03-18 20:34:30,1488,"Birds","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","At the point count level, species richness and total abundance were significantly higher in savanna than in oil palm. ","K_Kapsar","1"
2020-03-18 20:34:32,1488,"Birds","10","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more insectivorous birds in savanna than oil palm. ","K_Kapsar","10"
2020-03-18 20:34:35,1488,"Birds","9","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","Non-significant difference in omnivorous birds between savanna and oil palm","K_Kapsar","9"
2020-03-18 20:34:38,1488,"Birds","8","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","Non-significant difference in granivorous birds between savanna and oil palm","K_Kapsar","8"
2020-03-18 20:34:40,1488,"Birds","7","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","Non-significant difference in frugivorous birds between savanna and oil palm","K_Kapsar","7"
2020-03-18 20:34:42,1488,"Birds","6","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more carnivorous birds in savanna than oil palm. ","K_Kapsar","6"
2020-03-18 20:34:45,1488,"Birds","5","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","Non-significant difference in multi-habitat birds in savanna and oil palm. ","K_Kapsar","5"
2020-03-18 20:34:47,1488,"Birds","4","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more grassland birds in savanna than oil palm. ","K_Kapsar","4"
2020-03-18 20:34:51,1488,"Birds","3","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more forest birds in savanna than oil palm. ","K_Kapsar","3"
2020-03-18 20:34:53,1488,"Birds","2","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more aquatic birds in savanna than oil palm. ","K_Kapsar","2"
2020-03-18 20:34:55,1488,"Birds","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","Not evaluated","","Snapshot time period

Estimated total species richness was 31.3% higher in natural savannas than oil palm
plantations (Table 1).","K_Kapsar","1"
2020-03-19 13:14:31,1488,"Birds","2","Taxonomic","",NA,NA,"Alpha (w/in site)","Day","Negative (detrimental)","FALSE","","","M_Lei","2"
2020-03-19 13:14:33,1488,"Birds","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","","M_Lei","1"
2020-03-19 16:46:59,1488,"Birds","1","Taxonomic",NA,"Richness (number of species)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","All species","X_Wu","1"
2020-03-19 16:48:21,1488,"Birds","2","Taxonomic",NA,"Richness (number of species)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","Savanna specialists","X_Wu","2"
2020-03-19 16:52:20,1488,"Birds","3","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.01","Aquatic ","X_Wu","3"
2020-03-19 16:53:26,1488,"Birds","4","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","Forest","X_Wu","4"
2020-03-19 16:55:10,1488,"Birds","5","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","Grassland","X_Wu","5"
2020-03-19 16:56:09,1488,"Birds","6","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Positive (beneficial)","FALSE","","Multiple habitat","X_Wu","6"
2020-03-19 16:57:45,1488,"Birds","7","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.01","Carnivore","X_Wu","7"
2020-03-19 16:58:49,1488,"Birds","8","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","FALSE","","Frugivore","X_Wu","8"
2020-03-19 16:59:57,1488,"Birds","9","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","FALSE","","Granivore","X_Wu","9"
2020-03-19 17:00:49,1488,"Birds","10","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","Insectivore","X_Wu","10"
2020-03-19 17:01:35,1488,"Birds","11","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Positive (beneficial)","FALSE","","Omnivore","X_Wu","11"
2020-03-23 11:33:23,1488,"Birds","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.001","species richness; ""At the point count level, species richness and total abundance were significantly higher in svanna than in oil palm (Table A2).""","MG_Chung","1"
2020-03-23 11:34:51,1488,"Birds","2","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.001","species abundance; ""points within savanna held 6.5 more species on average than points in oil palm, and 26.5 more individual birds (Table A2).""","MG_Chung","2"
2020-03-23 11:36:15,1488,"Birds","3","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.001","bird community composition; ""habitat type (savanna versus oil palm) explained the greatest deviance in bird community structure (Table A3)""","MG_Chung","3"
2020-03-30 20:17:57,1488,"Birds","1","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","Not evaluated","","Habitat type","A_Torres","1"
2020-03-30 20:19:05,1488,"Birds","2","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","Not evaluated","","Habitat type","A_Torres","2"
2020-03-30 20:19:57,1488,"Birds","3","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Unclear","Not evaluated","","Distance to oil palm plantation","A_Torres","3"
2020-03-30 20:20:31,1488,"Birds","4","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","Not evaluated","","Distance to oil palm plantation","A_Torres","4"
2020-03-30 20:21:09,1488,"Birds","5","Taxonomic","","Composition (what species?)","","","Seasonal","Changed (e.g. species composition)","Not evaluated","","Distance to oil palm plantation","A_Torres","5"
2020-03-30 20:22:03,1488,"Birds","6","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Habitat type","A_Torres","6"
2020-03-30 20:22:44,1488,"Birds","7","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.02","","A_Torres","7"
2020-03-30 20:23:18,1488,"Birds","8","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.002","Habitat type","A_Torres","8"
2020-03-30 20:23:57,1488,"Birds","9","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Positive (beneficial)","FALSE","","Habitat type","A_Torres","9"
2020-03-30 20:24:45,1488,"Birds","10","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Habitat type","A_Torres","10"
2020-03-30 20:26:07,1488,"Birds","11","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","FALSE","","Abundance of frugivores","A_Torres","11"
2020-03-30 20:26:51,1488,"Birds","12","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","FALSE","","Abundance of granivores","A_Torres","12"
2020-03-30 20:27:31,1488,"Birds","13","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.017","Abundance of insectivores","A_Torres","13"
2020-03-30 20:28:12,1488,"Birds","14","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Positive (beneficial)","FALSE","","Abundance of omnivores","A_Torres","14"
2020-03-30 20:29:02,1488,"Birds","15","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Abundance of migratory species","A_Torres","15"
2020-03-30 20:29:50,1488,"Birds","1","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","Not evaluated","","Species richness","A_Torres","1"
2020-03-30 20:30:23,1488,"Birds","2","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","Not evaluated","","Species abundance","A_Torres","2"
2020-03-30 20:31:00,1488,"Birds","3","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Unclear","Not evaluated","","Species richness","A_Torres","3"
2020-03-30 20:32:37,1488,"Birds","6","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Abundance of aquatic birds","A_Torres","6"
2020-03-30 20:33:16,1488,"Birds","7","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.02","Abundance of forest birds","A_Torres","7"
2020-03-30 20:33:58,1488,"Birds","8","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.002","Abundance of grassland birds","A_Torres","8"
2020-03-30 20:34:42,1488,"Birds","9","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Positive (beneficial)","FALSE","","Abundance of multiple birds","A_Torres","9"
2020-03-30 20:35:20,1488,"Birds","10","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Abundance of carnivores","A_Torres","10"
2020-03-31 12:10:03,1551,"Invertebrates","1","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","TRUE","0.001","Richness-Grussai beach","A_Torres","1"
2020-03-31 12:10:38,1551,"Invertebrates","2","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","","A_Torres","2"
2020-03-31 12:11:15,1551,"Invertebrates","2","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Density-Grussai beach","A_Torres","2"
2020-03-31 12:14:43,1551,"Invertebrates","3","Taxonomic","","Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","TRUE","0.001","Diversity-Grussai beach","A_Torres","3"
2020-03-31 12:15:28,1551,"Invertebrates","4","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","FALSE","","Richness-Grussai beach-upper sector","A_Torres","4"
2020-03-31 12:16:12,1551,"Invertebrates","5","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","TRUE","0.001","Richness-Grussai beach-medium sector","A_Torres","5"
2020-03-31 12:16:52,1551,"Invertebrates","6","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","FALSE","","Richness-Grussai beach-lower sector","A_Torres","6"
2020-03-31 12:17:33,1551,"Invertebrates","7","Taxonomic","","Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","FALSE","","Diversity-Grussai beach-upper sector","A_Torres","7"
2020-03-31 12:18:18,1551,"Invertebrates","8","Taxonomic","","Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","TRUE","0.001","Diversity -Grussai beach-medium sector","A_Torres","8"
2020-03-31 12:18:58,1551,"Invertebrates","9","Taxonomic","","Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","FALSE","","Diversity-Grussai beach-lower sector","A_Torres","9"
2020-03-31 12:19:43,1551,"Invertebrates","10","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","TRUE","0.001","Composition-Grussai beach","A_Torres","10"
2020-03-31 12:20:35,1551,"Invertebrates","11","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","FALSE","","Composition-Grussai beach-upper sector","A_Torres","11"
2020-03-31 12:21:15,1551,"Invertebrates","12","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","TRUE","0.001","Composition-Grussai beach-medium sector","A_Torres","12"
2020-03-31 12:21:54,1551,"Invertebrates","13","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","TRUE","0.001","Composition-Grussai beach-lower sector","A_Torres","13"
2020-03-31 12:22:37,1551,"Invertebrates","14","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","FALSE","","Richness-Manguinhos beach","A_Torres","14"
2020-03-31 12:23:14,1551,"Invertebrates","15","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","FALSE","","Density-Manguinhos beach","A_Torres","15"
2020-03-31 12:23:50,1551,"Invertebrates","16","Taxonomic","","Diversity index (Shannon-Weiner, Simpson's, Inverse Simpson's, etc.)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","FALSE","","Diversity-Manguinhos beach","A_Torres","16"
2020-03-31 12:24:35,1551,"Invertebrates","17","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Composition-Manguinhos beach","A_Torres","17"
2020-03-31 12:25:15,1551,"Invertebrates","19","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Composition-Manguinhos beach-upper sector","A_Torres","19"
2020-03-31 12:26:15,1551,"Invertebrates","19","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","TRUE","0.013","Composition-Manguinhos beach-medium sector","A_Torres","19"
2020-03-31 12:26:54,1551,"Invertebrates","20","Taxonomic","","Composition (what species?)","","Alpha (w/in site)","Seasonal","Neutral (only when there is absolutely no difference in metrics)","FALSE","","Composition-Manguinhos beach-lower sector","A_Torres","20"
2020-03-31 12:27:47,1551,"Invertebrates","21","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","","Seasonal","Negative (detrimental)","FALSE","","Density of Atlantorchestoidea brasiliensis","A_Torres","21"
2020-03-31 12:28:19,1551,"Invertebrates","22","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","","Seasonal","Negative (detrimental)","FALSE","","Density of Donax hanleyanus","A_Torres","22"
2020-03-31 12:28:57,1551,"Invertebrates","23","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","","Seasonal","Unclear","FALSE","","Density of Emerita brasiliensis","A_Torres","23"
2020-03-31 12:29:30,1551,"Invertebrates","24","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","","Seasonal","Unclear","FALSE","","Density of Excirolana braziliensis","A_Torres","24"
2020-03-31 12:30:06,1551,"Invertebrates","25","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","","","","Seasonal","Negative (detrimental)","TRUE","0.003","Density of Hemipodia californiensis","A_Torres","25"
