Timestamp,Coder ID,Paper ID Code ,Year Published,First Author's Last Name,Criteria 1: Biodiversity,Criteria 2: Metacoupling,Criteria 3: Biodiversity Quantification,Criteria 4: Study Type,Were you able to explicitly indicate that the paper meets all four of our criteria for the previous questions?,,,Did you check for relevant information in the supplementary material?,Concerns/Comments,Does this paper need further discussion with the whole group? (Expect most answers to be no),"Did the authors explicitly reference distant impacts on biodiversity in the text of the paper? (If yes, you did not have to infer that there was a telecoupling process.)",Please explain your above answer.
5/1/2020 10:30:40,R_Chen,265,2015,Mikoláš,Capercaillie,forest management,number of Capercaillie,Observational study,Yes,,,Yes,,No,No,forest management is a local action
5/1/2020 10:05:40,R_Chen,264,2016, Okuno,Mammoth,Global Legal Framework,number of species,Review (not qualified for coding),No,,,No Supplementary Material Provided,,,,
5/1/2020 10:02:30,R_Chen,252,2017,Wraith,orchid,Tourism and recreation,the number of orchid species,Observational study,Yes,,,No Supplementary Material Provided,,No,No,only discussed residential and commercial development for tourism and recreation areas
5/1/2020 9:51:39,R_Chen,240,2019,Vogdrup-Schmidt,migratory species,Transnational Conservation,habitat area,Observational study,No,,,Yes,,,,
5/1/2020 9:49:35,Y_Li,813,2018,Mantelatto,corals,invasive species," space-occupying taxa/functional groups, their percentage cover (%) and the richness, Shannon–Wiener diversity index and Pielou evenness",Observational study,Yes,,,No,,No,Yes,
5/1/2020 9:46:38,R_Chen,213,2015,Faille,cave fauna,Tourism,number of species and species richness,Observational study,Yes,,,Yes,,No,No,not specify where the tourism is from
5/1/2020 9:42:41,R_Chen,180,2019,Pinna,vegetation,tourism,"the total plant cover (%), the number of species (richness),",Observational study,Yes,,,Yes,,No,No,"tourism is more general, not explain where they from"
5/1/2020 9:34:57,R_Chen,161,2014,Kowalewski,Clam,tourism,abundance of mollusk shells,Observational study,Yes,,,Yes,,No,Yes,Tourism impacts
5/1/2020 9:30:52,R_Chen,152,2015,Manley,pollinating insects,Global transportation of commercial species,Prevalence ,Observational study,Yes,,,Yes,,No,Yes,Global transportation 
5/1/2020 9:25:41,R_Chen,91,2017,Parchizadeh,mammals,Protected Area,mammals numbers,Observational study,No,,,No Supplementary Material Provided,,,,
5/1/2020 9:18:20,R_Chen,85,2018,Silva,mammals,Protected Areas,number of species,Observational study,No,,,Yes,,,,
5/1/2020 9:14:43,R_Chen,71,2013,Ellis,Migratory Birds,Marine Commercial Fisheries and Offshore Oil and Gas Production,number of migratory birds,Observational study,Yes,,,No Supplementary Material Provided,,No,No,human marine development
5/1/2020 9:09:27,R_Chen,57,2019,Klarenberg,plant,road development,plant species richness,Observational study,No,,,Yes,,,,
5/1/2020 9:03:40,R_Chen,47,2012,Aggemyr,plant,land use change,species richness,Observational study,No,,,Yes,,,,
5/1/2020 8:57:59,R_Chen,42,2013,Shrestha,caterpillar fungus,telecoupling,mean annual harvest,Observational study,Yes,,,Yes,,No,Yes,Trade
5/1/2020 8:49:41,R_Chen,31,2015,Marull,no,rural out-migration,no,Observational study,No,,,Yes,,,,
4/30/2020 22:49:41,M-Lei,471,2011,WIANCKO,Landbird in three coastal habitats,resorts sites,landbird richness and abundance,Observational study,Yes,,,Yes,,No,No,This article examines the effects of resorts on richness and abundance of landbird.
4/30/2020 22:21:16,M_Lei,285,2014,Criddle,Bering Sea pollock,NA(changing technologies and climate change),NA,Simulation or Forecasting study (does not qualify for coding),No,,,No,,No,No,
4/30/2020 22:17:20,M_Lei,67,2018,Kang, the dung beetle Gymnopleurus mopsus,expansion of the dung beetle Gymnopleurus mopsus,NA,Experimental study,No,,,No,,No,No,
4/30/2020 22:08:54,M_Lei,6649,2011,Madhoo,No,Fish imports,NA,Modeling study (using empirical data and not projected),No,,,No,,No,No,
4/30/2020 21:57:35,Y_Zhang,7011,2010,Yasue,Fish,"Presence of marine protected areas impact on fish abundance, size, and diversity","[perception of] fish abundance, size, and diveristy",Observational study,No,,,No Supplementary Material Provided,"This is study is based on surveys of human perception of fish abundance, size, and diversity, not a direct measurement on those parameters. I am not sure if we should include this paper or not [I am leaning towards NO, thoughts?]",Yes,Yes,"MPA impact on fish abundance, size, and diversity"
4/30/2020 21:39:39,M_Lei,5371,2018,Putra,No,Numerous freshwater crayfish species are known to become successful invaders when introduced to new territories.,NA,Review (not qualified for coding),No,,,No,,No,Yes,
4/30/2020 21:36:38,M_Lei,5057,2019,Simms,NA,colonisation of post-fire fauna,NA,Observational study,No,,,No,,No,No,
4/30/2020 21:31:18,Y_Zhang,6948,2010,Hvenegaard,Several shorebirds,Tourism impact on shorebirds population,Number of shorebirds by species,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,Correlate number of tourists with number of shorebirds (without specifying where the tourists came from)
4/30/2020 21:27:18,M_Lei,4832,2013,SILCOCK,Arid vegetation in South Australia,grazing,richness and abundance,Experimental study,Yes,,,No Supplementary Material Provided,,No,No,Grazing involves the movement of feeding animals
4/30/2020 21:21:40,Y_Zhang,6654,2011,Marin-Espinoza,NA,NA,NA,NA,No,,,No Supplementary Material Provided,Language other than English,No,No,
4/30/2020 21:20:38,Y_Zhang,6373,2011,Leon,Ground finch,Unclear ,Unclear,Observational study,No,,,Yes,It is a study of animal morphology about bird peak and seed hardness...,No,No,
4/30/2020 21:10:30,M-Lei,4148,2014,Nackoney,No,civil conflict,NA,Modeling study (using empirical data and not projected),No,,,No Supplementary Material Provided,,No,No,
4/30/2020 21:06:21,M_Lei,2791,2016,Zelasko,Abundance and Population Dynamics of Invasive Northern Pike,Invasive Northern Pike,Abundance and Population,Observational study,No,,,No,,No,No,
4/30/2020 21:01:31,Y_Zhang,6055,2012,Menon,Migratory birds,Urbanization impact on migratory birds,Unclear (no quantitative metrics measured),Review (not qualified for coding),No,,,No Supplementary Material Provided,,No,No,
4/30/2020 20:56:55,M_Lei,2776,2016,Pakulnicka,Aquatic beetles (Coleoptera) in springs,a small lowland river,Aquatic beetles richness,Observational study,No,,,No,migration of a species on biodiversity but without human-interference,No,No,
4/30/2020 20:52:51,Y_Zhang,6005,2011,Denac,Scops Owl,"Unclear (habitat selection only, about environmental conditions)",Probability of occupancy,Observational study,No,,,No Supplementary Material Provided,,No,No,
4/30/2020 20:51:33,M_Lei,2421,2016,Huisman,European silver eel Anguilla anguilla migration in the North Sea,silver eel migration,Migratory routes and activity,Observational study,No,,,No,migration of a species on biodiversity but without human-interference,No,No,
4/30/2020 20:41:45,M_Lei,1902,2017,Loyau,No,Positive sentiment and knowledge,NA,Observational study,No,,,No,,No,No,
4/30/2020 20:39:22,M_Lei,1860,2017,Lundmark,No,knowledge communicaiton,NA,Observational study,No,,,No,,No,No,
4/30/2020 20:36:26,M_Lei,1681,2017,Ivanova,Summer Bat Colonies in the Devetashka Cave,Tourists,bat mortality,Observational study,Yes,,,No Supplementary Material Provided,,No,No,
4/30/2020 20:36:15,Y_Zhang,5010001,2018,Aune,marine mammals and sea birds,Oil and gas exploration impact on marine mammals and sea birds,Unclear (no quantitative metrics measured),Observational study,No,,,No Supplementary Material Provided,,No,No,
4/30/2020 19:27:43,M_Lei,708,2018,Raghavan,dynamics of redline torpedo barb in india,unmanaged harvests,"Distribution of length frequencies, total mortality",Observational study,Yes,,,No Supplementary Material Provided,,No,No,unmanaged harvests for the aquarium trade
4/30/2020 19:09:57,M_Lei,567,2018,Boileau,shrub expansion,migratory caribou,shrub species cover,Observational study,No,,,No,migration of a species on biodiversity but without human-interference,No,No,
4/30/2020 19:05:04,M_Lei,318,2019,Davis,No,NA,NA,Modeling study (using empirical data and not projected),No,,,No,,No,No,
4/30/2020 19:02:23,M_Lei,5589,2012,Norfolk,arthropod biodiversity within runoff agroforestry,technique,"Average arthropod abundance, species richness and simpson diversity.",Observational study,Yes,,,No,,Yes,No,Use a technique known as runoff agroforestry to capture rainwater and increase the agricultural potential of the arid landscape
4/30/2020 18:53:41,K_Kapsar,4831,2013,Pour,macroinvertebrates,tourism,"richness, density ,assemblage structure",Observational study,Yes,,,No,,No,Yes,Mentioned tourists come from afar to visit this beach (although fewer tourists than locals).
4/30/2020 18:47:34,M_Lei,83,2019,Byrne,No,NA,NA,Modeling study (using empirical data and not projected),No,,,Yes,,No,No,
4/30/2020 18:43:57,M_Lei,7256,2010,Rajwar,No,No,No,Simulation or Forecasting study (does not qualify for coding),No,,,No Supplementary Material Provided,,No,No,
4/30/2020 18:34:55,M_Lei,80,2019,Krawczyk,touristic development on Mediterranean island birds and reptile,buildings and roads,bird and reptile abundance,Observational study,Yes,,,Yes,,No,Yes,
4/30/2020 18:10:22,M_Lei,6868,2010,Cobo,No,non-indigenous freshwater species records,NA,Modeling study (using empirical data and not projected),No,,,No Supplementary Material Provided,,No,No,
4/30/2020 18:04:25,M_Lei,4107,2014,Huiskes,NO,plant invasion in Antarcica,NA,Modeling study (using empirical data and not projected),No,,,Yes,,No,No,
4/30/2020 17:58:14,M_Lei,713,2018,Arbieu,Large mammal richness within protected areas in in Southern Africa,visitor numbers,Large mammal richness and Abundance,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,
4/30/2020 17:49:55,Y_Zhang,5076,2018,Assandri,Several birds,Agricultural lands impact on bird richness,Richness,Observational study,Yes,,,Yes,,No,No,
4/30/2020 17:34:02,K_Kapsar,5980,2012,Ortega,clams,None,landings of clams,Modeling study (using empirical data and not projected),No,,,No,"This paper looked really good -- examining the relationship between market prices and clam abundance. However, clam abundance of M. donacium was measured in landings (not an abundance metric), and actual abundance measures of M. mactroides were not evaluated in relationship to market price. ",No,No,
4/30/2020 17:32:46,M_Lei,648,2018,Huelsz,NO,Tourism,NA,Modeling study (using empirical data and not projected),No,,,No Supplementary Material Provided,,No,No,
4/30/2020 17:30:01,M_Lei,2284,2016,Selier,the African elephant numbers in conservation area,tourist numbers,elephant numbers,Modeling study (using empirical data and not projected),Yes,,,No Supplementary Material Provided,,No,Yes,
4/30/2020 17:25:52,Y_Zhang,5314,2018,Reif,Bird population,Agricultural production intensity impact on farmland bird population,Relative population abundance,Observational study,Yes,,,Yes,,No,No,Agricultural impact on farmland bird population
4/30/2020 17:13:48,M_Lei,396,2019,Wraith,orchids richness in Australia,tourism and grazing ,orchids richness,Modeling study (using empirical data and not projected),Yes,,,No Supplementary Material Provided,,No,Yes,
4/30/2020 17:02:58,Y_Zhang,5063,2019,Warren,Several bird species,Urbanization impact on bird species,"Occupancy, richness, abundance",Observational study,Yes,,,Yes,,No,Yes,
4/30/2020 16:57:26,K_Kapsar,5782,2012,Martin,Great Bustard abundance,Agricultural policy ,Abundance,Observational study,Yes,,,No,,No,No,"""The total area cultivated with unirrigated legumes crops that are largely promoted under agri-environment schemes, increased in Castilla y León during the 1998-2008, although not uniformly throughout the region."" "
4/30/2020 16:47:58,M_Lei,2050,2017,NAUDIYAL,the vegetation diversity under P. juliflora canopy,"Trampling,cutting,grazing/browsing",Shannon diversity index,Observational study,Yes,,,No Supplementary Material Provided,,No,Yes,
4/30/2020 16:33:43,K_Kapsar,4831,2012,Chepinoga,Vascular plants,Tourism,Species richness,Observational study,Yes,,,No,,No,No,"""Tourists"" are mentioned, but it is unspecified exactly where they came from. These seem like remote islands though, so I think it's safe to assume a telecoupling of at least some scale. "
4/30/2020 16:14:27,M_Lei,523,2018,Kouvari,mammals of extinction, human activity,extinct taxa,Modeling study (using empirical data and not projected),Yes,,,Yes,,No,Yes,
4/30/2020 15:49:22,M_Lei,4504,2013,Tolkkinen,"leaf-shredding macroinvertebrates, fungal decomposers and leaf decomposition rates in boreal streams",NO,Richness and evenness,Observational study,No,,,No Supplementary Material Provided,,No,No,
