Timestamp,Coder ID,Paper ID Code ,Year Published,First Author's Last Name,Taxonomic Focus,Habitat Focus,Number of Countries Involved,Countries Analyzed,Continent(s) represented,Scale of Entire System,Number of Time Periods (number),Starting Year of Study,Ending Year of Study,Temporal Resolution,Temporal Resolution (Unknown/Unclear),,Metacoupling Variable Type,Before/During/After,Specific Peri- or Telecoupled Flow(s),Telecoupled Flow Category,,,,,,Separation of Peri- and Telecoupled Connections,Separation of Peri- and Telecoupled Connections (uncertain),,Source of Biodiversity Data,Source of Metacoupling Data,Type of Biodiversity Data,Type of Metacoupling Data,Scale of biodiversity metric(s)?,Comments/Concerns,How many metrics of biodiversity did the study report?,What were the specific metrics reported?,Does this paper need further discussion with the whole group? (Expect most answers to be no),Countries Analyzed for Biodiversity
3/18/2020 15:23:17,A_Herzberger,4087,2012,Randall,Birds,"Terrestrial, Freshwater",1,USA,North America,Sub-national ((within-country region),13,1995,2007,Annually,,,Categorical,"Before, After",state conservation program,Knowledge Transfer,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,bird density,No,
3/19/2020 9:52:00,A_Herzberger,4841,2015,Condon,Invertebrates,Marine,20,many,"North America, South America, Asia, Europe, Africa, Antarctica, Oceania (Australia, New Zealand, Fiji, etc)",Global (>100 countries),30,1970,2011,Annually,years,,they just assume the ocean has got worse over the last 30 years,"Before, During, After",general ocean degradation overtime,"Trade, Tourism",,,,,,No,,,Secondary,Secondary,Biological field observations,Field observations,Global (>100 countries),,1,abundance ,No,
3/19/2020 10:43:14,A_Herzberger,5486,2018,Urra,Invertebrates,Marine,1,Spain,Europe,Sub-national ((within-country region),4,2004,2005,Seasonally,,,Categorical,"Before, During, After",harvest of mollusks during tourist season ,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Field observations,Sub-national (within-country region),,1,abundance,No,
3/26/2020 16:18:22,A_Herzberger,5875,2012,Fiedler,Reptiles,Marine,,sampled in global driftnet fishery,"South America, Africa",Global (>100 countries),5,2002,2008,Annually,,,Categorical,During,Driftnet fisheries by catch sea turtle ,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Intercontinental (> 2 continents),,2,"capture rate, capture composition ",No,between 22° to 28°S and 35° to 48°W
3/20/2020 10:27:11,A_Herzberger,5905,2012,Sarmento,Invertebrates,Marine,,Brazil,South America,Sub-national ((within-country region),1,2009,2009,5 replicates at 1 time,,,Categorical,"Before, During, After",trampling of reef habitat by tourists,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,reef temperature; reef height; reef weight; species richness; diversity;  community assemblage,No,
3/31/2020 15:41:36,A_Herzberger,6331,2011,Vibrans,Plants/trees/shrubs,Terrestrial,,Brazil,South America,Global (>100 countries),1,2007,2008,Unknown/Unclear,"1 type period, comparing sites with disturbance",,Categorical,,"Logging, livestock and control ",Trade,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,"species richness, regeneration ",No,Brazil
3/17/2020 11:00:30,A_Herzberger,6655,2011,Salvador ,Mammals,Terrestrial,1,Peru,South America,Sub-national ((within-country region),2,2005,2006,Seasonally,"compares 2 seasons, wet and dry season",,Categorical,After,"presence/absence of ecotourism, compare to site with no tourism ",Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,species richness between sites; species abundance between sites,No,
4/10/2020 16:05:37,A_Herzberger,5477,2018,Symes,Birds,Marine,,"Sundaland - its not really any countries, more like a region of islands","Asia, Europe, Oceania (Australia, New Zealand, Fiji, etc)",Intercontinental (> 2 continents),2,2000,2015,Annually,,,Categorical,During,"exploitation and habitat loss (driven by wildlife trade, agriculture)",Trade,,,,,,Yes,they discuss the different sources of exploitation and habitat loss,,"Primary, Secondary",Secondary,"Social science field observations, Remote sensing, Aggregate institutional data","Remote sensing, Aggregate institutional data",Intercontinental (> 2 continents),,1,habitat loss,No,"Sundaland - its not really any countries, more like a region of islands"
4/14/2020 11:23:16,A_Herzberger,1616,2016,Gamero,Birds,Terrestrial,,25 EU countries,Europe,"International (within a continent; e.g., European Union)",30,1981,2012,Annually,,,Categorical,"Before, During","Kinda, they look at the effect conservation programs and ag intensity have on farmland birds across the EU","Knowledge Transfer, the farmers were in a conservation program",,,,,,Yes,no,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,National,,4,"relative abundance effected by conservation, population growth rate by conservation, abundance by ag intensity,  migration by ag intensity ",No,25 EU countries
4/21/2020 11:14:13,A_Herzberger,518,2018,Amira,Birds,Terrestrial,,Malaysia ,Asia,Sub-national (within-country region),2,2015,2015,Seasonally,before/after rice harvest,,just assuming rice export,"Before, After",external flow is rice export,Trade,,,,,,No,,,Primary,Secondary,Biological field observations,knowledge of existence ,Sub-national (within-country region),,3,"bird abundance, richness and assemblage ",No,Malaysia
4/21/2020 15:38:14,A_Herzberger,1565,2017,Kirk,Birds,Terrestrial,,Canada,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),4,1990,1990,Weekly,"just 1 time point, 4 replicates ",,Categorical,During,organic v. conventional agriculture practices,"Trade, Knowledge Transfer",,,,,,No,,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,2,"abundance, richness",No,Canada
3/18/2020 20:15:05,A_Torres,357,2019,Lomas,Reptiles,Terrestrial,1,Canada,North America,Sub-national ((within-country region),6,2006,2012,every 2-3 days during the active season (April-October),,,Categorical,After,"Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way",Tourism,,,,,,No,,,Primary,Primary,Biological field observations,GIS observations (proximity to sources of human disturbance),Sub-national (within-country region),"I included the paper because the authors say that the explanatory variable (habitat disturbance) is primarily linked with tourism (golf course, campground, hiking trails, roads, parking lots, vineyards, condominium complex), but such link is not thoroughly discussed nor quantified.",5,home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula,No,
3/19/2020 12:03:56,A_Torres,411,2015,Flynn,"Fish, Invertebrates, Algae",Marine,1,British Virgin Islands,North America,"International (within a continent; e.g., European Union)",1,2014,2014,Seasonally,,,Categorical,After,Tourism (Boat anchoring) ,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,"Field observations, Remote sensing",Sub-national (within-country region),,33,Hard coral cover; Sea fan cover; Branching coral cover; Mound coral cover; Sponges cover; Algae cover; Coral colonies area; Coral colonies density; Coral species richness; Branching coral colony size; Branching coral density; Mound corals colony size; Mound corals colony density; Plate coral size; Plate coral density; Brain corals size; Brain corals density; cup-like corals size; cup-like corals density; encrusting coral size; encrusting coral density; Density of sea fan populations; Height of sea fan populations; Weight of sea fan populations; fish density; density of adult fish; juvenile fish density; Fish species richness; density of adult herbivores; Density of piscivores; Density of adult scrapers; Density of Spongivore; Density of benthic carnivores,No,
3/30/2020 19:16:49,A_Torres,922,2017,Bhuiyan,Not specified,Not specified/Global study,,"""many""",Asia,"International (within a continent; e.g., European Union)",15,2000,2014,Annually,,,Continuous,During,Foreign Direct Investment,Investment,,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,"International (within a continent; e.g., European Union)",,3,forest area; Global Environment Facility biodiversity index; total fisheries production,No,"""many"""
3/30/2020 20:16:48,A_Torres,1488,2017,López-Ricaurte,Birds,Terrestrial,,Colombia,South America,Intercontinental (> 2 continents),1,2016,2016,Seasonally,,,Categorical,During,Oil palm plantation,Trade,,,,,,No,,,Primary,Primary,Biological field observations,"Field observations, Remote sensing",Sub-national (within-country region),,13,species richness; species abundance; community composition; abundance of aquatic birds; abundance of forest birds; abundance of grassland birds; abundance of multiple birds; abudance of carnivores; abudance of frugivores; abundance of granivores; abundance of insectivores; abundance of omnivores; abundance of migratory species,No,Colombia
3/31/2020 12:30:45,A_Torres,1551,2017,Mota Machado,Invertebrates,Marine,,Brazil,South America,Intercontinental (> 2 continents),2,2012,2014,Seasonally,,,Categorical,During,Tourism: Human trampling in urban vs. non-urban areas,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,26,Richness-Grussai beach; Density-Grussai beach; Diversity-Grussai beach; Richness-Grussai beach-upper sector; Richness-Grussai beach-medium sector; Richness-Grussai beach-lower sector; Diversity-Grussai beach-upper sector; Diversity -Grussai beach-medium sector; Diversity-Grussai beach-lower sector; Composition-Grussai beach; Composition-Grussai beach-upper sector; Composition-Grussai beach-medium sector; Composition-Grussai beach-lower sector; Richness-Manguinhos beach; Density-Manguinhos beach; Diversity-Manguinhos beach; Composition-Manguinhos beach; Composition-Manguinhos beach-upper sector; Composition-Manguinhos beach-medium sector; Composition-Manguinhos beach-lower sector; Density of Atlantorchestoidea brasiliensis; Density of Donax hanleyanus; Density of Emerita brasiliensis; Density of Excirolana braziliensis; Density of Hemipodia californiensis; Density of Scolelepis sp.,No,Brazil
3/31/2020 14:10:33,A_Torres,1590,2017,Dale,Plants/trees/shrubs,Terrestrial,,"United States, United Kingdom, Netherlands, Belgium",North America,Intercontinental (> 2 continents),2,2002,2014,Annually,,,Categorical,"Before, After",wood pellet export industry,Trade,,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Sub-national (within-country region),,4,Number of standing dead trees-Savannah; Area with large trees-Savannah; Number of standing dead trees-Chesapeake; Area with large trees-Chesapeake,No,United States
3/31/2020 14:43:07,A_Torres,1821,2017,Wilting,"Birds, Mammals, Reptiles, Invertebrates, Plants/trees/shrubs",Terrestrial,,"""many""","North America, South America, Asia, Europe, Africa, Oceania (Australia, New Zealand, Fiji, etc)",Intercontinental (> 2 continents),1,2007,2007,Only for one year,,,Continuous,After,Trade of goods and services,Trade,,,,,,Yes,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Intercontinental (> 2 continents),Aggregates data of mean species abundance for several taxa into one indicator,1,Mean Species Abundance per ha per year,No,"""many"""
4/2/2020 14:02:03,A_Torres,3456,2015,Bravo,Invertebrates,Marine,,Argentina,South America,Intercontinental (> 2 continents),2,2011,2012,Monthly,,,Categorical,"Before, After",recreational diving activities associated with tourism,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Social science field surveys,Sub-national (within-country region),,2,Community structure; Community composition,No,Argentina
4/2/2020 14:36:48,A_Torres,3924,2015,Cove,Mammals,Terrestrial,,Costa Rica,North America,"International (within a continent; e.g., European Union)",1,2009,2010,camera trap-night,,,Continuous,After,pineapple production,Trade,,,,,,No,,,Primary,Secondary,Biological field observations,Remote sensing,Sub-national (within-country region),,8,Detection probability-Tayras; Detection probability-Coati; Detection probability-Racoon; Detection probability-Opossum; Occurrence-Tayras; Occurrence -Coati; Occurrence -Racoon; Occurrence -Opossum,No,Costa Rica
4/16/2020 18:24:13,A_Torres,2670,2016,Cao,Invertebrates,Freshwater,,China,Asia,Unclear/unspecified,1,2013,2013,Seasonally,,,Continuous,During,Tourism stress,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,"Taxa richness; Ephemeroptera, Plecoptera, and Trichoptera (EPT) richness",No,China
4/29/2020 16:32:41,A_Torres,6254,2011,Seshadri,"Mammals, Reptiles, Amphibians, Invertebrates",Terrestrial,,India,Asia,Sub-national (within-country region),2,2008,2009,Annually,,,Continuous,"Before, During",Increased traffic due to religious tourism,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,8,mortality-diurnal-habitat1;mortality-diurnal-habitat2;mortality-diurnal-habitat3;mortality-diurnal-habitat4;mortality-nocturnal-habitat1;mortality-nocturnal-habitat2;mortality-nocturnal-habitat3;mortality-nocturnal-habitat4,No,India
3/15/2020 14:03:17,E_Dean,3456,2015,Bravo,"Invertebrates, Plants/trees/shrubs",Freshwater,1,1,South America,Sub-national ((within-country region),4,2011,2012,Monthly,,,Categorical,"Before, After","They did not quantify the flow, they just compared sites before and after scuba season. Did not control for environmental variables and assumed shifts in species assemblages/composition were due to disturbance.",Tourism,,,,,,No,,,Primary,,Biological field observations,Did not use data - used sites with and without scuba pressure,Sub-national (within-country region),Believe this example first the inside/outside college campus example but will complete survey 3,2,assemblage structure (identify of taxa and relative abundance); assemblage composition (presence / absence),Yes,
3/20/2020 9:47:05,C_Hovis,3456,2015,Bravo,Invertebrates,Marine,200,Argentina,South America,Global (>100 countries),4,2011,2012,Seasonally,,,Categorical,During,,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,"assemblage composition, assemblage structure",No,
3/31/2020 14:57:08,C_Hovis,3924,2014,Bravo,Mammals,Terrestrial,,"Costa Rica, rest of the world",South America,"International (within a continent; e.g., European Union)",1,2009,2010,Seasonally,,,Categorical,During,Pineapple trade,Trade,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),"study reports both detection and occurrence probability, but only occurrence counts as a BD metric",4,occurrence probability,No,Costa Rica
3/30/2020 18:56:07,C_Hovis,6655,2011,Salvador,Mammals,Terrestrial,,"Peru, rest of the world",South America,Intercontinental (> 2 continents),1,2005,2006,Seasonally,,,Categorical,During,Presence of tourism activities ,Tourism,,,,,,No,,,"Primary, Secondary",Secondary,"Biological field observations, Social science field observations, Aggregate institutional data",Field observations,Sub-national (within-country region),"Compared to both sites, tourist site had seven less species
NOTE that authors do not consider this to be a substantial difference, use as evidence that eco-tourism is good for bd",2,species richness,No,Peru
4/21/2020 11:50:35,C_Hovis,6511,2011,Gleditsch,Birds,Terrestrial,,"United States, Asia",North America (includes Hawaii & all countries above Panama Canal),Intercontinental (> 2 continents),1,2009,2009,Seasonally,,,Continuous,After,Invasive species abundance (Honeysuckle),Species Dispersal,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),Bird spp reported as negatively correlated with invasive spp had an r2 0.047 and 0.018 but I believe these spp were negatively correlated with the NMS axis related to the invasive spp presence,6,Bird abundance for six spp,No,United States
4/27/2020 12:29:16,C_Hovis,3335,2015,Ginter,Fish,Freshwater,,"Estonia, Russia, Rest of the World",Europe,Intercontinental (> 2 continents),22,1990,2012,Annually,,,Categorical,"Before, During, After",,"Trade, Climate Change",,,,,,No,,,"Primary, Secondary",Secondary,"Biological field observations, Aggregate institutional data",Used co-occurence of policy changes in time-series,Intercontinental (> 2 continents),"Intercontinental might not be the correct classification since this is a transboundary and could be considered a telecoupling, look at co-occurence of size-selective harvest and climate change since two cannot be de-coupled",2,size and co-hort abund,No,Estonia
4/27/2020 13:31:07,C_Hovis,3112,2015,Santos,Invertebrates,Marine,,"Brazil, Rest of the World",South America,Global (>100 countries),1,2012,2012,Seasonally,,,Categorical,"Before, During, After",,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,13,presence/abundance based on taxa group,No,Brazil
4/27/2020 15:48:18,C_Hovis,1349,2017,Waldron,"Birds, Mammals",Not specified/Global study,,Many,"North America (includes Hawaii & all countries above Panama Canal), South America, Asia, Europe, Africa, Oceania (Australia, New Zealand, Fiji, etc)",Global (>100 countries),2,1996,2008,Unknown/Unclear,,,Continuous,"Before, During, After",Conservation investment,Investment,,,,,,No,,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,National,,1,Biodiversity decline score,No,Many
4/27/2020 16:08:59,C_Hovis,4850,2013,Arizaga,Birds,Terrestrial,,Spain,Europe,Unclear/unspecified,1,2011,2011,Seasonally,,,Categorical,"Before, After",invasive spp,Species Dispersal,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,diversity indes,No,Spain
4/27/2020 17:45:05,C_Hovis,3484,2015,Reyes-Martinez,Invertebrates,Marine,,"Spain, Rest of the World",Europe,Sub-national (within-country region),15,2011,2011,Hourly,,,Continuous,"Before, After",# tourists/visitors,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,assemblage density; richness; diversity; comm comp,No,Spain
4/28/2020 18:33:52,C_Hovis,134,2017,Dudley,Invertebrates,Freshwater,,"USA, Rest of the World",North America (includes Hawaii & all countries above Panama Canal),Global (>100 countries),1,2012,2014,Seasonally,,,Categorical,"Before, After",Invasive spp,Species Dispersal,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),USA = Hawaii,20,"algae quality (both inv spp); litter quality (tree inv); day abun (both inv, two spp); night abun (both inv,two spp); migration (two inv, two spp), body size, body condition (small & large)",No,USA 
3/17/2020 13:10:33,Y_Zhang,3456,2015,Bravo,"Invertebrates, Plants/trees/shrubs",Marine,1,Argentina,South America,Sub-national ((within-country region),4,NA,NA,Unknown/Unclear,Only know Before/After,,Continuous,"Before, After",Tourists/scuba divers impact on benthic organisms' assemblage and structure,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),Confusing,4,"% cover of taxa countributing most to the dissimilarity in assemblage structure in dictyota dichotoma, encrusting red alage, undaria pinnatifida, bare rock on three sites",Yes,
4/29/2020 17:30:20,C_Hovis,4063,2014,Sealey,Plants/trees/shrubs,Marine,,"Bahamas, Rest of the world",North America (includes Hawaii & all countries above Panama Canal),Global (>100 countries),1,2002,2012,Annually,,,Continuous,"Before, During, After",Human impact rank related to tourism,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,"number of spp, margalef index, shannon, assemblage",No,Bahamas
3/17/2020 14:38:31,K_Kapsar,3456,2015,Bravo,"Invertebrates, Plants/trees/shrubs",Marine,1,Argentina,South America,Global (>100 countries),2,2011,2012,Seasonally,,,Categorical,"Before, After",SCUBA diving tourists,Tourism,,,,,,No,,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),"Unclear number of countries involved bc unclear number of countries of origin for tourists. 

Very confused about how to report the results of this analysis. ",7,assemblage structure; multivariate dispersion of assemblage structure; assemblage composition; multivariate dispersion of assemblage composition; D. dichotoma algae percent cover; encrusting red algae percent cover; U. pinnitafida percent cover,Yes,
3/18/2020 14:46:55,C_Hovis,1488,2017,Lopez-Ricaurte,Birds,Terrestrial,1,Columbia,South America,Global (>100 countries),1,2016,2016,Seasonally,,,Categorical,After,"Palm oil, invasive species, and policy","Trade, Species Dispersal, Knowledge Transfer",,,,,,No,,,Primary,Primary,Biological field observations,"Field observations, Remote sensing",Sub-national (within-country region),invasive spp impact?,10,"taxa spp richness; taxa spp abundance; func abundance (x5); community comp, invasive spp impact (richness/abun)",Yes,
3/15/2020 12:25:39,E_Dean,3924,2014,Cove,Mammals,Terrestrial,1,Costa Rica,North America,Sub-national ((within-country region),2,2009,2010,Seasonally,,,"Continuous (distance to nearest village) and categorical (presence / absence of land use, within or outside park lands)",During,"Presence or absence of anthropogenic disturbance in forested buffers, within or outside park lands,  distance to nearest village",This is within country and I cannot easily define the flow,,,,,,No,,,Primary,Primary,Biological field observations,Remote sensing,Sub-national (within-country region),,1,Occurrence of mesopredators,No,
3/14/2020 15:18:42,E_Dean,6655,2011,Salvador,Mammals,Terrestrial,1,Peru,South America,Sub-national ((within-country region),3,2005,2006,Seasonally,,,Categorical,During,The study sampled transects in areas with tourism and without tourism. There was not a specific variable to quantity tourism disturbance. Differences in species richness were assumed to be a result of anthropogenic disturbance (tourism) although the study did not control for differences in environmental characteristics.,Tourism,,,,,,No,,,Primary,Primary,Biological field observations,"Presence or absence of tourism in area - I do not consider this ""data.""",Sub-national (within-country region),See Survey 1. ,1,Species richness,No,
4/5/2020 7:52:42,E_Dean,2998,2015,Phomikong,Fish,Freshwater,,Thailand,Asia,Sub-national (within-country region),18,2009,2010,18 sampling trips between Aug 2009 - June 2010,,,Categorical,"Before, During, After",Used the environmental effect of dams as a proxy for the effects of hydropower on fish communities?,Energy Transfer,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,Cumulative species richness; average species richness; Shannon-Wiener diversity index; abundance-biomass,No,Thailand
4/5/2020 8:19:19,E_Dean,3122,2015,Sa-Oliveira,Fish,Freshwater,,Brazil,South America,Sub-national (within-country region),8,2009,2010,Bi-monthly,,,Categorical,During,,Energy Transfer,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,6,Abundace; biomass; species richness; alpha diversity; dominance; Bray-Curtis dissimilarity,No,Brazil
3/19/2020 9:58:33,M_Lei,6655,2011,Salvador,Mammals,Terrestrial,1,Peru,South America,Sub-national ((within-country region),2,2005,2006,Annually,,,Continuous,During,"Ecotourism(population using tourism facilities,This number is from the literature and is not quantified in the paper)",Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Large mammal species richness,Yes,
4/5/2020 16:30:29,E_Dean,3868,2014,de Bie,Plants/trees/shrubs,Terrestrial,,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),2,2001,2011,Annually,,,Categorical,During,"No ""flow"" identified",Tourism,,,,,,No,,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Exotic species richness,No,Australia
4/5/2020 17:20:38,E_Dean,6502,2011,Nocera,Birds,Terrestrial,,Unclear,North America (includes Hawaii & all countries above Panama Canal),"International (within a continent; e.g., European Union)",3,NA,NA,Unknown/Unclear,"The study used datasets over 40 year period, but I do not know the temporal resolution of that data.",,Continuous,After,Import and export of beef; amount of hay harvested,Trade,,,,,,Yes,,,Secondary,Secondary,Biological field observations,Aggregate institutional data,"International (within a continent; e.g., European Union)",,21,Relative abundance of bird species,No,Unclear
4/7/2020 14:05:54,E_Dean,17,2019,Brandt,Plants/trees/shrubs,Terrestrial,,"Bhutan, China, India, Nepal",Asia,"International (within a continent; e.g., European Union)",17,NA,NA,Annually,,,Categorical,During,"Buffer zones of ecotourism were established in major ecotourism hubs of each country (Himachal Pradesh (n = 4), Nepal (n = 5), Bhutan (n = 3), and Yunnan (n = 3))",Tourism,,,,,,Unclear/Uncertain,"The study established ecotourism hubs, but did not specify what driver external to those hubs was driving ecotourism (for example, what countries are driving tourism in those hubs?)",,Secondary,Secondary,Remote sensing,"Remote sensing, Used literature to identify ecotourism hubs, then used remote sensing to delineate ecotourism zones","International (within a continent; e.g., European Union)",,1,% forest loss,No,"Bhutan, China, India, Nepal"
3/19/2020 10:05:49,E_Dean,2704,2016,Mammides,Birds,Terrestrial,1,Cyprus,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national ((within-country region),1,2012,2012,Seasonally,,,Continuous,During,"Total length of roads, distance to nearest agricultural field, human population size",This is within-country,,,,,,No,,,Primary,Secondary,Biological field observations,Remote sensing,Sub-national (within-country region),Regression models - counts?,5,Total species richness; richness of passage migrants; richness of resident breeders; richness of species with increasing global population trends; richness of species with stable global population trends; richness of species with decreasing global population trends,Yes,
