"timestamp","paper_id","taxa","entry_id","taxon_or_func","biodiv_cat_1sp","biodiv_cat_multsp","biodiv_cat_habitat","scale","biodiv_temp_res","effect","significant","p_value","notes","coder_id","entry"
2020-03-18 20:34:35,1488,"Birds","9","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","Non-significant difference in omnivorous birds between savanna and oil palm","K_Kapsar","9"
2020-03-18 20:34:38,1488,"Birds","8","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","Non-significant difference in granivorous birds between savanna and oil palm","K_Kapsar","8"
2020-03-18 20:34:40,1488,"Birds","7","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","Non-significant difference in frugivorous birds between savanna and oil palm","K_Kapsar","7"
2020-03-18 20:34:42,1488,"Birds","6","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more carnivorous birds in savanna than oil palm. ","K_Kapsar","6"
2020-03-18 20:34:45,1488,"Birds","5","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Neutral","FALSE","","Non-significant difference in multi-habitat birds in savanna and oil palm. ","K_Kapsar","5"
2020-03-18 20:34:47,1488,"Birds","4","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more grassland birds in savanna than oil palm. ","K_Kapsar","4"
2020-03-18 20:34:51,1488,"Birds","3","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more forest birds in savanna than oil palm. ","K_Kapsar","3"
2020-03-18 20:34:53,1488,"Birds","2","Functional","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","","Significantly more aquatic birds in savanna than oil palm. ","K_Kapsar","2"
2020-03-18 20:34:55,1488,"Birds","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","Not evaluated","","Snapshot time period

Estimated total species richness was 31.3% higher in natural savannas than oil palm
plantations (Table 1).","K_Kapsar","1"
2020-03-19 13:14:31,1488,"Birds","2","Taxonomic","",NA,NA,"Alpha (w/in site)","Day","Negative (detrimental)","FALSE","","","M_Lei","2"
2020-03-19 13:14:33,1488,"Birds","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Amount (e.g. land use change from non-habitat to habitat)","Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","","M_Lei","1"
2020-03-19 16:46:59,1488,"Birds","1","Taxonomic",NA,"Richness (number of species)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","All species","X_Wu","1"
2020-03-19 16:48:21,1488,"Birds","2","Taxonomic",NA,"Richness (number of species)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","Savanna specialists","X_Wu","2"
2020-03-19 16:52:20,1488,"Birds","3","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.01","Aquatic ","X_Wu","3"
2020-03-19 16:53:26,1488,"Birds","4","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","Forest","X_Wu","4"
2020-03-19 16:55:10,1488,"Birds","5","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","Grassland","X_Wu","5"
2020-03-19 16:56:09,1488,"Birds","6","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Positive (beneficial)","FALSE","","Multiple habitat","X_Wu","6"
2020-03-19 16:57:45,1488,"Birds","7","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","0.01","Carnivore","X_Wu","7"
2020-03-19 16:58:49,1488,"Birds","8","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","FALSE","","Frugivore","X_Wu","8"
2020-03-19 16:59:57,1488,"Birds","9","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","FALSE","","Granivore","X_Wu","9"
2020-03-19 17:00:49,1488,"Birds","10","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Negative (detrimental)","TRUE","","Insectivore","X_Wu","10"
2020-03-19 17:01:35,1488,"Birds","11","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Day","Positive (beneficial)","FALSE","","Omnivore","X_Wu","11"
2020-03-23 11:33:23,1488,"Birds","1","Taxonomic",NA,"Richness (number of species)",NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.001","species richness; ""At the point count level, species richness and total abundance were significantly higher in svanna than in oil palm (Table A2).""","MG_Chung","1"
2020-03-23 11:34:51,1488,"Birds","2","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Beta (between pairs of sites)","Seasonal","Negative (detrimental)","TRUE","0.001","species abundance; ""points within savanna held 6.5 more species on average than points in oil palm, and 26.5 more individual birds (Table A2).""","MG_Chung","2"
2020-03-23 11:36:15,1488,"Birds","3","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.001","bird community composition; ""habitat type (savanna versus oil palm) explained the greatest deviance in bird community structure (Table A3)""","MG_Chung","3"
2020-03-30 20:17:57,1488,"Birds","1","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","Not evaluated","","Habitat type","A_Torres","1"
2020-03-30 20:19:05,1488,"Birds","2","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","Not evaluated","","Habitat type","A_Torres","2"
2020-03-30 20:19:57,1488,"Birds","3","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Unclear","Not evaluated","","Distance to oil palm plantation","A_Torres","3"
2020-03-30 20:20:31,1488,"Birds","4","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","Not evaluated","","Distance to oil palm plantation","A_Torres","4"
2020-03-30 20:21:09,1488,"Birds","5","Taxonomic","","Composition (what species?)","","","Seasonal","Changed (e.g. species composition)","Not evaluated","","Distance to oil palm plantation","A_Torres","5"
2020-03-30 20:22:03,1488,"Birds","6","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Habitat type","A_Torres","6"
2020-03-30 20:22:44,1488,"Birds","7","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.02","","A_Torres","7"
2020-03-30 20:23:18,1488,"Birds","8","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.002","Habitat type","A_Torres","8"
2020-03-30 20:23:57,1488,"Birds","9","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Positive (beneficial)","FALSE","","Habitat type","A_Torres","9"
2020-03-30 20:24:45,1488,"Birds","10","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Habitat type","A_Torres","10"
2020-03-30 20:26:07,1488,"Birds","11","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","FALSE","","Abundance of frugivores","A_Torres","11"
2020-03-30 20:26:51,1488,"Birds","12","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","FALSE","","Abundance of granivores","A_Torres","12"
2020-03-30 20:27:31,1488,"Birds","13","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.017","Abundance of insectivores","A_Torres","13"
2020-03-30 20:28:12,1488,"Birds","14","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Positive (beneficial)","FALSE","","Abundance of omnivores","A_Torres","14"
2020-03-30 20:29:02,1488,"Birds","15","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Abundance of migratory species","A_Torres","15"
2020-03-30 20:29:50,1488,"Birds","1","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Negative (detrimental)","Not evaluated","","Species richness","A_Torres","1"
2020-03-30 20:30:23,1488,"Birds","2","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","Not evaluated","","Species abundance","A_Torres","2"
2020-03-30 20:31:00,1488,"Birds","3","Taxonomic","","Richness (number of species)","","Alpha (w/in site)","Seasonal","Unclear","Not evaluated","","Species richness","A_Torres","3"
2020-03-30 20:32:37,1488,"Birds","6","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Abundance of aquatic birds","A_Torres","6"
2020-03-30 20:33:16,1488,"Birds","7","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.02","Abundance of forest birds","A_Torres","7"
2020-03-30 20:33:58,1488,"Birds","8","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.002","Abundance of grassland birds","A_Torres","8"
2020-03-30 20:34:42,1488,"Birds","9","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Positive (beneficial)","FALSE","","Abundance of multiple birds","A_Torres","9"
2020-03-30 20:35:20,1488,"Birds","10","Functional","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","","","Seasonal","Negative (detrimental)","TRUE","0.001","Abundance of carnivores","A_Torres","10"
2020-03-19 11:11:18,2577,"Invertebrates","1","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","Richness (number of species)",NA,"Alpha (w/in site)","Month","Negative (detrimental)","TRUE","0.03","","M_Lei","1"
2020-03-19 11:12:57,2577,"Invertebrates","2","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Alpha (w/in site)","Month","Negative (detrimental)","TRUE","0.0003","","M_Lei","2"
2020-03-19 17:34:37,2577,"Invertebrates","1","Taxonomic",NA,"Richness (number of species)",NA,"Alpha (w/in site)","Month","Negative (detrimental)","Not evaluated","","","X_Wu","1"
2020-03-19 17:35:29,2577,"Invertebrates","2","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Alpha (w/in site)","Month","Negative (detrimental)","Not evaluated","","","X_Wu","2"
2020-03-26 15:36:53,2577,"Fish","1","Taxonomic","","Composition (what species?)",NA,"Gamma (across all sites)","Month","Changed (e.g. species composition)","Not evaluated","","","A_Herzberger","1"
2020-03-26 15:37:47,2577,"Fish","2","Taxonomic","","Richness (number of species)",NA,"Gamma (across all sites)","Month","Negative (detrimental)","TRUE","0.001","","A_Herzberger","2"
2020-03-26 15:38:24,2577,"Fish","3","Taxonomic",NA,NA,"Quality (pollution, connectence, disturbance, etc.)","Gamma (across all sites)","Month","Negative (detrimental)","TRUE","0.001","","A_Herzberger","3"
2020-03-15 13:32:05,3456,"Invertebrates, Plants/trees/shrubs","Assemblage of benthic community","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Quality (pollution, connectence, disturbance, etc.)","Beta (between pairs of sites)","Month","Changed (e.g. species composition)","TRUE","0.0001","","E_Dean","Assemblage of benthic community"
2020-03-15 13:33:04,3456,"Invertebrates, Plants/trees/shrubs","Assemblage composition","","Occurrence (presence, range, persistence, etc.)","Composition (what species?)","Quality (pollution, connectence, disturbance, etc.)","Beta (between pairs of sites)","Month","Changed (e.g. species composition)","TRUE","0.01","","E_Dean","Assemblage composition"
2020-03-17 13:08:20,3456,"Plants/trees/shrubs","1","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","TRUE","0.01","","Y_Zhang","1"
2020-03-17 13:09:22,3456,"Plants/trees/shrubs","2","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","FALSE","0.08","","Y_Zhang","2"
2020-03-17 13:09:50,3456,"Plants/trees/shrubs","3","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","FALSE","0.07","","Y_Zhang","3"
2020-03-17 13:10:26,3456,"Plants/trees/shrubs","4","Taxonomic","Occurrence (presence, range, persistence, etc.)",NA,NA,"Alpha (w/in site)","Unknown/Unclear (ADD TO COMMENT BOX)","Negative (detrimental)","FALSE","0.49","","Y_Zhang","4"
2020-03-17 14:38:33,3456,"Plants/trees/shrubs","3","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Alpha (w/in site)","Seasonal","Positive (beneficial)","TRUE","0.01","U. pinnatifida on disturbed reefs increased significantly after the diving season. 0.01","K_Kapsar","3"
2020-03-17 14:38:37,3456,"Plants/trees/shrubs","1","Taxonomic","Abundance/Density (number of individuals, individuals/unit area, biomass)",NA,NA,"Beta (between pairs of sites)","Seasonal","Neutral","FALSE","0.09","D. dichotoma did not differ between disturved and control reefs. ","K_Kapsar","1"
2020-03-17 14:38:39,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.01","p < 0.01

Multivariate dispersion of assemblage composition was generally greater after the diving season. 

Not sure whether this difference is at all sites before and after. Or just at tourism sites. If at all sites, then exclude from further analysis (In this case, the change in community structure would not be a measure of tourist impacts, just of seasonal changes in the community). ","K_Kapsar","1"
2020-03-17 14:38:41,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Neutral","FALSE","0.22","Multivariate dispersion of assemblage composition did not differ between disturbed and control reefs. ","K_Kapsar","1"
2020-03-17 14:38:43,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,"Composition (what species?)","","Beta (between pairs of sites)","Seasonal","Neutral","FALSE","0.07","No change in assemblage composition (Jaccard) before and after diving season. 

Not sure whether this difference is at all sites before and after. Or just at tourism sites. If at all sites, then exclude from further analysis (In this case, the change in community structure would not be a measure of tourist impacts, just of seasonal changes in the community). ","K_Kapsar","1"
2020-03-17 14:38:45,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.03","Assemblage composition (Jaccard) differed significantly between control and disturbed sites. ","K_Kapsar","1"
2020-03-17 14:38:47,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.0001","p < 0.0001

Multivariate dispersion of assemblage structure was greater after the diving season. ","K_Kapsar","1"
2020-03-17 14:38:49,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.0001","p < 0.0001

Multivariate dispersion of assemblage structure was greater at disturbed reefs than at controls. ","K_Kapsar","1"
2020-03-17 14:38:51,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.03","Change in assemblage structure(Bray-Curtis) between control and disturbed reefs. ","K_Kapsar","1"
2020-03-17 14:38:53,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,"Composition (what species?)",NA,"Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","TRUE","","Change in assemblage structure before and after diving season. 

Not sure which row in Table 1a to use for p-value. Also, not sure whether this difference is at all sites before and after. Or just at tourism sites. If at all sites, then exclude from further analysis (In this case, the change in community structure would not be a measure of tourist impacts, just of seasonal changes in the community). ","K_Kapsar","1"
2020-03-17 17:37:52,3456,"CORAL REEF","4","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Quality (pollution, connectence, disturbance, etc.)","Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","TRUE","0.01","","Y_Dou","4"
2020-03-17 17:37:59,3456,"CORAL REEF","3","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Quality (pollution, connectence, disturbance, etc.)","Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","FALSE","0.22","","Y_Dou","3"
2020-03-17 17:38:05,3456,"CORAL REEF","2","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Quality (pollution, connectence, disturbance, etc.)","Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","TRUE","0","","Y_Dou","2"
2020-03-17 17:38:11,3456,"CORAL REEF","1","Taxonomic",NA,"Abundance/Density (biomass, mass, number of individuals, individuals/unit area)","Quality (pollution, connectence, disturbance, etc.)","Alpha (w/in site)","Seasonal","Changed (e.g. species composition)","TRUE","0","","Y_Dou","1"
2020-03-18 09:30:44,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic","","Abundance/Density (biomass, mass, number of individuals, individuals/unit area)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.001","","A_Herzberger","1"
2020-03-18 09:32:22,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,"Composition (what species?)",NA,"Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.01","","A_Herzberger","1"
2020-03-18 09:33:50,3456,"Invertebrates, Plants/trees/shrubs","1","Taxonomic",NA,NA,"Quality (pollution, connectence, disturbance, etc.)","Beta (between pairs of sites)","Seasonal","Changed (e.g. species composition)","TRUE","0.01","","A_Herzberger","1"
2020-03-19 12:23:31,3456,"Invertebrates","1","Taxonomic",NA,"Richness (number of species)","Quality (pollution, connectence, disturbance, etc.)","Alpha (w/in site)","Seasonal","Negative (detrimental)","TRUE","0.0001","","M_Lei","1"
