"biodiv_countries","paper_id","list_countries","data_source_meta","data_source_biodiv","tele_cat","data_type_meta","data_type_biodiv","habitat","list_continents","timestamp","coder_id","year_pub","author","taxa_list","num_countries","scale_entire","num_time_pd","year_start","year_end","temp_res","temp_res_unk","meta_var_type","b4_dur_after","peri_tele_flows","peri_tele_sep","peri_tele_sep_unk","scale_biodiv","comments","num_biodiv_metrics","list_biodiv_metrics","further_discuss","taxa"
"ITA",311,"ITA","Secondary","Primary","Tourism","Other","Biological field observations","Terrestrial","Europe","2020-04-16 12:14:45","Y_Zhang",2013,"Farris","Plants/trees/shrubs",NA,"Sub-national (within-country region)","2","2006","2006","Seasonally","Spring and summer","Categorical","Before, After","Tourists","No","","Sub-national (within-country region)","","1","species cover","No","Plants"
"ECU",339,"ECU","Primary","Primary","Trade","Social science field surveys","Biological field observations","Terrestrial","South America","2020-04-14 12:03:22","E_Dean",2013,"Oldekop","Amphibians, Plants/trees/shrubs",NA,"Sub-national (within-country region)","1",NA,NA,"Unknown/Unclear","Study did not outline how often data was collected","Categorical","During","Trade was quantified as market access, categorizing areas into ""remote"" (less market access) and ""non-remote"" (more market access). Presence/absence of community rules/sanctions regulating land use (governing of trade) could not be quantified and related to biodiversity.","No","","Sub-national (within-country region)","","2","Fern species richness; leaf litter frog species richness","No","Amphibians; Plants"
"CAN",357,"CAN","Primary","Primary","Tourism","Other","Biological field observations","Terrestrial","North America","2020-03-18 20:15:05","A_Torres",2019,"Lomas","Reptiles","1","Sub-national ((within-country region)","6","2006","2012","every 2-3 days during the active season (April-October)","","Categorical","After","Tourism (among other factors) seems to have led to habitat disturbance, though tourism is not quantified in any way","No","","Sub-national (within-country region)","I included the paper because the authors say that the explanatory variable (habitat disturbance) is primarily linked with tourism (golf course, campground, hiking trails, roads, parking lots, vineyards, condominium complex), but such link is not thoroughly discussed nor quantified.","5","home range (Kernel Density); home range (minimum convex polygon); Core area size; Range length; Maximum distance traveled from hibernacula","No","Reptiles"
"BRA",379,"BRA","Primary;Secondary","Primary;Secondary","Species Dispersal","Other","Biological field observations;Aggregate institutional data","Marine","South America","2020-04-28 16:37:45","M_Lei",2019,"Moraes","Invertebrates",NA,"Sub-national (within-country region)","6","2008","2016","Annually","","Continuous","During","Bioeroding sponge richness and abundance","No","","Sub-national (within-country region)","","2","Bioeroding sponge richness and abundance","No","Invertebrates"
"AUS",396,"AUS","Secondary","Secondary","Tourism","Aggregate institutional data","Aggregate institutional data","Terrestrial","Oceania","2020-04-30 17:13:50","M_Lei",2019,"Wraith","Plants/trees/shrubs",NA,"Global (>100 countries)","1","2018","2018","Annually","","Continuous","During","tourism and grazing, Get the data through the report: number of threatened species","Yes","","Sub-national (within-country region)","","1","orchids richness ","No","Plants"
"BRA",425,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial;Marine","South America","2020-04-28 22:26:10","Y_Zhang",2019,"Costa","Invertebrates",NA,"Unclear/unspecified","2","2017","2018","Unknown/Unclear","Several field days","Continuous","Before, After","Urbanization index and percentage of fine sediment","No","","Sub-national (within-country region)","","1","Single species abundance","No","Invertebrates"
"SWE",466,"SWE","Secondary","Primary","Water Transfer","Other","Biological field observations","Freshwater","Europe","2020-04-28 22:54:45","Y_Zhang",2011,"Bejarano","Plants/trees/shrubs",NA,"Sub-national (within-country region)","2","2006","2009","Unknown/Unclear","","Categorical","After","Water flow (impact from dams)","No","","Sub-national (within-country region)","","2","Number of trees; number of shrubs","No","Plants"
"CUB",471,"CUB","Primary","Primary","Investment","Field observations","Biological field observations","Terrestrial","North America","2020-04-30 22:49:42","M_Lei",2011,"WIANCKO","Birds",NA,"Sub-national (within-country region)","3","2005","2006","Seasonally","","Continuous","During","investment and building in resorts","No","","Sub-national (within-country region)","","2","landbird richness and abundance","No","Birds"
"CHN",479,"CHN","Primary","Primary","Trade","Field observations","Biological field observations","Terrestrial","Asia","2020-05-19 10:32:00","X_Wu",2019,"Singh","Invertebrates",NA,"Unclear/unspecified","1","2013","2013","Annually","","Categorical","During","","No","","Sub-national (within-country region)","This paper only showed the significant differences about the α diversity.","3","Richness, abundance, diversity","No","Invertebrates"
"ZAF",483,"ZAF","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Africa","2020-09-01 15:24:09","C_Hovis",2019,"Parker","Birds",NA,"Unclear/unspecified","1","2006","2006","Seasonally","","Categorical","Before, During","Elephant density (due to fences in reserves)","No","","Sub-national (within-country region)","bird diversity impacted by elephants density (iDoes not state that elephants are non-native, rather the TC component is Tourism since the increasing density of elephants is due to the fences used for the game reserves. 

The study also looked at # years elephants were present, which had a positive effect. I think this can be used as evidence that elephants are good for bird bd in the absence of fencing which restricts their movement. I am not considering years elephants are present since I have no evidence that elephants are non native (googled).ncreased due to game reserves) ","3","richness, density, diversity","No","Birds"
"AUS",510,"AUS","Primary","Primary","Water Transfer;Waste Transfer","Field observations","Biological field observations","Terrestrial","Oceania","2020-04-17 10:03:12","A_Herzberger",2018,"Geedicke","Plants/trees/shrubs, habitat pollution ",NA,"Sub-national (within-country region)","1",NA,NA,"snap shot, 1x","","Categorical","","Runoff from industrial, urban, and control","Yes","the effect of residential vs. industrial runoff on habitat and plant communities ","Sub-national (within-country region)","","2","nutrient pollution, plant community composition","No","Plants; habitat pollution"
"MYS",518,"MYS","Secondary","Primary","Trade","Other","Biological field observations","Terrestrial","Asia","2020-04-21 11:14:13","A_Herzberger",2018,"Amira","Birds",NA,"Sub-national (within-country region)","2","2015","2015","Seasonally","before/after rice harvest","just assuming rice export","Before, After","external flow is rice export","No","","Sub-national (within-country region)","","3","bird abundance, richness and assemblage ","No","Birds"
"",523,"Many","Secondary","Secondary","Migration (human)","Aggregate institutional data","Aggregate institutional data","Marine","North America;South America;Asia;Europe;Africa;Antarctica","2020-04-30 16:14:24","M_Lei",2018,"Kouvari","Mammals",NA,"Intercontinental (> 2 continents)","5",NA,NA,"Unknown/Unclear","we divide insular extinctions in five bins, being Late Pleistocene (125–10 ka), Early Holocene (10.0–8.2 ka), Middle Holocene (8.2–4.2 ka), Late Holocene (4.2–0.5 ka), and Modern Era (500 years ago till today) ","Continuous","During","first human arrival","Unclear/Uncertain","It doesn't mention where people come from in this paper","Intercontinental (> 2 continents)","","1","extinct taxa","No","Mammals"
"ESP",654,"ESP","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","2020-03-16 12:54:51","MG_Chung",2018,"Antonio Donazar","Birds","1","Sub-national ((within-country region)","1","2014","2014","Daily","","Continuous","During","the number of vehicles in protected areas as most of visitors access the park by motor vehicle","No","","Sub-national (within-country region)","","1","the number of scavenger species recorded daily","No","Birds"
"IND",708,"IND","Primary","Primary","Trade","Field observations","Biological field observations","Freshwater","Asia","2020-04-30 19:27:46","M_Lei",2018,"Raghavan","Fish",NA,"Sub-national (within-country region)","30",NA,NA,"Monthly","","Continuous","After","unmanaged harvests, no quantify","No","","Sub-national (within-country region)","","2","unmanaged harvests for the aquarium trade","No","Fish"
"NAM;BWA;ZAF",713,"","Primary;Secondary","Primary;Secondary","Tourism","Other","Social science field observations;Aggregate institutional data","Terrestrial","Africa","2020-04-30 17:58:12","M_Lei",2018,"Arbieu","Mammals",NA,"Global (>100 countries)","1","2012","2014","Annually","","Continuous","After","","No","","National","","2","Large mammal richness and Abundance","No","Mammals"
"BRA",813,"BRA","Secondary","Primary","Trade;Species Dispersal","Aggregate institutional data","Biological field observations","Marine","South America","2020-05-29 22:49:00","Y_Li",2018,"Mantelatto","Plants/trees/shrubs",NA,"Sub-national (within-country region)","1","2017","2017","Annually","","Continuous","","invasive species via trade","No","","Sub-national (within-country region)","","1","abundance","No","Plants"
"BEN",826,"BEN","Primary","Primary","Knowledge Transfer","Aggregate institutional data","Biological field observations","Terrestrial","Africa","2020-09-01 15:47:55","C_Hovis",2018,"Assede","Plants/trees/shrubs",NA,"Unclear/unspecified","1","2014","2015","Seasonally","","Categorical","Before, After","Protected Area policy","No","","Sub-national (within-country region)","TC - policy aka Protected areas. ","4","density, richness, diversity, evenness","No","Plants"
"SVK;POL",897,"POL","Secondary","Primary","Tourism","Other","Biological field observations;Aggregate institutional data","Terrestrial","Europe","2020-03-19 23:41:34","M_Lei",2018,"Czortek","Invertebrates, Plants/trees/shrubs","1","Sub-national ((within-country region)","144","1872","2016","Unknown/Unclear","Three data periods: 1872–1969; 1960–2016;  Augest 2016","Continuous","During","1600 climbers(statistics)","No","","Sub-national (within-country region)","","2","species richness; diversity","No","Invertebrates; Plants"
"SWE",992,"SWE","Secondary","Primary","Species Dispersal","Field observations","Biological field observations","Freshwater","Europe","2020-04-05 16:01:34","X_Wu",2018,"Johnson","Invertebrates",NA,"Unclear/unspecified","1",NA,NA,"Monthly","","Continuous","During","","No","","Sub-national (within-country region)","","1","Species composition","No","Invertebrates"
"BRA",1007,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","South America","2020-08-27 17:51:45","C_Hovis",2018,"Xavier da Silva","Mammals",NA,"Unclear/unspecified","3","2009","2013","Annually","","Continuous","During","Distance to tourism infrastructure","No","","Sub-national (within-country region)","","10","Occupancy for 10 diff spp","No","Mammals"
"USA",1040,"USA","Other","Primary","Other","Other","Biological field observations","Marine","North America","2020-03-19 16:41:00","E_Xing",2018,"BALMER","Mammals","1","Sub-national (within-country region)","3","2010","2011","Other","Jun. 2010,Aug. 2010,Feb. 2011,Oct. 2013","Categorical","3","oil spill","Yes","na","subnational","na","na","no such data in Chinese survey","No","Mammals"
"BRA",1270,"BRA","Primary","Primary","Water Transfer;Energy Transfer","Field observations","Biological field observations","Marine","South America","2020-03-26 15:16:28","A_Herzberger",2017,"Lima","Fish",NA,"International (within a continent; e.g., European Union)","3","2004","2012","1 year before, 1 year after, 5 years after dam closure","","Categorical","During, After","Hydropower production, before, after and 5 years after closure","No","","Sub-national (within-country region)","","3","reproduction, habitat use, diet by functional groups","No","Fish"
"DEU",1299,"DEU","Primary","Primary","Tourism","Remote sensing","Biological field observations","Terrestrial","Europe","2020-04-06 09:38:00","X_Wu",2017,"Coppes","Birds",NA,"Unclear/unspecified","2","2003","2006","Seasonally","","Continuous","During","","No","","Sub-national (within-country region)","","1","Habitat","No","Birds"
"",1349,"","Secondary","Secondary","Investment","Aggregate institutional data","Aggregate institutional data","Not specified/Global study","North America;South America;Asia;Europe;Africa;Oceania","2020-04-27 15:48:18","C_Hovis",2017,"Waldron","Birds, Mammals",NA,"Global (>100 countries)","2","1996","2008","Unknown/Unclear","","Continuous","Before, During, After","Conservation investment","No","","National","","1","Biodiversity decline score","No","Birds; Mammals"
"CHN",1366,"CHN","Primary","Primary","Energy Transfer","Field observations","Biological field observations","Freshwater","Asia","2020-05-24 16:01:18","A_Torres",2017,"Yang","Fish",NA,"Sub-national (within-country region)","3","2012","2014","Annually","","Categorical","Before, After","","No","","Sub-national (within-country region)","","5","AbundanceAge1; AbundanceAge2; AbundanceAge3; AbundanceAge4; EggsLarvaeAbundance","No","Fish"
"ARG",1368,"ARG","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","2020-05-19 11:38:15","X_Wu",2017,"Arribas","Invertebrates",NA,"Unclear/unspecified","4",NA,NA,"Seasonally","","Continuous","During","","No","","Sub-national (within-country region)","","1","Density","No","Invertebrates"
"MDV",1376,"MDV","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","Asia","2020-06-03 14:42:54","A_Herzberger",2013,"Moritz","Plants/trees/shrubs",NA,"Sub-national (within-country region)","1",NA,NA,"1 time period, compare between sites","","Categorical","During","reef habitat near island resort tourism ","No","compared with local community, intracoupling ","Sub-national (within-country region)","","7","reef area; reef quality; reef size/age; fish diversity; fish biomass; echinoderm diversity;  echinoderm abundance","No","Plants"
"COL",1488,"COL","Primary","Primary","Trade","Other","Biological field observations","Terrestrial","South America","common paper","common paper",2017,"Lopez-Ricaurte","Birds","common paper","common paper","common paper","common paper","common paper","common paper","common paper","Categorical","common paper","common paper","common paper","common paper","common paper","; Scale of entire system: ambiguous because recipient countries of palm oil exports are not specified. 

Number of countries involved: Unclear due to previous reasons

Unclear temporal resolution because data were aggregated into one time period. ; ; invasive spp impact?; na; ; ; ; ","3","common paper","common paper","Birds"
"BRA",1551,"BRA","Primary","Primary","Tourism","Field observations","Biological field observations","Marine","South America","2020-03-31 12:30:45","A_Torres",2017,"Mota Machado","Invertebrates",NA,"Intercontinental (> 2 continents)","2","2012","2014","Seasonally","","Categorical","During","Tourism: Human trampling in urban vs. non-urban areas","No","","Sub-national (within-country region)","","26","Richness-Grussai beach; Density-Grussai beach; Diversity-Grussai beach; Richness-Grussai beach-upper sector; Richness-Grussai beach-medium sector; Richness-Grussai beach-lower sector; Diversity-Grussai beach-upper sector; Diversity -Grussai beach-medium sector; Diversity-Grussai beach-lower sector; Composition-Grussai beach; Composition-Grussai beach-upper sector; Composition-Grussai beach-medium sector; Composition-Grussai beach-lower sector; Richness-Manguinhos beach; Density-Manguinhos beach; Diversity-Manguinhos beach; Composition-Manguinhos beach; Composition-Manguinhos beach-upper sector; Composition-Manguinhos beach-medium sector; Composition-Manguinhos beach-lower sector; Density of Atlantorchestoidea brasiliensis; Density of Donax hanleyanus; Density of Emerita brasiliensis; Density of Excirolana braziliensis; Density of Hemipodia californiensis; Density of Scolelepis sp.","No","Invertebrates"
"CAN",1565,"CAN","Primary","Primary","Trade;Knowledge Transfer","Social science field surveys","Biological field observations","Terrestrial","North America","2020-04-21 15:38:14","A_Herzberger",2017,"Kirk","Birds",NA,"Sub-national (within-country region)","4","1990","1990","Weekly","just 1 time point, 4 replicates ","Categorical","During","organic v. conventional agriculture practices","No","","Sub-national (within-country region)","","2","abundance, richness","No","Birds"
"USA",1590,"USA;GBR;NLD;BEL","Secondary","Secondary","Trade","Aggregate institutional data","Aggregate institutional data","Terrestrial","North America","2020-03-31 14:10:33","A_Torres",2017,"Dale","Plants/trees/shrubs",NA,"Intercontinental (> 2 continents)","2","2002","2014","Annually","","Categorical","Before, After","wood pellet export industry","No","","Sub-national (within-country region)","","4","Number of standing dead trees-Savannah; Area with large trees-Savannah; Number of standing dead trees-Chesapeake; Area with large trees-Chesapeake","No","Plants"
"AUT;BEL;BGR;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;MLT;NLD;POL;PRT;ROU;SVK;SVN;ESP;SWE;GBR",1616,"AUT;BEL;BGR;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;MLT;NLD;POL;PRT;ROU;SVK;SVN;ESP;SWE;GBR","Secondary","Secondary","Knowledge Transfer;Investment","Aggregate institutional data","Aggregate institutional data","Terrestrial","Europe","2020-04-14 11:23:16","A_Herzberger",2016,"Gamero","Birds",NA,"International (within a continent; e.g., European Union)","30","1981","2012","Annually","","Categorical","Before, During","Kinda, they look at the effect conservation programs and ag intensity have on farmland birds across the EU","Yes","no","National","","4","relative abundance effected by conservation, population growth rate by conservation, abundance by ag intensity,  migration by ag intensity ","No","Birds"
"BGR",1681,"BGR","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","2020-04-30 20:36:23","M_Lei",2017,"Ivanova","Mammals",NA,"Global (>100 countries)","1","2016","2016","Annually","","Continuous","During","Tourists，The number of photoflashes produced by tourists in a session. ","No","","Sub-national (within-country region)","","1","bat mortality","No","Mammals"
"BRA",1743,"BRA","Secondary","Primary","Tourism","Other","Biological field observations","Freshwater","South America","2020-04-15 15:35:52","K_Kapsar",2017,"Balduino","Fish",NA,"Unclear/unspecified","1",NA,NA,"Seasonally","","Categorical","During","Tourists","No","","Sub-national (within-country region)","","5","abundance, richness, diversity, dominance, community competition","No","Fish"
"AUS",1752,"AUS","Secondary","Primary",NA,"Aggregate institutional data","Biological field observations","Terrestrial","Oceania","2020-04-29 00:58:25","Y_Zhang",2017,"Zeeman","Plants/trees/shrubs",NA,"Sub-national (within-country region)","2","1994","2014","Unknown/Unclear","Several field data collections, unknown resoluation","Categorical","After","","No","","Sub-national (within-country region)","","1","Species occurance","No","Plants"
"IDN",1799,"IDN","Primary","Primary","Trade","Social science field surveys","Biological field observations","Terrestrial","Asia","2020-04-06 10:12:29","X_Wu",2017,"Harris","Birds",NA,"National","14","1998","2014","Daily","","Continuous","During","","No","","Sub-national (within-country region)","","1","Abundance","No","Birds"
"",1821,"","Secondary","Secondary","Trade","Aggregate institutional data","Aggregate institutional data","Terrestrial","North America;South America;Asia;Europe;Africa;Oceania","2020-03-31 14:43:07","A_Torres",2017,"Wilting","Birds, Mammals, Reptiles, Invertebrates, Plants/trees/shrubs",NA,"Intercontinental (> 2 continents)","1","2007","2007","Only for one year","","Continuous","After","Trade of goods and services","Yes","","Intercontinental (> 2 continents)","Aggregates data of mean species abundance for several taxa into one indicator","1","Mean Species Abundance per ha per year","No","Birds; Mammals; Reptiles; Invertebrates; Plants"
"CHN",1893,"CHN","Primary","Primary","Tourism;Investment","Other","Biological field observations;Social science field observations","Marine","Asia","2020-09-01 17:33:03","C_Hovis",2017,"Huang","Fish, Invertebrates",NA,"Unclear/unspecified","1",NA,NA,"Seasonally","","Categorical","During","Tourist/Private investment","No","","Sub-national (within-country region)","unclear metrics were bc private investment had different impacts depending on marine reserve status.","6","fish size, coral abun, fish abun, fish/coral spp comp","No","Fish; Invertebrates"
"IND",2050,"IND","Primary","Primary","Species Dispersal","Field observations","Biological field observations","Terrestrial","Asia","2020-04-30 16:48:02","M_Lei",2017,"NAUDIYAL","Plants/trees/shrubs",NA,"Sub-national (within-country region)","1",NA,NA," there is no year provided","","Continuous","During","The article divides human behavior into three categories, based on how much plants are harmed","Yes","","Sub-national (within-country region)","","1","Vegetation diversity, shannon diversity index","No","Plants"
"MEX",2201,"MEX","Secondary","Primary","Tourism","Aggregate institutional data","Biological field observations","Terrestrial","North America","2020-05-28 16:25:24","A_Herzberger",2016,"Porras","Mammals",NA,"Sub-national (within-country region)","1","2008","2009","Daily","","Categorical","During","Tourism ","Yes","The considered tourism, AH, hunting and urban area on diversity","Sub-national (within-country region)","","2"," tourism v. richness; tourism v. abundance","No","Mammals"
"",2222,"","Secondary","Secondary","Trade","Aggregate institutional data","Aggregate institutional data","Terrestrial","Unclear/unknown","2020-03-20 10:47:15","Y_Li",2016,"Nishijima","Birds",NA,"Global (>100 countries)","4","2000","2004","Annually","","Continuous","","wood trade. (ps: ""how do they quantify it"" is confusing here)","Unclear/Uncertain","if it is about trade among all counties, what coupling should it be?","Sub-national (within-country region)","","1","bird extinction risks (a repeat question, as this has been asked in survey #1)","No","Birds"
"IDN",2253,"IDN","Primary","Primary","Trade;Tourism","Field observations","Biological field observations","Marine","Asia","2020-03-31 13:59:02","A_Herzberger",2016,"Ferrigno","Invertebrates",NA,"Global (>100 countries)","1","2014","2014","2 months, across 18 sites ","","Continuous","During","Distance from coral reefs to fishing villages and scuba diving resorts as a proxy for human activity","Yes","measured affect ""other"" local sites as well ","Sub-national (within-country region)","","1","an index of coral quality was created from other biodiversity metrics","No","Invertebrates"
"BWA;ZAF;ZWE",2284,"BWA;ZAF;ZWE","Secondary","Secondary","Tourism","Aggregate institutional data","Aggregate institutional data","Terrestrial","Africa","2020-04-30 17:29:58","M_Lei",2016,"Selier","Mammals",NA,"Global (>100 countries)","7","2000","2012","(2000, 2001, 2004, 2007, 2008, 2010 and 2012)","","Continuous","After"," tourism,Number of tourists who travel to a country other than that in which they have their usual residence","Yes","","National","","1","tourist numbers","No","Mammals"
"USA",2345,"USA","Primary","Primary","Trade;Energy Transfer","Remote sensing","Biological field observations","Terrestrial","North America","2020-04-05 16:36:49","X_Wu",2016,"Farwell","Birds",NA,"Unclear/unspecified","8","2008","2015","Daily","","Continuous","During","","No","","Sub-national (within-country region)","This paper is about shale gas, so I chose trade and enegy transfer as external process.","1","Species richness","No","Birds"
"MNE;ALB",2401,"Many","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","2020-08-25 15:44:41","C_Hovis",2016,"Silc","Plants/trees/shrubs",NA,"International (within a continent; e.g., European Union)","1","2013","2013","Unknown/Unclear","","Categorical","Before, After","Tourists","No","","Sub-national (within-country region)","Increased connectivity discussed at being bad for dune communities (indicates dune degeneration) Also indicates that the increase in community richness was not a good thing, seemed biased. ","4","community richness, gamma index, boundary richness, beta diversity","No","Plants"
"AUT;BEL;BGR;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;MLT;NLD;POL;PRT;ROU;SVK;SVN;ESP;SWE;GBR",2546,"AUT;BEL;BGR;HRV;CYP;CZE;DNK;EST;FIN;FRA;DEU;GRC;HUN;IRL;ITA;LVA;LTU;LUX;MLT;NLD;POL;PRT;ROU;SVK;SVN;ESP;SWE;GBR","Secondary","Secondary","Knowledge Transfer","Aggregate institutional data","Aggregate institutional data","Terrestrial","Europe","2020-04-01 15:23:55","A_Herzberger",2015,"Sanderson","Birds",NA,"International (within a continent; e.g., European Union)","2","1980","2012","short term 2001-2012; long-term 1980-2012","","Categorical","During","bird is classified in annex I or not by EU conservation directive","No","","International (within a continent; e.g., European Union)","","5","habitat association; migration strategy; reproduction; population short-term trend, population long-term trend","No","Birds"
"DEU",2606,"DEU","Primary","Primary","Tourism","Field observations","Biological field observations","Terrestrial","Europe","2020-03-19 21:51:05","X_Wu",2016,"Seer","Plants/trees/shrubs","1","Sub-national ((within-country region)","3","2011","2013","Annually","","Categorical","After","","No","","Sub-national (within-country region)","","3","Species richness; species coverage; plant community classes","No","Plants"
"PHL",2642,"PHL","Primary","Primary","Migration (non-human)","Field observations","Biological field observations","Freshwater","Asia","2020-04-16 15:23:46","K_Kapsar",2016,"Lourdes","Fish",NA,"Unclear/unspecified","1","2013","2015","Weekly","","Categorical","During","Invasive aquaculture fish","No","","Sub-national (within-country region)","","4","fish biomass, Shannon-Weiner diversity, richness, evenness","No","Fish"
"CHN",2670,"CHN","Primary","Primary","Tourism","Field observations","Biological field observations","Freshwater","Asia","2020-04-16 18:24:13","A_Torres",2016,"Cao","Invertebrates",NA,"Unclear/unspecified","1","2013","2013","Seasonally","","Continuous","During","Tourism stress","No","","Sub-national (within-country region)","","2","Taxa richness; Ephemeroptera, Plecoptera, and Trichoptera (EPT) richness","No","Invertebrates"
"CYP",2704,"CYP","Secondary","Primary",NA,"Remote sensing","Biological field observations","Terrestrial","Oceania","2020-03-19 10:05:49","E_Dean",2016,"Mammides","Birds","1","Sub-national ((within-country region)","1","2012","2012","Seasonally","","Continuous","During","Total length of roads, distance to nearest agricultural field, human population size","No","","Sub-national (within-country region)","Regression models - counts?","5","Total species richness; richness of passage migrants; richness of resident breeders; richness of species with increasing global population trends; richness of species with stable global population trends; richness of species with decreasing global population trends","Yes","Birds"
