timestamp,coder_id,paper_id,year_pub,author,taxa_list,habitat,list_countries,list_continents,scale_entire,num_time_pd,year_start,year_end,temp_res,temp_res_unk,meta_var_type,b4_dur_after,peri_tele_flows,tele_cat,peri_tele_sep,peri_tele_sep_unk,data_source_biodiv,data_source_meta,data_type_biodiv,data_type_meta,scale_biodiv,comments,num_biodiv_metrics,list_biodiv_metrics,further_discuss,biodiv_countries
4/5/2020 7:52,E_Dean,2998,2015,Phomikong,Fish,Freshwater,Thailand,Asia,Sub-national (within-country region),18,2009,2010,18 sampling trips between Aug 2009 - June 2010,,Categorical,"Before, During, After",Used the environmental effect of dams as a proxy for the effects of hydropower on fish communities?,Energy Transfer,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,Cumulative species richness; average species richness; Shannon-Wiener diversity index; abundance-biomass,No,Thailand
4/5/2020 16:30,E_Dean,3868,2014,de Bie,Plants/trees/shrubs,Terrestrial,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),2,2001,2011,Annually,,Categorical,During,"No ""flow"" identified",Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Exotic species richness,No,Australia
4/5/2020 17:20,E_Dean,6502,2011,Nocera,Birds,Terrestrial,Unclear,North America (includes Hawaii & all countries above Panama Canal),"International (within a continent; e.g., European Union)",3,NA,NA,Unknown/Unclear,"The study used datasets over 40 year period, but I do not know the temporal resolution of that data.",Continuous,After,Import and export of beef; amount of hay harvested,Trade,Yes,,Secondary,Secondary,Biological field observations,Aggregate institutional data,"International (within a continent; e.g., European Union)",,21,Relative abundance of bird species,No,Unclear
3/19/2020 10:05,E_Dean,2704,2016,Mammides,Birds,Terrestrial,Cyprus,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national ((within-country region),1,2012,2012,Seasonally,,Continuous,During,"Total length of roads, distance to nearest agricultural field, human population size",This is within-country,No,,Primary,Secondary,Biological field observations,Remote sensing,Sub-national (within-country region),Regression models - counts?,5,Total species richness; richness of passage migrants; richness of resident breeders; richness of species with increasing global population trends; richness of species with stable global population trends; richness of species with decreasing global population trends,Yes,
4/14/2020 12:03,E_Dean,339,2013,Oldekop,"Amphibians, Plants/trees/shrubs",Terrestrial,Ecuador,South America,Sub-national (within-country region),1,NA,NA,Unknown/Unclear,Study did not outline how often data was collected,Categorical,During,"Trade was quantified as market access, categorizing areas into ""remote"" (less market access) and ""non-remote"" (more market access). Presence/absence of community rules/sanctions regulating land use (governing of trade) could not be quantified and related to biodiversity.","Trade, Governing of trade",No,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,2,Fern species richness; leaf litter frog species richness,No,Ecuador
4/28/2020 11:20,K_Kapsar,3772,2014,McDermid,Fish,Freshwater,Canada,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),4,1940,2010,Decadally,,Categorical,"Before, During",Dam,Energy Transfer,No,,Primary,Secondary,Biological field observations,unspecified,Sub-national (within-country region),,7,Observed heterozygosity; allellic richness; coefficient of inbreeding; pairwise divergence; relatedness; effective population size,No,Canada
4/28/2020 13:20,K_Kapsar,3989,2014,Bessa,Invertebrates,Marine,Portugal,Europe,Unclear/unspecified,2,1999,2011,"Monthly, Seasonally",,Categorical,During,Tourists,Tourism,No,,Primary,Secondary,Biological field observations,Unclear. Presence/absence of tourists ,Sub-national (within-country region),,6,density (3 spp); richness; Shannon-Weiner index; community structure,No,Portugal
4/29/2020 13:55,K_Kapsar,4552,2013,Zhou,Mammals,Terrestrial,China,Asia,Unclear/unspecified,1,2007,2007,Seasonally,,Ordinal,During,,Tourism,No,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,1,fieldsign abundance,No,China
3/19/2020 23:41,M_Lei,897,2018,Czortek,"Invertebrates, Plants/trees/shrubs",Terrestrial,Poland,Europe,Sub-national ((within-country region),144,1872,2016,Unknown/Unclear,Three data periods: 1872–1969; 1960–2016;  Augest 2016,Continuous,During,1600 climbers(statistics),Tourism,No,,Primary,Secondary,"Biological field observations, Aggregate institutional data","Field observations, Aggregate institutional data",Sub-national (within-country region),,2,species richness; diversity,No,
4/28/2020 16:37,M_Lei,379,2019,Moraes,Invertebrates,Marine,Brazil,South America,Sub-national (within-country region),6,2008,2016,Annually,,Continuous,During,Bioeroding sponge richness and abundance,Species Dispersal,No,,"Primary, Secondary","Primary, Secondary","Biological field observations, Aggregate institutional data","Field observations, Aggregate institutional data",Sub-national (within-country region),,2,Bioeroding sponge richness and abundance,No,Brazil
3/15/2020 22:29,MG_Chung,45,2019,Green,"Birds, Mammals, Amphibians, Plants/trees/shrubs",Terrestrial,Many,South America,Global (>100 countries),2,2000,2010,Annually,,Continuous,"Before, During",Soybean trade,Trade,No,,Secondary,Secondary,Aggregate institutional data,"Remote sensing, Aggregate institutional data",Sub-national (within-country region),,1,species-by-species losses of suitable habitat,No,
3/16/2020 12:54,MG_Chung,654,2018,Antonio Donazar,Birds,Terrestrial,Spain,Europe,Sub-national ((within-country region),1,2014,2014,Daily,,Continuous,During,the number of vehicles in protected areas as most of visitors access the park by motor vehicle,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,the number of scavenger species recorded daily,No,
3/18/2020 10:35,MG_Chung,3502,2015,Gremillet,Birds,Marine,Many,"Europe, Africa",Intercontinental (> 2 continents),1,2010,2012,Seasonally,,Continuous,During,NA,Migration (non-human),No,,Primary,Secondary,"Biological field observations, Remote sensing","Field observations, Remote sensing",Intercontinental (> 2 continents),"This study focused on the movement of migratory birds in Europe and Africa. Although they discussed the impacts of marine fisheries on the marine mega-fauna, they did not quantify such impacts. They showed that juvenile and adult Northern gannets and Scopoli's Shearwaters made extensive use of marine waters off West Africa during their autumn migration and wintering phase. The West Africa has experienced massive foreign fisheries that might affect both juvenile and adult European seabirds during their autumn migration and at their wintering grounds.",1,migratory movements (birds),No,
3/19/2020 15:21,MG_Chung,5966,2012,Vitule,Fish,Freshwater,Brazil; Paraguay; Argentina; Bolivia; Uruguay,South America,"International (within a continent; e.g., European Union)",2,NA,NA,Annually,,Categorical,"Before, After","changes in biotic homogenization of fish fauna/assemblages caused by the elimination of a natural barrier due to dam construction, aquaculture, and aquarium trade",Water Transfer,No,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,"International (within a continent; e.g., European Union)",,2,Jaccard's coefficient; Whittaker's beta biodiversity index,No,
3/19/2020 16:37,MG_Chung,6396,2011,Murphy,Invertebrates,Freshwater,Belarus; Ukraine,Europe,"International (within a continent; e.g., European Union)",1,2003,2004,Annually,,Continuous,After,radiation exposure (137Cs activity concentration) after Chernobyl accident,Chernobyl Nuclear Power Plant,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,4,abundance of individuals; taxon richness; Berger-Parker dominance; Shannon-Wiener diversity,No,
3/19/2020 21:51,X_Wu,2606,2016,Seer,Plants/trees/shrubs,Terrestrial,GerMany,Europe,Sub-national ((within-country region),3,2011,2013,Annually,,Categorical,After,,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,3,Species richness; species coverage; plant community classes,No,
3/19/2020 22:27,X_Wu,6845,2010,Juhasz,Invertebrates,Marine,French Polynesia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national ((within-country region),1,NA,NA,Daily,,Categorical,After,,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Species abundence,No,
4/5/2020 16:01,X_Wu,992,2018,Johnson,Invertebrates,Freshwater,Sweden,Europe,Unclear/unspecified,1,NA,NA,Monthly,,Continuous,During,,Species Dispersal,No,,Primary,Secondary,Biological field observations,Field observations,Sub-national (within-country region),,1,Species composition,No,Sweden
4/5/2020 16:36,X_Wu,2345,2016,Farwell,Birds,Terrestrial,USA,North America (includes Hawaii & all countries above Panama Canal),Unclear/unspecified,8,2008,2015,Daily,,Continuous,During,,"Trade, Energy Transfer",No,,Primary,Primary,Biological field observations,Remote sensing,Sub-national (within-country region),"This paper is about shale gas, so I chose trade and enegy transfer as external process.",1,Species richness,No,USA
4/5/2020 17:29,X_Wu,5853,2012,Flecks,Reptiles,Terrestrial,Tanzania,Africa,Intercontinental (> 2 continents),1,2009,2009,Annually,,Categorical,During,,Trade,No,,Primary,Primary,Biological field observations,Social science field surveys,Sub-national (within-country region),,1,Population,No,Tanzania
4/6/2020 11:09,X_Wu,4393,2013,Hanafiah,Fish,Freshwater,GerMany; Netherlands; Belgium; Hungary; Austria; Slovakia; Luxembourg; France,Europe,"International (within a continent; e.g., European Union)",1,1992,2009,Unknown/Unclear,The data is secondary data.,Categorical,During,,"Trade, Species Dispersal",No,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,"International (within a continent; e.g., European Union)",,1,Species richness,No,Germany; Netherlands; Belgium; Hungary; Austria; Slovakia; Luxembourg; France
4/6/2020 11:53,X_Wu,5309,2019,Dunn,Birds,Terrestrial,Antarctic,Antarctica,Intercontinental (> 2 continents),21,1996,2017,Annually,,Continuous,During,,Tourism,No,,Primary,Primary,Biological field observations,Field observations,"International (within a continent; e.g., European Union)",,1,Population,No,Antarctic
4/6/2020 16:45,X_Wu,6820,2010,Young,Birds,Terrestrial,St Lucia,North America (includes Hawaii & all countries above Panama Canal),Unclear/unspecified,2,2006,2007,Daily,,Categorical,During,,Tourism,No,,Primary,Primary,Biological field observations,Remote sensing,Sub-national (within-country region),,1,Population,No,St Lucia
3/20/2020 7:24,Y_Dou,92,2019,Wang,Amphibians,Terrestrial,China,Asia,Sub-national ((within-country region),15,2014,2018,Monthly,,Categorical,During,categorical disturbances,"Tourism, land use",No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,species richness; species abundance,No,
4/29/2020 13:19,C_Hovis,84,2019,Lindenmayer,Birds,Terrestrial,Australia; Rest of the World,"Oceania (Australia, New Zealand, Fiji, etc)",Global (>100 countries),1,2004,2014,Annually,,Categorical,After,Logging ,Trade,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),"LOTS OF METRICS, TOO MANY?, AM I DOING THIS WRONG? reports apparent occupancy, does not consider detectability",162,"functional trait and logging, spp richness (2 logging times), apparent occupancy by spp (2 logging times), apparent occupancy by spp with fire (2 logging times)",Yes,Australia
4/16/2020 11:45,Y_Zhang,227,2019,Marquardt,Not specified/global study,Not specified/Global study,Many,"North America (includes Hawaii & all countries above Panama Canal), South America, Asia, Europe, Africa, Oceania (Australia, New Zealand, Fiji, etc)",Global (>100 countries),2,2009,2016,Unknown/Unclear,"Found in supplementary material, the data are secondary (from other studies) - one in 2009, one in 2016, temporal resolutions are unclear","Not specified, use household expenditure and population density as variables",After,"Not specified, inferred only","Trade, Migration (human), human consumption (direct, agriculture/land use change)",No,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Global (>100 countries),,4,"mean species abundance, relative abundance, relative within-sample species richness, vulnearbility-weighted global relative species",No,many
4/28/2020 22:26,Y_Zhang,425,2019,Costa,Invertebrates,"Terrestrial, Marine",Brazil or more (unspecified tourist source),South America,Unclear/unspecified,2,2017,2018,Unknown/Unclear,Several field days,Continuous,"Before, After",Urbanization index and percentage of fine sediment,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Single species abundance,No,Brazil
4/28/2020 22:54,Y_Zhang,466,2011,Bejarano,Plants/trees/shrubs,Freshwater,Sweden,Europe,Sub-national (within-country region),2,2006,2009,Unknown/Unclear,,Categorical,After,Water flow (impact from dams),Water flow (hydrological regulation),No,,Primary,Secondary,Biological field observations,"Remote sensing, Aggregate institutional data",Sub-national (within-country region),,2,Number of trees; number of shrubs,No,Sweden
4/30/2020 12:40,C_Hovis,5756,2012,Remis,Mammals,Terrestrial,Central African Republic; Rest of the World?,Africa,Unclear/unspecified,2,1994,2009,Seasonally,,Continuous,"Before, After",,"Trade, Migration (human)",No,,Primary,Primary,Biological field observations,"Field observations, Social science field surveys",Sub-national (within-country region),Unclear if migrants/demand for meat comes from outside the country/continent,7,"groups/km, spp comp",No,Central African Republic
4/30/2020 13:01,C_Hovis,4760,2013,Sada,Invertebrates,"Terrestrial, Freshwater",USA; Rest of the world,North America (includes Hawaii & all countries above Panama Canal),Global (>100 countries),1,2006,2007,Seasonally,,Categorical,"Before, After",Music festival activity,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),"study took place in nevada, playas are seasonally flooded and this is crucial for the life history of the organism, wasn't sure if I should tag as freshwater or terrestrial so I put both",2,egg density for two spp,No,USA
4/30/2020 14:57,Y_Zhang,4020,2014,Huhta,Birds,Terrestrial,Finland,Europe,Sub-national (within-country region),2,2004,2006,Unknown/Unclear,Involving field work days,Categorical,After,Tourists (implied),Tourism,No,,Primary,Secondary,Biological field observations,"Broadly use urban areas, campfire sites, hiking trails",Sub-national (within-country region),,1,Bird abundance,No,Finland
4/30/2020 15:37,Y_Zhang,4293,2014,Ballantyne,Plants/trees/shrubs,Terrestrial,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),2,2003,2013,Unknown/Unclear,Involves field work days,Unclear number of tourists,After,Tourists in hiking trails,Tourism,No,,Primary,Secondary,Biological field observations,Use hiking trails as proxy of tourists,Sub-national (within-country region),,1,Abundance,No,Australia
4/30/2020 16:14,M_Lei,523,2018,Kouvari,Mammals,Marine,Many,"North America (includes Hawaii & all countries above Panama Canal), South America, Asia, Europe, Africa, Antarctica",Intercontinental (> 2 continents),5,NA,NA,Unknown/Unclear,"we divide insular extinctions in five bins, being Late Pleistocene (125–10 ka), Early Holocene (10.0–8.2 ka), Middle Holocene (8.2–4.2 ka), Late Holocene (4.2–0.5 ka), and Modern Era (500 years ago till today) ",Continuous,During,first human arrival,Migration (human),Unclear/Uncertain,It doesn't mention where people come from in this paper,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Intercontinental (> 2 continents),,1,extinct taxa,No,35
4/30/2020 16:38,K_Kapsar,5773,2012,Chepinoga,Plants/trees/shrubs,Terrestrial,Russia,Asia,Unclear/unspecified,1,2009,2009,Unknown/Unclear,Single time period,Continuous,During,Tourists,Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,species richness,No,Russia
4/30/2020 16:48,M_Lei,2050,2017,NAUDIYAL,Plants/trees/shrubs,Terrestrial,India,Asia,Sub-national (within-country region),1,NA,NA, there is no year provided,,Continuous,During,"The article divides human behavior into three categories, based on how much plants are harmed","Tourism, Cutting and grazing/browsing",Yes,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,"Vegetation diversity, shannon diversity index",No,India
4/30/2020 17:00,K_Kapsar,5782,2012,Martin,Birds,Terrestrial,Spain,Europe,Unclear/unspecified,2,1998,2008,Unknown/Unclear,,Continuous,"Before, During",Agri-environmental policy,Knowledge Transfer,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Percent change in population size,No,Spain
4/30/2020 17:10,Y_Zhang,5063,2019,Warren,Birds,Terrestrial,USA,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),2,2006-2008,2011-2013,Unknown/Unclear,Field work days involved,Continuous,"Before, After",Urbanization between two study years,Migration (human),No,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,3,"Richness, occupancy, abundance",No,USA
4/30/2020 17:13,M_Lei,396,2019,Wraith,Plants/trees/shrubs,Terrestrial,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Global (>100 countries),1,2018,2018,Annually,,Continuous,During,"tourism and grazing, Get the data through the report: number of threatened species","Tourism, grazing",Yes,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,Sub-national (within-country region),,1,orchids richness ,No,Australia
4/30/2020 17:29,M_Lei,2284,2016,Selier,Mammals,Terrestrial,"Botswana, South Africa, Zimbabwe",Africa,Global (>100 countries),7,2000,2012,"(2000, 2001, 2004, 2007, 2008, 2010 and 2012)",,Continuous,After," tourism,Number of tourists who travel to a country other than that in which they have their usual residence",Tourism,Yes,,Secondary,Secondary,Aggregate institutional data,Aggregate institutional data,National,,1,tourist numbers,No,"3, Botswana, South Africa and Zimbabw"
4/30/2020 18:03,Y_Zhang,5076,2018,Assandri,Birds,Terrestrial,Italy,Europe,Sub-national (within-country region),2,2017,2017,Unknown/Unclear,Three visits/surveys during breeding seasons,Continuous,After,Agriculture (EU CAP policy),"Trade, Agricultural policy (trade inferred)",No,,Primary,Secondary,Biological field observations,Aggregate institutional data,Sub-national (within-country region),,1,Richness,No,Italy
4/30/2020 18:34,M_Lei,80,2019,Krawczyk,"Birds, Reptiles",Terrestrial,Greece,Europe,Sub-national (within-country region),1,2016,2016,Annually,,Categorical,After,Investment(building and road),Investment,No,,Primary,Secondary,Biological field observations,Remote sensing,Sub-national (within-country region),,2,bird and reptile abundance,No,Greece
4/30/2020 19:27,M_Lei,708,2018,Raghavan,Fish,Freshwater,india,Asia,Sub-national (within-country region),30,NA,NA,Monthly,,Continuous,After,"unmanaged harvests, no quantify","Trade, unmanaged harvests for the aquarium trade",No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,unmanaged harvests for the aquarium trade,No,india
4/30/2020 21:27,M_Lei,4832,2013,SILCOCK,Plants/trees/shrubs,Terrestrial,Australia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),1,2010,2010,Unknown/Unclear,,Continuous,During,"grazing, a control group was set up",grazing,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,2,richness and abundance,No, Australia
5/11/2020 10:04,R_Chen,2402,2016,Tata,Plants/trees/shrubs,Terrestrial,Indonesia,"Oceania (Australia, New Zealand, Fiji, etc)",Sub-national (within-country region),2,2014,2014,Seasonally,2 times,Continuous,During,domestication ,Investment,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,growth rate of trees,No,1
5/11/2020 10:33,R_Chen,2504,2016,Dronova,Birds,Freshwater,China,Asia,Sub-national (within-country region),1,2006,2006,Daily,,Categorical,During,count the waterbirds,Migration (human),No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,number of waterbirds,No,1
5/11/2020 11:50,R_Chen,4352,2014,Duffy,Mammals,Terrestrial,Botswana,Africa,National,2,2008,2009,Unknown/Unclear,This paper is based on a total of three months fieldwork in Botswana during 2008/9. ,Categorical,During,tourism impacts on elephant habitat,Tourism,No,,Primary,Primary,Social science field observations,Social science field surveys,National,,1,number of elephant,No,1
5/11/2020 12:22,R_Chen,6348,2011,Sundermann,Invertebrates,Freshwater,Germany,Europe,Sub-national (within-country region),2,2007,2008,Annually,annual,Continuous,During,no peri or telecoupled flow,Technology Transfer,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,Number of available benthic invertebrate samples,No,1
5/11/2020 13:22,R_Chen,854,2018,Yi,habitat,Terrestrial,USA,North America (includes Hawaii & all countries above Panama Canal),Sub-national (within-country region),2,1984,2010,Unknown/Unclear,multi years,Continuous,During,using InVEST model,Investment,No,,Primary,Primary,Remote sensing,Remote sensing,Sub-national (within-country region),,1,Habitat quality index,No,1
5/12/2020 12:01,R_Chen,3790002,2019,Liu,Plants/trees/shrubs,Terrestrial,China,Asia,Sub-national (within-country region),1,NA,NA,Unknown/Unclear,not mentioned,Continuous,After,"established a regression model to explain the relationship between human interference and abun-dance of bryophytes in the five sinkholes,",Tourism,No,,Primary,Primary,Biological field observations,Field observations,Sub-national (within-country region),,1,number of species,No,1
5/12/2020 16:57,R_Chen,4207,2017,Goswami,Mammals,Terrestrial,India,Asia,Sub-national (within-country region),1,2008,2008,Annually,,Continuous,After,how conflict affect biodiversity,governance,No,,Primary,Secondary,Biological field observations,Social science field surveys,Sub-national (within-country region),,1,density of animals,No,1
3/19/2020 13:14,E_Xing,44,2019,Mokotjomela,Plants,Terrestrial,South Africa,Africa,Sub-national (within-country region),NA,NA,NA,Other,na,Categorical,1,Biodiversity Economy Strategy at South Africa,Other,No,na,Secondary,Secondary,biological;rs,social,subnational,na,1,no such data in Chinese survey,No,no such data in Chinese survey
