,X,STUDY_ID,REVIEWERS,INCLUDE,STUDY_ID.1,TITLE,AU,PY,ABSTRACT
11,11,44,Anna,not vetted,5245,Coordinated species importation policies are needed to reduce serious invasions globally: the case of alien bumblebees in south america,AIZEN MARCELO A;SMITH-RAMIREZ CECILIA;MORALES CAROLINA L;VIELI LORENA;SAEZ AGUSTIN;BARAHONA-SEGOVIA RODRIGO M;ARBETMAN MARINA P;MONTALVA JOSE;GARIBALDI LUCAS A;INOUYE DAVID W;HARDER LAWRENCE D,2019,"The global trade of species promotes diverse human activities but also facilitates the introduction of potentially invasive species into new environments. As species ignore national boundaries, unilateral national decisions concerning species trade set the stage for transnational species invasion with significant conservation, economic and political consequences. The need for a coordinated approach to species importation policies is demonstrated by the introduction of two bumblebee species into chile for crop pollination, despite argentina banning commercial importation of alien bumblebees based on expert opinion. The large garden bumblebee, bombus ruderatus, was first introduced in 1982, and the buff-tailed bumblebee, bombus terrestris, has been continually introduced since 1997 as part of the burgeoning bumblebee trade. Both species have subsequently invaded southern south america. Today, the consequences of the growth of the bumblebee trade for agricultural pollination ranks among the top 15 emerging environmental issues likely to affect global diversity. Documented impacts of these invasions include the severe decline and local extinctions of the sole native patagonian bumblebee, bombus dahlbomii, pathogen transmission, flower damage and nectar robbing of native and cultivated plants. Policy implications. The south american bumblebee invasions portrayed here should alert governments to the unintended consequences of the booming international bee trade. More broadly, this case demonstrates that one country's importation decisions can have policy implications for its neighbours without consultation. Regrettably, coordinated international measures to prevent species invasions are seldom considered in south america or elsewhere, despite existing legal frameworks. The bumblebee case and others provide stark evidence of the pressing need for coordinated specific and general international policies concerning global species trade and their implementation."
12,12,45,Anna,not vetted,5486,"Populations of commercial molluscs within a highly biodiverse marine protected area of the northern alboran sea (w mediterranean): preferential habitats, seasonal dynamics and importance for artisanal fisheries",URRA JAVIER;LUIS RUEDA JOSE;MARINA PABLO;ANTIT MOUNA;SALAS CARMEN,2018,"Seasonal dynamics and preferential sedimentary habitats of commercial molluscs have been studied in soft bottoms within the limits of the special area of conservation (sac) calahonda (s spain). This sac harbours a high diversity of invertebrate communities, and it is located in a very touristy area of the littoral of malaga and within the limits of one of the most productive shellfish fishing areas of the nw alboran sea. Here, the artisanal fishery targeting molluscs is a locally important activity because some species (e.g. Chamelea gallina, callista chione, donax trunculus) are highly demanded by locals and touristsand therefore reaching high commercial value. More than 200 molluscan species inhabit the soft bottoms of the sac calahonda, from which eight species collected in this study have economic value. The bivalve c. Gallina was the most abundant and frequent commercial species, mainly at shallow fine and medium sand bottoms, followed by c. Chione at coarse sand bottoms. Some species displayed higher abundance values of large or small size individuals at different depths, and most of them showed maximum abundances in spring and summer. Many invertebrate species associated with these soft bottoms are potentially very sensitive to dredging activities, especially echinoderms, decapods and cnidarians. Further research regarding the potential impact of fisheries on these assemblages would be desirable, especially considering the high biodiversity existing within this sac and the increase of tourists in the last years."
13,13,56,Anna,not vetted,332,"REVIEW OF ANTHROPOGENIC THREATS AND BIODIVERSITY ASSESSMENT OF AN ETHIOPIAN SODA LAKE, LAKE ABIJATA",WAGAW S;MENGISTOU S;GETAHUN A,2019,"the intention of this review is to assess the impact of anthropogenic activities on the biodiversity of lake abijata. the lake was established as a national park, together with lakes shalla and chitu, to conserve water birds. it has high ph and electrical conductivity and is hypersaline. it presents an inhospitable limnochemical environment that limits biodiversity, although there are organisms adapted to these hostile conditions. the biodiversity of the lake is threatened by anthropogenic activities. deforestation, expansion of agriculture, livestock, soda ash extraction and upstream irrigation led to a drop in water level and surface area, a change in physico-chemical and biological conditions, and a general deterioration in ecosystem condition. the phytoplankton community structure has switched from populations of arthrospira fusiformis to non-arthrospira fusiformis, zooplankton communities have moved towards small-bodied rotifers, such as brachionus, filinia and lecane spp., the fishery has totally collapsed and birds, such as lesser flamingoes (phoeniconaias minor geoffroy) and great white pelicans (pelecanus onocrotalus), have migrated to nearby lakes. these ecological changes over the past years point to the need for a new conservation and management plan to restore the ecosystem's health. a few recommendations are given for lake management as mechanisms to protect the ecosystem."
14,14,67,Anna,not vetted,3408,AVIFAUNA AND URBAN ENCROACHMENT IN TIME AND SPACE,RAYNER LAURA;IKIN KAREN;EVANS MALDWYN J;GIBBONS PHILIP;LINDENMAYER DAVID B;MANNING ADRIAN D,2015,"aimurban expansion significantly alters fringe environments often with undesirable impacts on biodiversity. consequently, there is a need to define clear conservation objectives for areas subject to urban encroachment. urban fringe development is a highly dynamic process, both spatially and temporally, but few studies are equipped to examine its temporal effects on biota. we aimed to explore the impacts of urban encroachment on avifauna through space and time. locationthe australian capital territory, australia. methodswe used records from an extensive 14-year monitoring programme undertaken in temperate woodland. we fitted hierarchical generalized linear models to assess individual species responses to the distance from monitoring sites to the urban boundary, and the temporal rate of change in this distance through time. we used factorial analysis on mixed data to examine trait group responses to these predictors. resultsour results indicated that the occurrence of approximately half of the study region's avifauna is strongly linked to the proximity of their habitat to the urban fringe, but that the impact of urban fringe development on the occurrence of some species changed through time. we identified several species of conservation concern that respond negatively to large annual increases in urban fringe development, irrespective of its proximity to suitable habitat. species responses to urban proximity were linked to life history traits, with small, migratory, woodland-dependent species that rely on mid- and upper-canopy structures, clearly disadvantaged by urban environments. main conclusionsour findings demonstrate the breadth of species responses to urban encroachment over much larger distances than is typically investigated in urban ecological studies. we identify guilds vulnerable to the impacts of urban fringe development and therefore in need of ecologically sensitive urban design. we argue that future urban expansion towards important fringe habitats will need to be planned strategically through space and time."
15,15,74,Anna,not vetted,5214,INVASION OF NON-INDIGENOUS SUCKERMOUTH ARMOURED CATFISH OF THE GENUS PTERYGOPLICHTHYS (LORICARIIDAE) IN THE EAST KOLKATA WETLANDS: STAKEHOLDERS' PERCEPTION,HUSSAN AJMAL;SUNDARAY J K;MANDAL R N;HOQUE FARHANA;DAS ARABINDA;CHAKRABARTI P P;ADHIKARI S,2019,"rapid spread and population increase of suckennouth armoured catfishes belonging to the genus pterygoplichthys (loricariidae) in the east kolkata wetlands (ekw) in recent times is of increasing concern, because of the notable possibility that these non-native catfishes are adversely affecting fish germplasm and commercial fishery of this unique ecosystem. to study the present status of these loricariids and the invasion and impact dynamics in ekw ecosystems, field survey was conducted over a water spread area of 670 ha, comprising 120 fishermen (n-2 = 120) of 30 farms (n-1 = 30), between february and october, 2017 through a pre-tested. open-ended structured schedule. a total of 943 specimens of pterygoplichthys spp. were collected and analysed for abundance, length-weight parameters, gonado-somatic index and relative fecundity. pterygoplichthys spp. occurred at 29 (97%) of 30 surveyed farms and approximately 70% of the farm owners perceived that these fishes posed moderate to serious economic impact. fish production cutback, small indigenous fish (particularly, puntius spp.) depredation and bottom structure alteration are among the major negatives perceived; a positive note in terms of soil-bound nutrient release was reported by a few fishermen (1%). channel through which sewage water intake occurred by gravitation has been perceived to be the main mute of entry (77%), with significantly higher abundance around the periphery of the pond. almost 80% respondents perceived an increased occurrence of these fishes over the last four years, with seasonal pattern of abundance. culling of suckennouth after harvest was the most common method adopted to reduce population. multi-layer screening in the inlet of sewage water into the ponds is perceived as most sought solution for control. average direct and indirect financial losses due to pterygoplichthys spp. in ekw was calculated as (sic) 0.092 lakh ha(-1) yr(-1), which points towards mounting pressure of loricariids in already dwindling economics and biodiversity of ekw."
16,16,76,Anna,not vetted,5905,TRAMPLING ON CORAL REEFS: TOURISM EFFECTS ON HARPACTICOID COPEPODS,SARMENTO V C;SANTOS P J P,2012,"human trampling is a common type of disturbance associated with outdoor recreational activities in coastal ecosystems. in this study, the effect of trampling on the meiofaunal harpacticoid copepod assemblage inhabiting turfs on a coral reef was investigated. in porto de galinhas, northeastern brazil, reef formations near the beach are one of the main touristic destinations in the country. to assess trampling impact, two areas were compared: a protected area and an area subject to intensive tourism. densities of total harpacticoida and of the most abundant harpacticoid species showed strong reductions in the trampled area. an analysis of covariance revealed that the loss of phytal habitat was not the main source of density reductions, showing that trampling affected the animals directly. in addition, multivariate analysis demonstrated differences in the structure of harpacticoid assemblages between areas. of the 43 species identified, 12 were detected by the indicator species analyses as being indicators of the protected or trampled areas. moreover, species richness was reduced in the area open to tourism. at least 25 harpacticoids are new species for science, of these, 20 were more abundant or occurred only in the protected area, while five were more abundant or occurred only in the trampled area; thus, our results highlight the possibility of local extinction of still-unknown species as one of the potential consequences of trampling on coral reefs."
17,17,87,Anna,not vetted,1270,Using a trait-based approach to measure the impact of dam closure in fish communities of a neotropical river,LIMA ANA C;SAYANDA DIOGO;AGOSTINHO CARLOS S;MACHADO ANA L;SOARES AMADEU M V M;MONAGHAN KIERAN A,2018,"Damming is one of the main causes of the global decline in freshwater biodiversity. Yet, many hydroelectric dams are being built (or planned) in the neotropics, where the high species diversity and lack of basic ecological knowledge provide a major obstacle to understanding the effects of this environmental change, which has been mostly described from the perspective of taxonomic change. However, this approach does not account for biological function. Trait-based analysis provides an alternative approach to bioassessment. We assessed the impact of dam closure on the functional structure of fish communities of a neotropical river by applying trait-based analyses to the response of individual traits aggregated at the assemblage level. Fish data were collected during three distinct time periods (1 year before, 1 year after and 5 years after dam closure), at eight sites located downstream of the dam, in the reservoir, transition zone and upstream. The results indicated that reproduction strategies (migration and parental care) and diet (detritivores) were the trait categories mostly affected by the dam, with the response of downstream assemblages differing from upstream of the dam. A trait-based analysis to the impact of damming on fish communities appears to be a promising approach using an initial descriptive analysis of individual traits and regression models of multiple traits that reflect species' adaptation to the new environment. This study provides both an alternative and complementary approach to taxonomic assessment of impacts from damming, contributing towards a more robust evaluation of the response of fish communities to dams."
18,18,94,Anna,not vetted,2577,Selective responses of benthic foraminifera to thermal pollution,TITELBOIM DANNA;ALMOGI-LABIN AHUVA;HERUT BARAK;KUCERA MICHAL;SCHMIDT CHRISTIANE;HYAMS-KAPHZAN ORIT;OVADIA OFER;ABRAMOVICH SIGAL,2016,"Persistent thermohaline pollution at a site along the northern coast of israel, due to power and desalination plants, is used as a natural laboratory to evaluate the effects of rising temperature and salinity levels on benthic foraminifera living in shallow hard-bottom habitats. Biomonitoring of the disturbed area and a control station shows that elevated temperature is a more significant stressor compared to salinity, thus causing a decrease in abundance and richness. Critical temperature thresholds were observed at 30 and 35 degrees c, the latter representing the most thermally tolerant species in the studied area pararotalia calcariformata, which is the only symbiont-bearing species observed within the core of the heated area. Common species of the shallow hard-bottom habitats including several lessepsian invaders are almost absent in the most exposed site indicating that excess warming will likely impede the survival of these species that currently benefit from the ongoing warming of the eastern mediterranean. (C) 2016 elsevier ltd. All rights reserved."
19,19,96,Anna,not vetted,2710,Zostera marina meadows from the gulf of california: conservation status,LOPEZ-CALDERON JORGE M;RIOSMENA-RODRIGUEZ RAFAEL;TORRE JORGE;MELING ALF;BASURTO XAVIER,2016,"Eelgrass (zostera marina) population estimates show a decreasing trend worldwide in the second half of the twentieth century. Mexico lacks long-term time series to determine trends for major eelgrass populations and has made no conservation efforts. Therefore, we present the first report on the historic presence of this annual coastal ecosystem in two wetlands of the gulf of california (gc), the infiernillo channel (cif, largest z. Marina population inside gc) and concepcion bay (bcp, the only eelgrass population along gc's west coast), combining field surveys (1999-2010), aerial photography (2000-2010), satellite imagery (1972-2005), and published reports (1994-2007). Three parameters were used as indicators of conservation status: shoot density, seed banks, and aerial coverage. Average shoot density in the cif (741 shoots m(-2)) was 3.8 times higher than in bcp (194 shoots m(-2)), and average seed bank density was similar in both wetlands (17,442 seeds m(-2) vs. 17,000 seeds m(-2)). Opportunistic seagrass ruppia maritima was observed in both wetlands, with higher abundance in summer when z. Marina disappears due to high water temperatures. Eelgrass coverage was three orders of magnitude greater in the cif (9725 ha) than in bcp (3 ha). The striking difference between these wetlands is the lack of environmental protection for bcp and the protection of the cif by the seri indigenous community, which increases human pressure in the former, putting it at high risk of disappearing. Conservation of eelgrass meadows is not only necessary to preserve their ecosystem services but to insure the survival of migratory populations (pacific brant goose, branta bernicla), endangered species (black turtle, chelonia mydas), and fisheries-related species."
20,20,108,Anna,not vetted,3738,"Positive conservation outcome from religious teachings: changes to subsistence turtle harvest practices at cocos (keeling) islands, indian ocean",MACRAE ISMAIL;WHITING SCOTT,2014,"We document and describe the change in attitudes, hunting behaviour and historic subsistence use of sea turtles by cocos malay people of islamic faith in the cocos (keeling) islands, indian ocean over the last 180 years. We used several lines of evidence including historical documents, scientific journals, archived records and interviews with current and former residents. The results are grouped in two time categories: 1) use of turtles prior to mid-1980s and 2) use of turtles after mid-1980s. Prior to the mid-1980s, turtle meat was popular with muslim residents and was consumed when available and was particularly appreciated during times of ceremony. After the mid-1980s, external influences and improved communication modified islamic teachings and sea turtles were reclassified from halal (permitted as food) to haram (prohibited as food). After the mid-1980s, harvest and the use of turtles decreased to negligible numbers. Although a combination of various events and circumstances may have contributed to this change in harvest practices, changes to islamic teachings were likely to be the main factor. These changes in use appeared to have had a dramatic positive effect on the resident green (chelonia mydas) and hawksbill (eretmochelys imbricata) turtle populations, from what appeared to be harvest-related depressed numbers prior to the 1980s, recovering to abundant numbers after 1999. From a management perspective, this is a positive conservation outcome for sea turtles, at both local and regional (indian ocean) scales."
21,21,119,Anna,not vetted,5875,Driftnet fishery threats sea turtles in the atlantic ocean,FIEDLER FERNANDO N;SALES GILBERTO;GIFFONI BRUNO B;MONTEIRO-FILHO EMYGDIO L A;SECCHI EDUARDO R;BUGONI LEANDRO,2012,"Fisheries are recognised as a major threat to sea turtles worldwide. Oceanic driftnets are considered the main cause of the steep decline in pacific ocean populations of the leatherback sea turtle dermochelys coriacea. The world's largest leatherback population nests in west africa and migrates across the atlantic ocean to feed off the south american coast. There, the turtles encounter a range of fisheries, including the brazilian driftnet fishery targeting hammerhead sharks. From 2002 to 2008, 351 sea turtles were incidentally caught in 41 fishing trips and 371 sets. Leatherbacks accounted for 77.3% of the take (n = 252 turtles, capture rate = 0.1405 turtles/km of net), followed by loggerheads caretta caretta (47 individuals, capture rate = 0.0262 turtles/km of net), green turtles chelonia mydas (27 individuals, capture rate = 0.0151 turtles/km of net) and unidentified hard-shelled turtles (25 individual, capture rate = 0.0139 turtles/km of net) that fell off the net during hauling. Immediate mortality (i.e., turtles that were dead upon reaching the vessel, excluding post-release mortality) was similar among the species and accounted for 22.2 to 29.4% of turtles hauled onboard. The annual catch by this fishery ranged from 1,212 to 6,160 leatherback turtles, as estimated based on bootstrap procedures under different fishing effort scenarios in the 1990s. The present inertia in law and enforcement regarding gillnet regulations in brazil could result in the reestablishment of the driftnet fishery, driving rates of leatherback mortality to levels similar to those observed in previous decades. This development could potentially lead to the collapse of the south atlantic leatherback population, mirroring the decline of the species in the pacific. In light of these potential impacts and similar threats to other pelagic mega fauna, we recommend banning this type of fishery in the region."
