"timestamp","coder_id","paper_id","year_pub","author","C1_biodiv","C2_meta","C3_quant","C4_study","meet_all_4","sup_check","comments","further_discuss","explicit_distant_impacts","explain_distant_impacts","status","abstract","title"
"2020-04-21 11:05:00","A_Herzberger",518,2018,"AMIRA NUR","bird abundance, species richness, and composition","rice field landscape in South Asia ","bird abundance, species richness, and composition","Observational study","Yes","No","","No","No","rice fields are the landscape ","accept","Rice fields are common throughout the agricultural landscape of southeast asia and sustain various bird species. These birds can provide ecosystem services, such as pest control, that improve agricultural yields whilst minimising the use of agrochemicals. This study quantified avian biodiversity in rice production landscapes during three farming stages in peninsular malaysia. In malaysia, rice fields can be an important habitat for migrating birds due to malaysia's position on the east-asian-australasian flyway. We determined bird abundance, species richness, and composition in rice field landscapes and compared these during different stages of rice growing. Wetland and terrestrial birds were counted in rice fields using the point-count method. Sixty sampling points were randomly established in three locations, from which 3447 individual birds of 46 species and 26 families were recorded. There was a significant difference in total bird abundance and species richness between the three different stages of rice growing. The growing stage supported greater bird abundance and species richness compared to the pre-harvest and post-harvest stages. Rice-growing provides temporary habitats to different bird species in this managed aquatic landscape. This implies the presence of abundant food, such as small fish and amphibians. The evidence from this study suggests that biodiversity-friendly agricultural practices should be implemented to improve habitat quality for birds in rice production landscapes.","Effects of intensive rice production practices on avian biodiversity in southeast asian managed wetlands"
"2020-04-30 16:14:27","M_Lei",523,2018,"KOUVARI MIRANTA","mammals of extinction"," human activity","extinct taxa","Modeling study (using empirical data and not projected)","Yes","Yes","","No","Yes","","accept","EXTINCTION, SPECIATION AND IMMIGRATION ARE THE MAIN FACTORS SHAPING PATTERNS OF BIODIVERSITY ON ISLANDS. IN PARTICULAR, THE IMPACT OF THE LATE PLEISTOCENE-HOLOCENE EXTINCTION WAVE HAD A STRONG IMPACT ON THE MEGAFAUNA. HERE WE INVESTIGATE THE RELATIONSHIP BETWEEN EXTINCTIONS OF INSULAR ENDEMIC MAMMAL SPECIES AND THEIR BODY MASS, THE SIZE OF THE ISLAND AND THE FIRST HUMAN ARRIVAL TO THE ARCHIPELAGO. OUR DATA ON ISLANDS WORLDWIDE SHOW THAT MEGAFAUNA WAS HIT HARD INDEED. ALL ISLANDS LOST THEIR HEAVIEST MAMMAL SPECIES, WHEREAS MAXIMUM SURVIVING MAMMALIAN BODY SIZE DIFFERS PER ARCHIPELAGO, RANGING FROM HEAVIER THAN 100 KG (PHILIPPINES) TO BELOW 100 G (CANARIES) AND NO SURVIVING NATIVE MAMMALS ON THE GALAPAGOS. ALTHOUGH THE NUMBER OF EXTINCTIONS IS HIGHEST ON LARGER ISLANDS, IN LINE WITH PREDICTIONS FOLLOWING FROM THE SPECIES-AREA RELATIONSHIP, THE PERCENTAGE IN RELATION TO TOTAL NUMBER OF ENDEMIC SPECIES IS THE LOWEST. MAJOR PART (ALMOST 80%) OF EXTINCTIONS OF INSULAR ENDEMICS TOOK PLACE AFTER THE FIRST HUMAN ARRIVAL, WITH THE HIGHEST PERCENTAGES DURING THE LATE PLEISTOCENE (34.5%) AND THE MODERN ERA (31%). THIS INDICATES AN INCREASED RATE OF EXTINCTIONS IN THE MODERN ERA, CONSIDERING THE SUBSTANTIALLY LONGER TIME SPAN OF THE FORMER PERIOD. INCREASED GLOBALISATION WITH INTRODUCTIONS OF ALIEN SPECIES IN COMBINATION WITH SUBSTANTIAL ANTHROPOGENIC HABITAT ALTERATION LIKELY UNDERLIES THIS PATTERN. WHETHER THESE EXTINCTION WAVES FOLLOW A FAST OR SLOW SCENARIO (""BLITZKRIEG"" VERSUS ""SITZKRIEG"") REMAINS UNCLEAR, BUT THE GRADUAL INCREASE IN EXTINCTIONS THROUGH THE HOLOCENE, WITH A PEAK (31%) IN THE LAST 500 YEARS, IS SUGGESTIVE OF A SLOW SCENARIO.","BIOGEOGRAPHY OF EXTINCTION: THE DEMISE OF INSULAR MAMMALS FROM THE LATE PLEISTOCENE TILL TODAY"
"2020-03-16 12:19:18","MG_Chung",654,2018,"ANTONIO DONAZAR JOSE","avian acavengers","They studied how roads and the associated traffic intensity due to recreational activities influence natural ecological processes within a scavenger guild.","the number of scavenger species","Experimental study","Yes","Yes","","","Yes","They studied how roads and the associated traffic intensity due to recreational activities influence natural ecological processes within a scavenger guild.","accept","The expansion of road networks and the increase in traffic have emerged in recent years as key threats to the conservation of biodiversity. This is particularly concerning in many protected areas because the increase of recreational activities requiring the use of vehicles. Effects of roads and traffic within guild scenarios and ecological processes remain however poorly known. Here we examined how road proximity and traffic intensity influence patterns of resource use in an old-world avian scavenger guild living in a protected natural park in northern spain. We experimentally placed 130 carcasses at different distances from a scenic road in the centre of the park. Vehicleswere recorded bymeans of traffic counterswhich revealed that maximumnumbers were reached during weekends and holidays and during themiddle hours of the day. Avian scavenger attendance at carcasses was recorded by means of camera-traps. Obligated scavengers, eurasian griffon (gyps fulvus) and egyptian vultures (neophron percnopterus) were frequently observed (59.4% and 37.7% of the consumed carcasses) together with five other facultative scavenger species. We found that the richness (number of species) and the probability of consumption of the resource were reduced the smaller the distance to the road and in dayswith higher traffic intensity. The same factors affected the probability of presence of all the scavenger species. Moreover, some of them, notably griffon vultures, showed hourly patterns of carcass attendance suggesting avoidance of maximum traffic levels. Our results highlight that roads and traffic would trigger consequences on the structure and functioning of scavenger food webs, which may be particularly concerning in protected areas with remarkable levels of biodiversity. Future regulations at protected areas should couple both traffic and tourist affluencewithwildlife conservation. In this way important ecological processes would be preserved while maintaining a good dissemination of natural values. (C) 2018 elsevier b.v. All rights reserved.","Tourism in protected areas: disentangling road and traffic effects on intra-guild scavenging processes"
"2020-04-30 19:27:43","M_Lei",708,2018,"RAGHAVAN RAJEEV","dynamics of redline torpedo barb in india","unmanaged harvests","Distribution of length frequencies, total mortality","Observational study","Yes","No Supplementary Material Provided","","No","No","unmanaged harvests for the aquarium trade","accept","1. The freshwater aquarium trade provides economic and livelihood opportunities to the rural poor, but has been implicated in biodiversity loss through population declines and local extirpation of high-value endemic species. Previous observations on population declines are largely based on anecdotal data, however, and there are no studies on the population dynamics or stock assessment of freshwater fish species collected for the aquarium pet trade. 2. To understand how wild collection of endemic and threatened species for the aquarium trade could affect their populations, the sustainability of collecting the endangered redline torpedo barb (sahyadria denisonii), and its evolutionarily distinct lineages (henceforth rltbs), from the western ghats region (part of the western ghats-sri lanka biodiversity hot spot) for the aquarium trade was studied to provide baseline data to inform conservation action. 3. Local populations of rltbs at the five commercial collection sites showed high mortality rates, and fish were exploited before they attained sexual maturity. The unmanaged fishery has led to unsustainable levels of exploitation, and populations of rltbs at three sites are vulnerable to an impending collapse. 4. Endemic and threatened freshwater fish species used in the aquarium pet trade are exposed to local extirpations and global extinctions unless management plans and legislative controls are implemented and strictly enforced. Management plans and conservation actions to help guide the responsible fisheries of rltbs are suggested, and the wider implications of unmanaged exploitation of endemic aquarium fisheries are discussed.","Effect of unmanaged harvests for the aquarium trade on the population status and dynamics of redline torpedo barb: a threatened aquatic flagship"
"2020-04-30 17:58:14","M_Lei",713,2018,"ARBIEU UGO","Large mammal richness within protected areas in in Southern Africa","visitor numbers","Large mammal richness and Abundance","Observational study","Yes","No Supplementary Material Provided","","No","Yes","","accept","Relationships between biodiversity and cultural ecosystem services have been little studied compared to other ecosystem services, although fundamental for environmental management. Recreational ecosystem services like wildlife tourism are specific cultural ecosystem services that often involve relationships between the supply of opportunities to interact with biodiversity and the demand of wildlife tourists. Here, we first investigated whether different biodiversity measures based on three metrics applied to four components of large mammal diversity influenced the distribution of visitors within four protected areas (pas) in southern africa. Second, we explored whether these effects were context-specific across the four pas. We counted large mammals and visitor numbers along 196 road transects to test these relationships. All species-mammal diversity metrics related positively to visitor numbers. Subsets of mammal diversity were also positively associated with the distribution of visitors in all pas. Relationships between supply and demand for the recreational service of wildlife tourism were mainly context-specific: the relationships between biodiversity measures and visitor numbers differed among pas. Our results could help managers to optimize the use of recreational services within pas, by diversifying viewing opportunities while reducing disturbance to wildlife. The supply-demand approach presented here offers promising avenues for further assessments of recreational ecosystem services. (C) 2017 elsevier b.v. All rights reserved.","Large Mammal Diversity Matters For Wildlife Tourism In Southern African Protected Areas: Insights For Management"
"2020-09-01 15:41:30","C_Hovis",826,2018,"ASSEDE E S P","Orchid","Protected areas (knowledge)","Orchid stuff","Observational study","Yes","No Supplementary Material Provided","","No","No","Inferring that the protected area/policy is a form of Knowledge transfer","accept","The effectiveness of protected areas to guarantee future conservation of several plant species remains questionable. This study was carried out in the biosphere reserve of pendjari (brp) and surrounding unprotected areas to assess the efficiency of the reserve to conserve orchids. A total of 90 plots (52 in protected areas; 38 in unprotected areas) were sampled. The recorded data include: orchid species, number of individuals per species, the height and diameter at breast height of host trees. Diversity indices were used to assess the orchid diversity in the protected and unprotected areas. Preferred habitat conditions of orchid species were investigated using constrained correspondence analysis. An independent t-test and two-way analysis of valiance were performed to assess an existing combined effect of vegetation type and the conservation status on the density of orchid spedes. The importance value index (ivi) was used to measure how dominant an orchid species is in a given zone according to the conservation status of the zone. Only three epiphytic orchids (calyptrochilum christyanum, cyrtorchis arcuata and plectrelminthus caudatus) were recorded and all in gallery forest of unprotected areas. Indeed, 67% and 58% of the orchid species were only recorded in unprotected areas and in gallery forest, respectively. There was no significant difference between the density of all recorded orchids in protected and unprotected areas. The conservation status of the studied zone had a significant effect on the densities of nervilia kotschyi and eulophia guineensis (p < 0.0001). The highest ivi of n. Kostchyi was observed in the protected area and of e. Guineensis was in the unprotected area. This first effort to compile a reference list of the orchid species of the brp showed that some orchid species were well represented within the protected area, but all of the epiphytic orchids were recorded from unprotected areas. A representative gap can be assumed to exist for most epiphytic orchids only recorded in the gallery forests of unprotected areas. Our results highlighted the need to redefine protective management strategies for orchid species in the brp. (C) 2018 saab. Published by elsevier b.v. All rights reserved.","Efficiency of conservation areas to protect orchid species in benin, west africa"
"2020-03-19 23:41:36","M_Lei",897,2018,"CZORTEK PATRYK","the distribution of Carex lachenalii Schkuhr in the Tatra Mts","tourism","species richness and diversity","Observational study","Yes","Yes","","","Yes","","accept","mountain vegetation is highly specialized to harsh climatic conditions and therefore is sensitive to any change in environment. the rarest and most vulnerable plants occurring in alpine regions are expected to respond rapidly to environmental changes. an example of such a species is carex lachenalii subsp. lachenalii schkuhr, which occurs in poland on only a few isolated sites in the tatra mts. the aim of this study was to assess changes in distribution of c. lachenalii in the tatra mts over the past 50-150 years and the effects of climate change, tourism and historical grazing on the ecological niche of c. lachenalii. we focused on changes in the importance of functional diversity components in shaping plant species composition. over the past 50-150 years, the elevation of the average distribution of c. lachenalii shifted about 178 m upward alongside a significant prolongation of the vegetative season by approximately 20 days in the last 50-60 years. species composition of plots without c. lachenalii was characterized by competition between plants, whereas on plots with c. lachenalii habitat filtering was the most important component. our results suggest that climate change was the main factor driving upward shift of c. lachenalii. moderate trampling enhanced horizontal spread of this plant, whereas cessation of grazing grazing caused decline of c. lachenalii. the three environmental factors studied that determined shifts in distribution of c. lachenalii may also contribute to changes in distribution of other rare mountain plant species causing changes in ecosystem functioning. (c) 2017 elsevier b.v. all rights reserved.","CLIMATE CHANGE, TOURISM AND HISTORICAL GRAZING INFLUENCE THE DISTRIBUTION OF CAREX LACHENALII SCHKUHR - A RARE ARCTIC-ALPINE SPECIES IN THE TATRA MTS"
"2020-04-05 15:53:35","X_Wu",992,2018,"JOHNSON RICHARD K","Lake littoral invertebrate","Species invasion","Species composition","Observational study","Yes","Yes","","","Yes","","accept","lakes are affected by a number of anthropogenic pressures, often resulting in biodiversity loss and impairment of ecosystem services. here we analysed responses of littoral invertebrate assemblages in 589 temperate lakes to five anthropogenic pressures and combined pressure load. over half of the lakes (n = 302) were deemed to be affected by one or more pressures. the most pervasive pressures were forestry (73% of the impacted lakes), agriculture (21%) and acidification (11%). individually, agriculture and ph explained > 20% of the among-lake variability in littoral invertebrate assemblages. ranking the importance of the five pressures on littoral invertebrate assemblages, after accounting for covariance with natural factors and other pressures, showed that acidity > agriculture > forestry > urbanization >= invasive species. although about 10% of the lakes were acidified according to chemical criteria, our finding that acidity was ranked first is partly due to the naturally low ph of humic boreal lakes, and not acidification per se. comparison of species composition to cumulative pressure load revealed no clear patterns. species composition (ca axis 1 scores) in lakes with one or more pressures differed from sites with no pressures, but cumulative pressure effects were non-significant. a significant three-pressure impact was found for species composition characterized by ca axis 2 scores, related to the combined pressures of agriculture, invasive species and urbanization. collectively, our results show that littoral invertebrate assemblages respond uniquely to several different pressures, underpinning their use as a biomonitoring tool for assessing the ecological status of lakes. ranking the effects of individual pressures as done here is a critical step in designing and implementing measures to protect and mitigate anthropogenic effects on biodiversity loss.","disentangling the response of lake littoral invertebrate assemblages to multiple pressures"
"2020-08-27 17:51:18","C_Hovis",1007,2018,"DA SILVA MARINA XAVIER","Mammals","Tourism","Occupancy","Observational study","Yes","Yes","","No","Yes","Explicit about tourism","accept","Protected areas - widely recognized as the main strategy for biodiversity conservation - have greatly expanded, covering similar to 15% of the earth; however, we still lack detailed information on biodiversity to evaluate their effectiveness. This is particularly urgent for biodiversity hotspots where protected areas are islands within human modified landscapes. We focus on mammals of the iguacu national park - one of the most important parks in the atlantic forest hotspot - to evaluate the effectiveness of protected areas in conserving biodiversity. We monitored 300 km(2) with 37 cameras traps during five years to assess if (1) species occupancy declined over time, and (2) if species occupancy/detectability are spatially associated with illegal hunting, proximity to tourism infrastructure and distance from the edge, estimating the proportion of the park where these negative effects are detected. Many species that are rare in most atlantic forest remnants presented high occupancy within the park, and no decline in occupancy was observed over time. However, the distribution of 11 species was spatially associated primarily with the distance from the edge and proximity to tourism infrastructure, resulting in a decline, across half of the park area, from 13 to 23% in occupancy and from 19 to 35% in detectability (values averaged among species). These negative effects should be even stronger on smaller protected areas, which are the majority in highly altered hotspots. Re-establishing and properly managing buffer zones and restricting tourism to localized areas are essential to ensure the effectiveness of protected areas for biodiversity conservation.","Effectiveness of protected areas for biodiversity conservation: mammal occupancy patterns in the iguacu national park, brazil"
"2020-03-19 16:41:48","E_Xing",1040,2018,"BALMER B","Abundance and density of bottlenose dolphin","Deepwater Horizon (DWH) oil spill","Abundance and density","Observational study","Yes","No Supplementary Material Provided","na","no such data in Chinese survey","yes","Bottlenose dolphins along the northern Gulf of Mexico continue to be impacted by numerous stressors including harmful algal blooms, infectious disease epizootics, and oil exposure following the Deepwater Horizon (DWH) oil spill.","accept","Bottlenose dolphins along the northern gulf of mexico continue to be impacted by numerous stressors including harmful algal blooms, infectious disease epizootics, and oil exposure following the deepwater horizon (dwh) oil spill. Studies to assess the potential impacts of the dwh oil spill on dolphins in the northern gulf of mexico were initiated as part of a natural resource damage assessment and included photographic-identification (photo id) surveys to determine abundance, density, and site fidelity in st. Joseph bay, florida (sjb). Although significant oiling did not occur in sjb, long-term data have been collected in this region to provide insight into population-level trends in abundance/density over time. Thus, sjb dolphins could serve as a reference for comparison to other dolphin populations exposed to dwh oiling. During 2005-2007, the results of photo id and telemetry surveys determined seasonal fluctuations in abundance and identified two different dolphin populations in sjb: residents sighted across multiple seasons and years (st. Joseph bay stock), and visitors that were present during the spring and fall and associated with a 2-3 fold increase in abundance (northern coastal stock). The goals for the current study were to compare dolphin abundance, density, and site fidelity, prior to (2005-2007), during (2010), and post-dwh (2011 and 2013) using photo-id surveys and a spatially explicit robust-design capture-recapture (serdcr) model. The data collected during and post-dwh paralleled previous research in that a low number of individuals with high site fidelity were sighted across seasons and years (st. Joseph bay stock), and abundance/density increased in the fall as a result of an influx of dolphins that were likely members of the northern coastal stock. However, june and august 2010 abundance (347; 193-498, 95% ci and 394; 288-534, 95% ci, respectively), density (dolphins/km(2)) (2.60; 1.36-3.70, 95% ci and 2.55; 1.89-3.29, 95% ci, respectively), and site fidelity patterns were more similar to previous years' spring and fall data, with high abundance estimates, increased dolphin density in coastal waters, and elevated numbers of individuals with low site fidelity in the sjb region. Factors that could have contributed to this increase in abundance include immigration of dolphins from adjacent estuaries, population growth within the st. Joseph bay stock, impacts from dwh oiling, and environmental and/or prey-based cues that influence movements of the northern coastal stock. The results of this study demonstrate the importance of long-term monitoring to assess impacts of current and future stressors on the dolphins in the northern gulf of mexico.","Long-term trends in a northern gulf of mexico common bottlenose dolphin (tursiops truncatus) population in the wake of the deepwater horizon oil spill"
"2020-03-26 14:57:22","A_Herzberger",1270,2018,"LIMA ANA C","fish community structure","hydropower dam","# of fish before and after dam closure, functional diversity","Observational study","Yes","Yes","","","No","they mention the dams are for electricity but to where it goes ","accept","Damming is one of the main causes of the global decline in freshwater biodiversity. Yet, many hydroelectric dams are being built (or planned) in the neotropics, where the high species diversity and lack of basic ecological knowledge provide a major obstacle to understanding the effects of this environmental change, which has been mostly described from the perspective of taxonomic change. However, this approach does not account for biological function. Trait-based analysis provides an alternative approach to bioassessment. We assessed the impact of dam closure on the functional structure of fish communities of a neotropical river by applying trait-based analyses to the response of individual traits aggregated at the assemblage level. Fish data were collected during three distinct time periods (1 year before, 1 year after and 5 years after dam closure), at eight sites located downstream of the dam, in the reservoir, transition zone and upstream. The results indicated that reproduction strategies (migration and parental care) and diet (detritivores) were the trait categories mostly affected by the dam, with the response of downstream assemblages differing from upstream of the dam. A trait-based analysis to the impact of damming on fish communities appears to be a promising approach using an initial descriptive analysis of individual traits and regression models of multiple traits that reflect species' adaptation to the new environment. This study provides both an alternative and complementary approach to taxonomic assessment of impacts from damming, contributing towards a more robust evaluation of the response of fish communities to dams.","Using a trait-based approach to measure the impact of dam closure in fish communities of a neotropical river"
"2020-04-06 09:17:43","X_Wu",1299,2017,"COPPES JOY","Habitat of capercaillie","Tourism (outdoor recreation)","Habitat","Observational study","Yes","Yes","","No","No","This paper is about the effect of outdoor recreation on habitat reduction, and use the distance to recreation infrastructure as proxy. ","accept","Outdoor recreation inflicts a wide array of impacts on individual animals, many of them reflected in the avoidance of disturbed areas. The scale and spatial extent, however, at which wildlife populations are affected, are mostly unclear. Particularly in geographically isolated populations, where restricted habitat availability may preclude a relocation to undisturbed areas, effective habitat reduction may remain underestimated or even unnoticed, when animals stay in disturbed areas and only show small-scale responses. Based on telemetry data, we investigated the spatial and seasonal effects of outdoor recreation - in relation to landscape and vegetation conditions - on western capercaillie tetrao urogallus, considering two scales, home range and within-home range habitat selection. We determined the distance-thresholds up to which recreation infrastructures were avoided and estimated the extent of affected habitat for the isolated black forest (southwestern germany) study population. While outdoor recreation did not affect home range selection, strong effects on habitat use within the home range were detected: distance to recreation infrastructure (hiking and cross-country skiing trails, ski pistes) was the main determinant of habitat selection in winter; in summer, mountain bike trails and hiker's restaurants were avoided up to an average distance of 145 m (ci: 60-1092 m). Around winter-infrastructure, relative avoidance was recorded up to 320 m (ci: 36-327 m), it was reduced, however, when dense understory provided visual cover. Of the entire population area, between 8-20% (summer) and 8-40% (winter) were affected by outdoor recreation, mainly in the high altitudes. Even without evident large-scale shifts in species distribution, local-scale avoidance of outdoor recreation can substantially contribute to effective habitat reduction. Based on our results we recommend a general reduction in recreation infrastructure density in key habitats, the establishment of undisturbed wildlife refuges with a diameter of at least 800 m, as well as enhancing visual protection by maintaining a strip of dense understory along trails.","Outdoor recreation causes effective habitat reduction in capercaillie tetrao urogallus: a major threat for geographically restricted populations"
"2020-04-27 15:35:35","C_Hovis",1349,2017,"WALDRON ANTHONY","BD loss","Investment","percent bd lost/gained","Modeling study (using empirical data and not projected)","Yes","Yes","","No","Yes","","accept","Halting global biodiversity loss is central to the convention on biological diversity and united nations sustainable development goals(1,2), but success to date has been very limited(3-5). A critical determinant of success in achieving these goals is the financing that is committed to maintaining biodiversity(6-9); however, financing decisions are hindered by considerable uncertainty over the likely impact of any conservation investment(6-9). For greater effectiveness, we need an evidence-based model(10-12) that shows how conservation spending quantitatively reduces the rate of biodiversity loss. Here we demonstrate such a model, and empirically quantify how conservation investment between 1996 and 2008 reduced biodiversity loss in 109 countries (signatories to the convention on biological diversity and sustainable development goals), by a median average of 29% per country. We also show that biodiversity changes in signatory countries can be predicted with high accuracy, using a dual model that balances the effects of conservation investment against those of economic, agricultural and population growth (human development pressures)(13-18). Decision-makers can use this model to forecast the improvement that any proposed biodiversity budget would achieve under various scenarios of human development pressure, and then compare these forecasts to any chosen policy target. We find that the impact of spending decreases as human development pressures grow, which implies that funding may need to increase over time. The model offers a flexible tool for balancing the sustainable development goals of human development and maintaining biodiversity, by predicting the dynamic changes in conservation finance that will be needed as human development proceeds.","Reductions in global biodiversity loss predicted from conservation spending"
"2020-05-24 16:01:23","A_Torres",1366,2017,"YANG ZHI","fish","dam-energy production","abundances","Observational study","Yes","No","","No","Yes","mention of hydroelectric projects","accept","huge dams (installed capacity > 100 mkw) are generally built on large rivers that display high biodiversity and include major migration routes for many diadromous and potamodromous fish. as a result, these dams lead to severe ecological impacts and receive more attention than smaller dams. most previous work on the impact of huge dams on fish downstream movement has focused on a single dam and reservoir, so little is known about the effect of cascaded huge dams and reservoirs on downstream movement. during the period 2012-2014, two huge dams (the xiangjiaba and the xiluodu) were constructed on the upper yangtze river and the reservoir impoundments began, respectively in october 2012 and may 2013. these cascaded hydroelectric projects could have a large adverse effect on the downstream movement of an important potamodromous fish species, coreius guichenoti. to study the effect of cascaded impact of sequential huge dams and reservoirs on passive and active downstream movement of c. guichenoti, eggs and larvae were collected in the yibin section during 2012-2014 and fish were collected monthly at a site in the hejiang section from june 2012 to july 2014. our results showed that, compared to one huge reservoir and dam, cascaded dams exert a more serious effect and obstruct downstream movement of eggs, larvae and young fish (particularly the yearlings and two-year-olds) of c. guichenoti. individual c. guichenoti were able to pass with relative ease through one reservoir and dam, but passing through both reservoirs and dams was very difficult. to allow access to the spawning grounds upstream, a fish passage should be built on the xiluodu dam. however, due to the hydropower development in the whole upper basin, captive breeding and maintaining at least 60 km of riverine habitat upstream of a spawning ground could be a more cost-effective approach to maintaining c. guichenoti populations in the upper yangtze river.","THE EFFECT OF CASCADED HUGE DAMS ON THE DOWNSTREAM MOVEMENT OF COREIUS GUICHENOTI (SAUVAGE & DABRY DE THIERSANT, 1874) IN THE UPPER YANGTZE RIVER"
"2020-05-19 11:29:11","X_Wu",1368,2017,"ARRIBAS LORENA P","Sea star density","Tourism","Density","Observational study","Yes","No","","","Yes","","accept","in patagonian coastal areas, intertidal benthic communities are exposed to extreme physical conditions. the interaction between harsh environment and anthropogenic pressure can generate changes in population biology of marine invertebrates, like density and reproduction. the oral brooding sea star anasterias minuta is a key organism in food chains of atlantic patagonian rocky intertidals, hence changes on its population structure can negatively affect shore communities. we studied the population biology of a. minuta and assess the effect of environmental parameters and anthropogenic activities on its population on rocky intertidal shores of san matias gulf, patagonia, argentina. seasonal sea surface temperature, ph, salinity, water velocity, desiccation rate, boulders density, and anthropogenic influence (tourists and octopus fishermen) were recorded. in sites with less tourist influence and high refuge, an increase in density was recorded, especially during the summer. brooding individuals were found in fall and winter, while feeding individuals were observed in all seasons (12 different prey, mainly the molluscs tegula patagonica and perumytilus purpuratus). environmental variables such as boulders density and water velocity were the most important predictor of variation in population structure. tourism and ph were the most important variables negatively correlated with density.","population biology of the sea star anasterias minuta (forcipulatida: asteriidae) threatened by anthropogenic activities in rocky intertidal shores of san matias gulf, patagonia, argentina"
"2020-05-29 13:46:12","A_Herzberger",1376,2017,"MORITZ CHARLOTTE","coral reef ","tourism","abundance ","Observational study","Yes","Yes","","No","Yes","yes island tourist resort v. local community v. control ","accept","Aimthere is global consensus that marine protected areas offer a plethora of benefits to the biodiversity within and around them. Nevertheless, many organisms threatened by human impacts also find shelter in unexpected or informally protected places. For coral reef organisms, refuges can be tourist resorts implementing local environment-friendly bottom-up management strategies. We used the coral reef ecosystem as a model to test whether such practices have positive effects on the biodiversity associated with de facto protected areas. Locationnorth ari atoll, maldives. Methodswe modelled the effects of the environment and three human management regimes (tourist resorts, uninhabited and local community islands) on the abundance and diversity of echinoderms and commercially important fish species, the per cent cover of reef benthic organisms (corals, calcareous coralline algae, turf and macroalgae) and the proportion of coral disease. We used multivariate techniques to assess the differences between reef components among the management regimes. Resultsreefs varied between the management regimes. A positive resort effect was found on sessile benthic organisms, with good coral cover and significantly less algae at resort islands. Corals were larger and had fewer diseases in uninhabited islands. Minor resort effect was detected on motile species represented by commercial fish and echinoderms. Main conclusionsin countries where natural biodiversity strongly sustains the tourist sector and where local populations rely on natural resources, a balance between tourism development, local extraction practices and biodiversity conservation is necessary. The presence of eco-friendly managed resorts, which practices would need to be certified on the long term, is beneficial to protect certain organisms. House reefs around resorts could therefore provide areas adding to existing marine protected areas, while marine protection efforts in local community islands should focus on improving fishing management.","The ""resort effect"": can tourist islands act as refuges for coral reef species?"
"2020-03-31 11:21:52","A_Torres",1551,2017,"MACHADO PHILLIPE MOTA","Benthic communities","Tourism","abundance of macrofauna species","Observational study","Yes","No","","No","Yes","Tourism, though the source of tourists is not mentioned","accept","This study evaluated the effect of human trampling on the benthic macrofauna of two beaches in southeast brazil with different levels of intensity of tourism, grussai (more impacted) and manguinhos (less impacted), during periods of high and low tourism activity. The macrofauna of urbanized (u) and non-urbanized (nu) sectors of the inter-tidal zone was sampled and the number of visitors was recorded. General linear models revealed a decreasing in abundance of macrofauna species in the urbanized sectors of analyzed beaches, which are exposed to higher trampling impact than in non-urbanized areas. At manguinhos beach, trampling did not affect the macrofauna (<1 visitors.m(-2)), except for the polychaete scolelepis sp., which was less abundant in the u sector. Considering the benthic community, atlantorchestoidea brasiliensis, hemipodia californiensis and scolelepis sp. Were more sensitive to human trampling pressure and may be used as potential bioindicators of tourism impact. Management plans should consider mitigation of the effects of tourism, such as the control of the visitor number and their decentralization.","Tourism impacts on benthic communities of sandy beaches"
"2020-04-27 11:53:31","A_Herzberger",1565,2017,"KIRK DAVID ANTHONY","function bird groups","organic v. conventional ag","beta diversity, richness","Observational study","Yes","Yes","","No","No","They talked about how ag influences biodiversity on a global scale","accept","Organic farming may be more beneficial to biodiversity than nonorganic farming but the comparison is often confounded by regional within-farm and landscape differences. We compared breeding bird species composition and abundance on 10 farm pairs of each type matched at the site level for land cover in the prairie parklands of saskatchewan, canada in 1990. Land cover was measured around bird point counts at two extents; 'site' (6.3 ha area) and 'field' (16.3 ha area). We pooled species into functional groups; linear mixed models showed no significant differences between farm types for species richness but that all birds, migratory birds using crops and aerial insectivores were more abundant on organic farms. A permutational multivariate analysis of variance demonstrated that farm type did not have a significant overall effect on compositional similarity but that pairwise differences existed between about half of the farm pairs (the direction of differences in beta diversity was not consistent between organic and nonorganic fauns according to tests for the homogeneity of multivariate dispersions). Farm-pair differences were more pronounced for all birds and for migratory bird species using crops, migratory birds consuming grains and ground feeders, but not grassland birds. Nmds ordinations suggested that there was more variation in species composition and abundance on organic farms than nonorganic ones but the difference was not significant. Distance-based redundancy analysis (dbitda) was used to examine the main drivers of bird species composition and abundance and to see which extent was most important; land cover at the field extent was more important than land cover at the site extent or the farming practices measured. The most important field-extent land cover was the amount of native grassland, woodland (including shelterbelts) and wetlands. After controlling for significant field-extent land cover, seed treatment, herbicide use, and number of passes were significant. At the site extent, greater non-crop heterogeneity had a significantly positive effect on abundance and species richness of several groups (e.g., grassland birds, migratory granivores, ground feeders, ground nesters) but a negative effect on richness of woodland birds and abundance of aerial insectivores. Relationships with crop heterogeneity were mostly negative and non-significant. Overall land cover heterogeneity at the site level was positively related to the richness of grassland birds. In contrast at the field extent, non-crop heterogeneity did not have any significant effects on the richness and abundance of any functional group. Crop heterogeneity had a significantly negative effect on aerial insectivore richness and abundance. In the early 1990s, differences in birds between organic and nonorganic farms in saskatchewan were evident but subtle and variable among farms, and apparently most related to land cover-bird assemblage interactions/relationships.","Subtle differences in birds detected between organic and nonorganic farms in saskatchewan prairie parklands by farm pair and bird functional group"
